rater_id	input_file	rating	time_sec	timestamp	artifacts	comments
oe	sub-001_ses-excl027_acq-highres_dir-AP_dwi.nii.gz	3.4	118.117	2024-04-19 13:38:50	n/a	n/a
oe	sub-001_ses-excl029_acq-highres_dir-PA_dwi.nii.gz	3.55	66.834	2024-04-19 13:54:40	n/a	n/a
oe	sub-001_ses-pilot001_acq-highres_dir-unknown_dwi.nii.gz	3.2	63.236	2024-04-19 13:57:05	n/a	n/a
oe	sub-001_ses-pilot001_acq-lowres_dir-unknown_dwi.nii.gz	3.55	117.577	2024-04-19 14:00:12	n/a	n/a
oe	sub-001_ses-pilot002_acq-highres_dir-unknown_dwi.nii.gz	3.45	74.403	2024-04-19 14:01:38	n/a	n/a
oe	sub-001_ses-pilot002_acq-lowres_dir-unknown_dwi.nii.gz	3.55	55.232	2024-04-19 14:03:37	n/a	n/a
oe	sub-001_ses-pilot004_acq-highres_dir-unknown_dwi.nii.gz	1.6	132.28	2024-04-22 11:43:27	noneye-spillover, uncategorized	n/a
oe	sub-001_ses-pilot004_acq-lowres_dir-unknown_dwi.nii.gz	2.9	67.162	2024-04-22 11:44:51	n/a	n/a
oe	sub-001_ses-pilot005_acq-lowres_dir-unknown_dwi.nii.gz	2.35	90.454	2024-04-22 11:46:39	n/a	n/a
oe	sub-001_ses-pilot005_acq-highres_dir-unknown_dwi.nii.gz	2.5	92.871	2024-04-22 11:48:25	n/a	n/a
oe	sub-001_ses-pilot006_acq-highres_dir-PA_dwi.nii.gz	2.55	57.265	2024-04-22 11:49:39	n/a	n/a
oe	sub-001_ses-pilot006_acq-lowres_dir-PA_dwi.nii.gz	2.6	78.438	2024-04-22 11:54:31	n/a	n/a
oe	sub-001_ses-pilot007_acq-highres_dir-PA_dwi.nii.gz	2.6	67.888	2024-04-22 11:55:48	n/a	n/a
oe	sub-001_ses-pilot008_acq-highres_dir-PA_dwi.nii.gz	2.6	56.028	2024-04-22 11:56:52	n/a	n/a
oe	sub-001_ses-pilot008_acq-lowres_dir-PA_dwi.nii.gz	2.85	67.709	2024-04-24 12:10:31	n/a	n/a
oe	sub-001_ses-pilot009_acq-highres_dir-PA_dwi.nii.gz	2.75	58.288	2024-04-24 12:11:36	n/a	n/a
oe	sub-001_ses-pilot010_acq-highres_dir-PA_dwi.nii.gz	2.45	56.925	2024-04-24 12:12:46	n/a	n/a
oe	sub-001_ses-pilot010_acq-lowres_dir-PA_dwi.nii.gz	2.6	62.132	2024-04-24 12:14:04	n/a	n/a
oe	sub-001_ses-pilot011_acq-highres_dir-PA_dwi.nii.gz	2.6	46.306	2024-04-24 12:15:03	n/a	n/a
oe	sub-001_ses-pilot011_acq-lowres_dir-PA_dwi.nii.gz	2.8	56.193	2024-04-24 12:16:05	n/a	n/a
oe	sub-001_ses-pilot012_acq-highres_dir-PA_dwi.nii.gz	2.55	36.088	2024-04-24 12:16:47	n/a	n/a
oe	sub-001_ses-pilot013_acq-highres_dir-PA_dwi.nii.gz	2.55	30.739	2024-04-24 12:17:23	n/a	n/a
oe	sub-001_ses-pilot012_acq-lowres_dir-PA_dwi.nii.gz	2.65	27.18	2024-04-24 12:17:57	n/a	n/a
oe	sub-001_ses-pilot013_acq-lowres_dir-PA_dwi.nii.gz	2.85	32.084	2024-04-24 12:18:35	n/a	n/a
oe	sub-001_ses-pilot014_acq-highres_dir-PA_dwi.nii.gz	2.65	32.351	2024-04-24 12:19:14	n/a	n/a
oe	sub-001_ses-pilot015_acq-highres_dir-LR_dwi.nii.gz	2.75	52.3	2024-04-24 12:20:16	n/a	n/a
oe	sub-001_ses-pilot016_acq-highres_dir-RL_dwi.nii.gz	2.4	52.04	2024-04-24 12:21:15	n/a	n/a
oe	sub-001_ses-pilot019_acq-highres_dir-PA_dwi.nii.gz	2.45	53.334	2024-04-24 12:22:26	n/a	n/a
oe	sub-001_ses-pilot020_acq-highres_dir-PA_run-2_dwi.nii.gz	1	45.663	2024-04-24 12:23:21	n/a	n/a
oe	sub-001_ses-pilot020_acq-highres_dir-PA_run-3_dwi.nii.gz	2.7	40.18	2024-04-24 12:24:16	n/a	n/a
oe	sub-001_ses-pilot021_acq-highres_dir-RL_dwi.nii.gz	2.8	53.663	2024-04-24 12:25:18	n/a	n/a
oe	sub-001_ses-001_acq-highres_dir-LR_dwi.nii.gz	2.9	96.791	2024-04-24 12:27:10	n/a	n/a
oe	sub-001_ses-003_acq-highres_dir-LR_dwi.nii.gz	2.9	77.845	2024-04-24 12:28:35	n/a	n/a
oe	sub-001_ses-004_acq-highres_dir-RL_dwi.nii.gz	2.35	100.206	2024-04-24 12:30:21	n/a	n/a
oe	sub-001_ses-005_acq-highres_dir-PA_dwi.nii.gz	3.15	81.651	2024-04-24 12:31:50	n/a	n/a
oe	sub-001_ses-006_acq-highres_dir-PA_dwi.nii.gz	2.8	78.809	2024-04-24 12:33:19	ghost-aliasing	n/a
oe	sub-001_ses-007_acq-highres_dir-LR_dwi.nii.gz	3.15	75.663	2024-04-25 07:50:06	n/a	n/a
oe	sub-001_ses-008_acq-highres_dir-RL_dwi.nii.gz	2.55	91.538	2024-04-25 07:51:45	n/a	n/a
oe	sub-001_ses-009_acq-highres_dir-AP_dwi.nii.gz	3.15	53.611	2024-04-25 07:52:50	n/a	n/a
oe	sub-001_ses-010_acq-highres_dir-RL_dwi.nii.gz	2.85	47.397	2024-04-25 07:53:43	n/a	n/a
oe	sub-001_ses-011_acq-highres_dir-AP_run-2_dwi.nii.gz	2.65	76.786	2024-04-25 07:55:12	n/a	n/a
oe	sub-001_ses-013_acq-highres_dir-PA_dwi.nii.gz	3.05	79.266	2024-04-25 07:56:39	n/a	n/a
oe	sub-001_ses-016_acq-highres_dir-RL_dwi.nii.gz	2.55	143.933	2024-04-25 08:06:34	n/a	n/a
oe	sub-001_ses-015_acq-highres_dir-AP_dwi.nii.gz	2.95	89.497	2024-04-25 08:08:16	n/a	n/a
oe	sub-001_ses-017_acq-highres_dir-PA_dwi.nii.gz	2.65	86.236	2024-04-25 08:10:06	n/a	n/a
oe	sub-001_ses-018_acq-highres_dir-LR_dwi.nii.gz	2.7	85.789	2024-04-25 08:14:13	n/a	n/a
oe	sub-001_ses-019_acq-highres_dir-PA_dwi.nii.gz	2.7	70.955	2024-04-25 08:15:28	n/a	n/a
oe	sub-001_ses-020_acq-highres_dir-RL_dwi.nii.gz	2.65	67.786	2024-04-25 08:16:44	n/a	n/a
oe	sub-001_ses-021_acq-highres_dir-RL_dwi.nii.gz	2.45	160.597	2024-04-25 14:44:59	n/a	MB artifacts / slices with partial drops
oe	sub-001_ses-022_acq-highres_dir-AP_dwi.nii.gz	2.9	106.204	2024-04-29 07:45:49	n/a	n/a
oe	sub-001_ses-024_acq-highres_dir-AP_dwi.nii.gz	2.75	116.853	2024-04-29 07:48:02	n/a	n/a
oe	sub-001_ses-023_acq-highres_dir-AP_dwi.nii.gz	2.65	55.054	2024-04-29 07:49:16	n/a	n/a
oe	sub-001_ses-025_acq-highres_dir-RL_dwi.nii.gz	2.6	99.643	2024-04-29 07:51:13	n/a	n/a
oe	sub-001_ses-026_acq-highres_dir-PA_dwi.nii.gz	2.7	93.73	2024-04-29 07:52:54	n/a	n/a
oe	sub-001_ses-028_acq-highres_dir-RL_dwi.nii.gz	2.45	87.817	2024-04-29 07:54:28	n/a	n/a
oe	sub-001_ses-037_acq-highres_dir-LR_dwi.nii.gz	2.6	55.414	2024-04-29 07:55:32	n/a	n/a
oe	sub-001_ses-038_acq-highres_dir-PA_dwi.nii.gz	2.6	72.836	2024-04-29 07:56:53	n/a	n/a
oe	sub-001_ses-039_acq-highres_dir-LR_dwi.nii.gz	2.5	59.688	2024-04-29 07:58:01	n/a	n/a
oe	sub-001_ses-040_acq-highres_dir-AP_dwi.nii.gz	2.7	98.56	2024-04-29 07:59:45	n/a	n/a
oe	sub-001_ses-041_acq-highres_dir-AP_dwi.nii.gz	2.55	69.309	2024-04-29 08:01:46	n/a	n/a
oe	sub-001_ses-042_acq-highres_dir-PA_dwi.nii.gz	2.55	69.664	2024-04-29 08:03:02	n/a	n/a
oe	sub-001_ses-043_acq-highres_dir-AP_dwi.nii.gz	2.55	62.778	2024-04-29 08:04:21	n/a	n/a
oe	sub-001_ses-044_acq-highres_dir-LR_dwi.nii.gz	2.7	103.001	2024-04-29 08:06:10	n/a	n/a
oe	sub-001_ses-045_acq-highres_dir-LR_dwi.nii.gz	2.75	61.735	2024-04-29 08:07:18	n/a	n/a
oe	sub-001_ses-046_acq-highres_dir-LR_dwi.nii.gz	2.65	72.893	2024-04-29 08:08:36	n/a	n/a
oe	sub-001_ses-048_acq-highres_dir-PA_dwi.nii.gz	2.95	58.579	2024-04-29 08:09:38	n/a	n/a
oe	sub-001_ses-047_acq-highres_dir-RL_dwi.nii.gz	2.55	61.464	2024-04-29 08:10:46	n/a	n/a
