bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-001_ses-001_task-bht_dir-LR_echo-1_part-mag_bold	[0.00048826086956521743, 0.0006071014492753623, 0.0007327536231884057, 0.0009223671497584542]	[0.00938286922705314, 0.012096031062801934, 0.018348071497584544, 0.028504414492753618]	0	43.69289398208735	1.0369694973786405	0.9987781024271847	0.6552	135.658	0.17733035969905483	74	35.7487922705314	3.440497445801144	3.2845024318265486	3.4305763473801565	3.606413558196728	[0.0102327, 0.0142173, 0.0150713, 0.0134119]	0.13598445057868958	0.015585092827677727	207	76	102	60	2.460006651113937	1.600000023841858	2.196079969406128	2.196079969406128	2.200000047683716	5.8424	59.8484	171.8859	66.0	327716.0	0.0	730.0	243.7732	0.8845	297.627	804.0099	773.5	137404.0	339.0	1353.0	314.4289	31.96068400098011
sub-001_ses-001_task-bht_dir-LR_echo-2_part-mag_bold	[0.00048826086956521743, 0.0006071014492753623, 0.0007327536231884057, 0.0009223671497584542]	[0.00938286922705314, 0.012096031062801934, 0.018348071497584544, 0.028504414492753618]	0	57.016955792378646	1.036781225631068	0.9959678327184465	0.5833	221.8917	0.17733035969905483	74	35.7487922705314	3.1545272653397753	3.1862591970602194	3.1938181203377214	3.0835044786213857	[0.0102327, 0.0142173, 0.0150713, 0.0134119]	0.08781542629003525	-0.0104605033993721	207	76	102	60	2.045005383992525	1.600000023841858	2.196079969406128	2.196079969406128	2.200000047683716	28.5223	16.8673	59.6418	34.0	327716.0	0.0	212.0	80.939	0.7777	224.5319	520.9677	508.0	137404.0	94.0	949.0	248.4092	22.884370440384373
sub-001_ses-001_task-bht_dir-LR_echo-3_part-mag_bold	[0.00048826086956521743, 0.0006071014492753623, 0.0007327536231884057, 0.0009223671497584542]	[0.00938286922705314, 0.012096031062801934, 0.018348071497584544, 0.028504414492753618]	0	76.46675191344659	1.0407570984951455	0.9959242773300969	0.5644	142.2297	0.17733035969905483	74	35.7487922705314	2.875690985258206	2.986835676013109	2.8831782486100628	2.757059031151446	[0.0102327, 0.0142173, 0.0150713, 0.0134119]	0.0549311563372612	-0.009087497368454933	207	76	102	60	1.7380985527546373	1.600000023841858	2.196079969406128	2.196079969406128	2.200000047683716	61.614	8.1436	35.5268	28.0	327716.0	0.0	87.0	33.5162	1.4306	173.7724	338.4451	331.0	137404.0	46.0	663.0	190.4373	16.176999876624905
sub-001_ses-001_task-bht_dir-LR_echo-4_part-mag_bold	[0.00048826086956521743, 0.0006071014492753623, 0.0007327536231884057, 0.0009223671497584542]	[0.00938286922705314, 0.012096031062801934, 0.018348071497584544, 0.028504414492753618]	0	107.31954444975729	1.0496124772330095	0.9980441619902914	0.5692	67.261	0.17733035969905483	74	35.7487922705314	2.5688523657970754	2.7017640899500135	2.5369021518403976	2.4678908556008152	[0.0102327, 0.0142173, 0.0150713, 0.0134119]	0.03286408260464668	-0.006481224205344915	207	76	102	60	1.4482845753594615	1.600000023841858	2.196079969406128	2.196079969406128	2.200000047683716	101.6536	5.3431	27.8355	26.0	327716.0	0.0	48.0	16.5995	3.6309	132.367	221.4726	210.0	137404.0	34.0	475.0	144.9986	11.293062459211797
sub-001_ses-001_task-qct_dir-LR_echo-1_part-mag_bold	[0.0009626262626262625, 0.0009583838383838383, 0.0010719191919191919, 0.001295050505050505]	[0.006722578282828283, 0.009168742323232323, 0.014248484343434346, 0.022844980808080805]	0	38.63026607316328	1.0089927794897962	1.0018737946938778	0.6502	158.5459	0.08489961961577518	4	4.040404040404041	3.457186850849082	3.285454127588596	3.498520139081125	3.587586285877525	[0.00614541, 0.00708114, 0.00615861, 0.00495498]	0.14133624732494354	0.0181132759898901	99	76	102	60	2.5070820538421468	1.600000023841858	2.196079969406128	2.196079969406128	2.200000047683716	5.9681	56.3539	167.9056	63.0	328265.0	0.0	730.0	243.1039	0.8903	296.6702	819.2208	787.0	136855.0	366.0	1368.0	313.9096	34.73857965902425
sub-001_ses-001_task-qct_dir-LR_echo-2_part-mag_bold	[0.0009626262626262625, 0.0009583838383838383, 0.0010719191919191919, 0.001295050505050505]	[0.006722578282828283, 0.009168742323232323, 0.014248484343434346, 0.022844980808080805]	0	49.679305135102055	0.9956743534693875	0.994458644387755	0.5797	248.3691	0.08489961961577518	4	4.040404040404041	3.164155306181371	3.177744024452431	3.226585597388869	3.088136296702812	[0.00614541, 0.00708114, 0.00615861, 0.00495498]	0.08784169703722	-0.006455269176512957	99	76	102	60	2.069071784013072	1.600000023841858	2.196079969406128	2.196079969406128	2.200000047683716	28.4735	16.084	58.4435	33.0	328265.0	0.0	207.0	79.5196	0.8027	227.1226	533.6444	519.0	136855.0	102.0	967.0	250.8362	25.05548757710494
sub-001_ses-001_task-qct_dir-LR_echo-3_part-mag_bold	[0.0009626262626262625, 0.0009583838383838383, 0.0010719191919191919, 0.001295050505050505]	[0.006722578282828283, 0.009168742323232323, 0.014248484343434346, 0.022844980808080805]	0	66.52441912306124	0.9933082936734697	0.9926399610204086	0.5607	154.3529	0.08489961961577518	4	4.040404040404041	2.8948499328429578	2.993606831985185	2.922083935648001	2.7688590308956877	[0.00614541, 0.00708114, 0.00615861, 0.00495498]	0.054660357534885406	-0.006335743702948093	99	76	102	60	1.7449489077457085	1.600000023841858	2.196079969406128	2.196079969406128	2.200000047683716	57.1685	7.6826	35.2213	27.0	328265.0	0.0	87.0	33.0379	1.379	177.7026	348.8842	340.0	136855.0	48.0	681.0	194.8474	17.92779098264873
sub-001_ses-001_task-qct_dir-LR_echo-4_part-mag_bold	[0.0009626262626262625, 0.0009583838383838383, 0.0010719191919191919, 0.001295050505050505]	[0.006722578282828283, 0.009168742323232323, 0.014248484343434346, 0.022844980808080805]	0	92.73281229765308	1.0002184129591838	0.9954239946938774	0.5641	73.6395	0.08489961961577518	4	4.040404040404041	2.5913245573272126	2.715825508673463	2.580611853370965	2.4775363099372103	[0.00614541, 0.00708114, 0.00615861, 0.00495498]	0.03269020467996597	-0.0037041367031633854	99	76	102	60	1.4530170779128924	1.600000023841858	2.196079969406128	2.196079969406128	2.200000047683716	84.4148	5.0019	27.7549	25.0	328265.0	0.0	49.0	16.7694	3.5313	136.7139	230.0017	218.0	136855.0	34.0	493.0	150.0321	12.560727286967449
sub-001_ses-001_task-rest_dir-LR_echo-1_part-mag_bold	[0.0019242189586114818, 0.0029332443257676904, 0.0032270894526034715, 0.0030840053404539393]	[0.01162038738317757, 0.014032932616822431, 0.021198982803738317, 0.032655443391188255]	1	40.40531365521391	1.0356685924465254	1.0151458945721923	0.6553	136.3398	0.11924457000073233	72	9.612817089452603	3.474858795892788	3.296082155859493	3.4636170385256713	3.664877193293199	[0.00905622, 0.0123175, 0.0118889, 0.00986438]	0.13453029096126556	0.01538445521146059	749	76	102	60	2.461231281598209	1.600000023841858	2.196079969406128	2.196079969406128	2.200000047683716	5.8201	60.8995	171.516	67.0	327411.0	0.0	728.0	242.5847	0.88	298.6286	807.9734	777.0	137709.0	340.0	1358.0	315.6945	31.46762711170595
sub-001_ses-001_task-rest_dir-LR_echo-2_part-mag_bold	[0.0019242189586114818, 0.0029332443257676904, 0.0032270894526034715, 0.0030840053404539393]	[0.01162038738317757, 0.014032932616822431, 0.021198982803738317, 0.032655443391188255]	1	52.206728516978714	1.0318192878877002	1.0195592933823527	0.5833	222.7462	0.11924457000073233	72	9.612817089452603	3.202726254401451	3.2089359668927253	3.245970137384246	3.1532726589273827	[0.00905622, 0.0123175, 0.0118889, 0.00986438]	0.0862441435456276	-0.010086454451084137	749	76	102	60	2.051122577069055	1.600000023841858	2.196079969406128	2.196079969406128	2.200000047683716	27.5428	16.9935	59.637	34.0	327411.0	0.0	211.0	80.4276	0.7636	226.5076	525.2491	512.0	137709.0	97.0	954.0	249.6185	22.128254199866205
