------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/hcph-mriqc/filter.json.
------------------------------------------------------------------

2024-08-26 07:59:49 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-26 07:59:52 | IMPORTANT | mriqc            | Extracting metadata and entities for 13 input runs of modality 't1w'...
2024-08-26 07:59:53 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-26 07:59:53 | IMPORTANT | mriqc            | Extracting metadata and entities for 26 input runs of modality 't2w'...
2024-08-26 07:59:54 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-08-26 07:59:54 | IMPORTANT | mriqc            | Extracting metadata and entities for 13 input runs of modality 'bold'...
2024-08-26 07:59:58 | IMPORTANT | mriqc            | File size ('bold'): 1.77|1.44 GB [maximum|average].
2024-08-26 07:59:58 | IMPORTANT | mriqc            | Extracting metadata and entities for 13 input runs of modality 'dwi'...
2024-08-26 07:59:59 | IMPORTANT | mriqc            | File size ('dwi'): 0.42|0.37 GB [maximum|average].
2024-08-26 07:59:59 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/hcph-mriqc/work/config-20240826-075926_f79e3fa9-a6fd-4b23-8264-981f06aab53e.toml.
2024-08-26 08:00:11 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-26 08:00:12 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 13 BOLD runs..
2024-08-26 08:00:14 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 13 NIfTI files..
2024-08-26 08:00:14 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 39 NIfTI files..
2024-08-26 08:00:18 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-26 08:00:23 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-26 08:00:28 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/hcph-mriqc/work/mriqc_wf/dwiMRIQC/3002ec5634009766ebbd4bc7bdb018b26ac3f44d/load_bmat".
2024-08-26 08:00:28 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/hcph-mriqc/work/mriqc_wf/dwiMRIQC/0158df64e80b87564f7ac1cfc846afc2a4f22b4e/load_bmat".
2024-08-26 08:00:28 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/hcph-mriqc/work/mriqc_wf/dwiMRIQC/1aa8abbcc22673f2ea86ee5b510a14d0decf28e4/load_bmat".
