------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/hcph-mriqc/filter-onesession.json.
------------------------------------------------------------------

2024-08-28 11:17:02 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-28 11:17:23 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-08-28 11:17:23 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-28 11:17:23 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-08-28 11:17:23 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-08-28 11:17:23 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'bold'...
2024-08-28 11:17:23 | IMPORTANT | mriqc            | File size ('bold'): 1.17|1.17 GB [maximum|average].
2024-08-28 11:17:23 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-08-28 11:17:23 | IMPORTANT | mriqc            | File size ('dwi'): 0.33|0.33 GB [maximum|average].
2024-08-28 11:17:23 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/hcph-mriqc/work/config-20240828-111657_abc28caa-d0d3-4e41-a802-a2d42de91981.toml.
2024-08-28 11:17:32 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-28 11:17:32 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 1 BOLD runs..
2024-08-28 11:17:33 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-08-28 11:17:33 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-08-28 11:17:37 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-28 11:17:42 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-28 11:17:44 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/hcph-mriqc/work/mriqc_wf/dwiMRIQC/ComputeIQMs/64c9073c766a35294ed7b730403916465da5a067/provenance".
2024-08-28 11:17:44 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/hcph-mriqc/work/mriqc_wf/anatMRIQC/63284af2551d7f9af56705d318c7661220e6a029/conform".
2024-08-28 11:17:44 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/hcph-mriqc/work/mriqc_wf/anatMRIQC/4f0d681f1cd9545292a2cd7bee27bb26a11488d9/conform".
2024-08-28 11:17:44 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/hcph-mriqc/work/mriqc_wf/anatMRIQC/b15eed7cff2d994a181807a54a00e8db03192308/conform".
2024-08-28 11:17:44 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/hcph-mriqc/work/mriqc_wf/dwiMRIQC/64c9073c766a35294ed7b730403916465da5a067/sanitize".
2024-08-28 11:17:44 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-28 11:17:44 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-28 11:17:44 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-28 11:17:44 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-28 11:17:44 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-28 11:17:45 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.454932s.
2024-08-28 11:17:45 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.529237s.
2024-08-28 11:17:45 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.767148s.
2024-08-28 11:17:45 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.770166s.
2024-08-28 11:17:45 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/hcph-mriqc/work/mriqc_wf/dwiMRIQC/64c9073c766a35294ed7b730403916465da5a067/load_bmat".
2024-08-28 11:17:45 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-28 11:17:45 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/hcph-mriqc/work/mriqc_wf/funcMRIQC/5bc3cb55df080e37a474db9632ef6768ccbb2876/pick_echo".
2024-08-28 11:17:45 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-28 11:17:45 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.000738s.
2024-08-28 11:17:46 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/hcph-mriqc/work/mriqc_wf/funcMRIQC/ComputeIQMs/5bc3cb55df080e37a474db9632ef6768ccbb2876/provenance/mapflow/_provenance0".
