------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-001/filter-001.json.
------------------------------------------------------------------

2024-08-28 14:14:34 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-28 14:14:34 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-08-28 14:14:34 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-28 14:14:34 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-08-28 14:14:34 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-08-28 14:14:34 | IMPORTANT | mriqc            | Extracting metadata and entities for 3 input runs of modality 'bold'...
2024-08-28 14:14:34 | IMPORTANT | mriqc            | File size ('bold'): 1.50|0.70 GB [maximum|average].
2024-08-28 14:14:34 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-08-28 14:14:34 | IMPORTANT | mriqc            | File size ('dwi'): 0.34|0.34 GB [maximum|average].
2024-08-28 14:14:34 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-001/config-20240828-141433_70a42cc3-e553-4b8a-8b90-d9fc223e4b63.toml.
2024-08-28 14:14:39 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-28 14:14:39 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 3 BOLD runs..
2024-08-28 14:14:40 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-08-28 14:14:40 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-08-28 14:14:45 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-28 14:14:50 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-28 14:14:53 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-001/mriqc_wf/dwiMRIQC/a80b49998c0117eaf611f8b77247aed85119386f/load_bmat".
2024-08-28 14:14:53 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-28 14:14:55 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 1.464891s.
2024-08-28 14:14:57 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc_ses-001/mriqc_wf/anatMRIQC/anat_report_wf/bb690cb7ae3e1c9ee2fa33cc55efc62aa5aec83b/ds_report_background".
2024-08-28 14:14:57 | INFO     | nipype.workflow  | [Node] Executing "ds_report_background" <mriqc.interfaces.DerivativesDataSink>
2024-08-28 14:14:57 | INFO     | nipype.workflow  | [Node] Finished "ds_report_background", elapsed time 0.017489s.
2024-08-28 14:14:57 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc_ses-001/mriqc_wf/anatMRIQC/anat_report_wf/80e75541baae051595976718e04a808234663a6e/ds_report_background".
2024-08-28 14:14:57 | INFO     | nipype.workflow  | [Node] Executing "ds_report_background" <mriqc.interfaces.DerivativesDataSink>
2024-08-28 14:14:57 | INFO     | nipype.workflow  | [Node] Finished "ds_report_background", elapsed time 0.00369s.
2024-08-28 14:14:57 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc_ses-001/mriqc_wf/anatMRIQC/anat_report_wf/e8c067a02432f93a4351841324efaea1876c3019/ds_report_background".
2024-08-28 14:14:57 | INFO     | nipype.workflow  | [Node] Executing "ds_report_background" <mriqc.interfaces.DerivativesDataSink>
2024-08-28 14:14:57 | INFO     | nipype.workflow  | [Node] Finished "ds_report_background", elapsed time 0.003735s.
2024-08-28 14:14:59 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_n4" in "/home/oesteban/tmp/mriqc_ses-001/mriqc_wf/anatMRIQC/synthstrip_wf/80e75541baae051595976718e04a808234663a6e/pre_n4".
2024-08-28 14:14:59 | INFO     | nipype.workflow  | [Node] Executing "pre_n4" <nipype.interfaces.ants.segmentation.N4BiasFieldCorrection>
2024-08-28 14:15:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.fMRI_HMC.estimate_hm" in "/home/oesteban/tmp/mriqc_ses-001/mriqc_wf/funcMRIQC/fMRI_HMC/78ecca9f54fc37fe07f6d1ddd21308d31aafd04d/estimate_hm".
2024-08-28 14:15:05 | INFO     | nipype.workflow  | [Node] Executing "estimate_hm" <nipype.interfaces.afni.preprocess.Volreg>
2024-08-28 14:15:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.fMRI_HMC.estimate_hm" in "/home/oesteban/tmp/mriqc_ses-001/mriqc_wf/funcMRIQC/fMRI_HMC/4f7e5d1df11165b2e4ee7a691402b7f03c4f1f83/estimate_hm".
2024-08-28 14:15:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.fMRI_HMC.estimate_hm" in "/home/oesteban/tmp/mriqc_ses-001/mriqc_wf/funcMRIQC/fMRI_HMC/239bb7823fef9cadf77f51b1b330101c6980069d/estimate_hm".
2024-08-28 14:15:07 | INFO     | nipype.workflow  | [Node] Executing "estimate_hm" <nipype.interfaces.afni.preprocess.Volreg>
2024-08-28 14:15:07 | INFO     | nipype.workflow  | [Node] Setting-up "_SpikesMask0" in "/home/oesteban/tmp/mriqc_ses-001/mriqc_wf/funcMRIQC/func_report_wf/78ecca9f54fc37fe07f6d1ddd21308d31aafd04d/SpikesMask/mapflow/_SpikesMask0".
2024-08-28 14:15:07 | INFO     | nipype.workflow  | [Node] Executing "estimate_hm" <nipype.interfaces.afni.preprocess.Volreg>
2024-08-28 14:15:07 | INFO     | nipype.workflow  | [Node] Setting-up "_SpikesMask1" in "/home/oesteban/tmp/mriqc_ses-001/mriqc_wf/funcMRIQC/func_report_wf/78ecca9f54fc37fe07f6d1ddd21308d31aafd04d/SpikesMask/mapflow/_SpikesMask1".
2024-08-28 14:15:07 | INFO     | nipype.workflow  | [Node] Setting-up "_SpikesMask3" in "/home/oesteban/tmp/mriqc_ses-001/mriqc_wf/funcMRIQC/func_report_wf/78ecca9f54fc37fe07f6d1ddd21308d31aafd04d/SpikesMask/mapflow/_SpikesMask3".
2024-08-28 14:15:07 | INFO     | nipype.workflow  | [Node] Setting-up "_SpikesMask2" in "/home/oesteban/tmp/mriqc_ses-001/mriqc_wf/funcMRIQC/func_report_wf/78ecca9f54fc37fe07f6d1ddd21308d31aafd04d/SpikesMask/mapflow/_SpikesMask2".
2024-08-28 14:15:07 | INFO     | nipype.workflow  | [Node] Executing "_SpikesMask0" <nipype.interfaces.utility.wrappers.Function>
2024-08-28 14:15:07 | INFO     | nipype.workflow  | [Node] Executing "_SpikesMask1" <nipype.interfaces.utility.wrappers.Function>
2024-08-28 14:15:07 | INFO     | nipype.workflow  | [Node] Executing "_SpikesMask3" <nipype.interfaces.utility.wrappers.Function>
2024-08-28 14:15:07 | INFO     | nipype.workflow  | [Node] Executing "_SpikesMask2" <nipype.interfaces.utility.wrappers.Function>
2024-08-28 14:15:09 | INFO     | nipype.workflow  | [Node] Setting-up "_SpikesMask0" in "/home/oesteban/tmp/mriqc_ses-001/mriqc_wf/funcMRIQC/func_report_wf/4f7e5d1df11165b2e4ee7a691402b7f03c4f1f83/SpikesMask/mapflow/_SpikesMask0".
2024-08-28 14:15:09 | INFO     | nipype.workflow  | [Node] Executing "_SpikesMask0" <nipype.interfaces.utility.wrappers.Function>
2024-08-28 14:15:12 | INFO     | nipype.workflow  | [Node] Finished "_SpikesMask3", elapsed time 5.1905850000000004s.
