------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-010/filter-010.json.
------------------------------------------------------------------

2024-08-28 23:47:29 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-28 23:47:30 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-08-28 23:47:30 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-28 23:47:30 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-08-28 23:47:30 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-08-28 23:47:30 | IMPORTANT | mriqc            | Extracting metadata and entities for 3 input runs of modality 'bold'...
2024-08-28 23:47:31 | IMPORTANT | mriqc            | File size ('bold'): 1.51|0.71 GB [maximum|average].
2024-08-28 23:47:31 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-08-28 23:47:31 | IMPORTANT | mriqc            | File size ('dwi'): 0.34|0.34 GB [maximum|average].
2024-08-28 23:47:31 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-010/config-20240828-234719_22e060c1-a7a4-4f41-b9eb-b9f696975725.toml.
2024-08-28 23:47:40 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-28 23:47:41 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 3 BOLD runs..
2024-08-28 23:47:42 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-08-28 23:47:42 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-08-28 23:47:47 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-28 23:47:52 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-28 23:47:55 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-010/mriqc_wf/dwiMRIQC/ComputeIQMs/ad9a994b978fd99420b030495582917542505464/provenance".
2024-08-28 23:47:55 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-010/mriqc_wf/anatMRIQC/b7b966bf24c827d64dd7dc88931de2f41f78a642/conform".
2024-08-28 23:47:55 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-010/mriqc_wf/anatMRIQC/e01fa3025f15e26b59f0b68d88ecc11a31796c56/conform".
2024-08-28 23:47:55 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-010/mriqc_wf/anatMRIQC/b103fd9798cfa024919601f9080711b824546224/conform".
2024-08-28 23:47:55 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-28 23:47:55 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-28 23:47:55 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-28 23:47:56 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-28 23:47:56 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.756958s.
2024-08-28 23:47:56 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.990611s.
2024-08-28 23:47:56 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.016783s.
2024-08-28 23:47:58 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 1.842509s.
2024-08-28 23:47:58 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-010/mriqc_wf/dwiMRIQC/ad9a994b978fd99420b030495582917542505464/load_bmat".
2024-08-28 23:47:58 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-010/mriqc_wf/dwiMRIQC/ad9a994b978fd99420b030495582917542505464/sanitize".
2024-08-28 23:47:58 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-010/mriqc_wf/anatMRIQC/AirMaskWorkflow/b7b966bf24c827d64dd7dc88931de2f41f78a642/RotationMask".
2024-08-28 23:47:58 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-010/mriqc_wf/anatMRIQC/synthstrip_wf/b7b966bf24c827d64dd7dc88931de2f41f78a642/pre_clip".
2024-08-28 23:47:58 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-010/mriqc_wf/funcMRIQC/ComputeIQMs/f10ffde64194e5a223ba7d81e1a258477d8c209e/provenance/mapflow/_provenance0".
2024-08-28 23:47:58 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-010/mriqc_wf/funcMRIQC/f10ffde64194e5a223ba7d81e1a258477d8c209e/pick_echo".
2024-08-28 23:47:58 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-010/mriqc_wf/funcMRIQC/acdf79f9828ca48e8de050e93971c2dac67d2669/pick_echo".
2024-08-28 23:47:58 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-010/mriqc_wf/funcMRIQC/ddd4d09473ddac786dff18cb98e9fb36d7ee451a/pick_echo".
2024-08-28 23:47:58 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-28 23:47:58 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-010/mriqc_wf/anatMRIQC/anat_report_wf/b7b966bf24c827d64dd7dc88931de2f41f78a642/PlotMosaicNoise".
2024-08-28 23:47:58 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-010/mriqc_wf/anatMRIQC/synthstrip_wf/e01fa3025f15e26b59f0b68d88ecc11a31796c56/pre_clip".
2024-08-28 23:47:58 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-010/mriqc_wf/anatMRIQC/AirMaskWorkflow/e01fa3025f15e26b59f0b68d88ecc11a31796c56/RotationMask".
2024-08-28 23:47:58 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-010/mriqc_wf/anatMRIQC/anat_report_wf/e01fa3025f15e26b59f0b68d88ecc11a31796c56/PlotMosaicNoise".
2024-08-28 23:47:58 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-010/mriqc_wf/anatMRIQC/synthstrip_wf/b103fd9798cfa024919601f9080711b824546224/pre_clip".
2024-08-28 23:47:58 | INFO     | nipype.workflow  | [Node] Executing "_provenance0" <mriqc.interfaces.reports.AddProvenance>
2024-08-28 23:47:58 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-010/mriqc_wf/anatMRIQC/AirMaskWorkflow/b103fd9798cfa024919601f9080711b824546224/RotationMask".
2024-08-28 23:47:58 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-010/mriqc_wf/anatMRIQC/anat_report_wf/b103fd9798cfa024919601f9080711b824546224/PlotMosaicNoise".
2024-08-28 23:47:58 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-28 23:47:58 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-28 23:47:58 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-28 23:47:58 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
