------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-011/filter-011.json.
------------------------------------------------------------------

2024-08-29 00:49:08 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-29 00:49:09 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-08-29 00:49:10 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-29 00:49:10 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-08-29 00:49:10 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-08-29 00:49:10 | IMPORTANT | mriqc            | Extracting metadata and entities for 3 input runs of modality 'bold'...
2024-08-29 00:49:10 | IMPORTANT | mriqc            | File size ('bold'): 1.61|0.76 GB [maximum|average].
2024-08-29 00:49:10 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 'dwi'...
2024-08-29 00:49:11 | IMPORTANT | mriqc            | File size ('dwi'): 0.45|0.23 GB [maximum|average].
2024-08-29 00:49:11 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-011/config-20240829-004904_4c0a0432-81f9-4a4d-8023-656532c7d64b.toml.
2024-08-29 00:49:16 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-29 00:49:16 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 3 BOLD runs..
2024-08-29 00:49:17 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 2 NIfTI files..
2024-08-29 00:49:17 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-08-29 00:49:22 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-29 00:49:27 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-29 00:49:30 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/dwiMRIQC/ComputeIQMs/16643c8eb886cc9a2a62cf71c555a4cc5e832b61/provenance".
2024-08-29 00:49:30 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/anatMRIQC/b11df81685fa8930f16ce38181ab19001d2273a5/conform".
2024-08-29 00:49:30 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/anatMRIQC/977fbce1a3bf55d4e96e91e6d058a7b788028b08/conform".
2024-08-29 00:49:30 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/anatMRIQC/63adb4710f822cdbc37fa978312a7f844bb75a92/conform".
2024-08-29 00:49:30 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/dwiMRIQC/16643c8eb886cc9a2a62cf71c555a4cc5e832b61/load_bmat".
2024-08-29 00:49:30 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-29 00:49:30 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/dwiMRIQC/16643c8eb886cc9a2a62cf71c555a4cc5e832b61/sanitize".
2024-08-29 00:49:30 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 00:49:30 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-29 00:49:30 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-29 00:49:30 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-29 00:49:30 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-29 00:49:30 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.072021s.
2024-08-29 00:49:31 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/dwiMRIQC/ComputeIQMs/f1b2948fa5b1b5eb76e6cab2c045a40b162449c3/provenance".
2024-08-29 00:49:31 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/dwiMRIQC/f1b2948fa5b1b5eb76e6cab2c045a40b162449c3/load_bmat".
2024-08-29 00:49:31 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/dwiMRIQC/f1b2948fa5b1b5eb76e6cab2c045a40b162449c3/sanitize".
2024-08-29 00:49:31 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 0.685317s.
2024-08-29 00:49:31 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.791425s.
2024-08-29 00:49:31 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 00:49:31 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-29 00:49:31 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-29 00:49:31 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.016644s.
2024-08-29 00:49:31 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.130556s.
2024-08-29 00:49:33 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 1.988201s.
2024-08-29 00:49:33 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 3.173182s.
2024-08-29 00:49:34 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 3.284981s.
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/funcMRIQC/e4b5fa24d4d7ad73bd667921b7ef34ed14f4f055/pick_echo".
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/funcMRIQC/cc7e6f6ce89fe06614bdeec048b0ed28dec79de4/pick_echo".
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.000928s.
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/funcMRIQC/b26a43b8cae690acbd0c60bb3ee8429a5428832a/pick_echo".
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.000934s.
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.001101s.
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/anatMRIQC/synthstrip_wf/b11df81685fa8930f16ce38181ab19001d2273a5/pre_clip".
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/funcMRIQC/ComputeIQMs/e4b5fa24d4d7ad73bd667921b7ef34ed14f4f055/provenance/mapflow/_provenance0".
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/anatMRIQC/AirMaskWorkflow/b11df81685fa8930f16ce38181ab19001d2273a5/RotationMask".
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/anatMRIQC/anat_report_wf/b11df81685fa8930f16ce38181ab19001d2273a5/PlotMosaicNoise".
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/anatMRIQC/synthstrip_wf/977fbce1a3bf55d4e96e91e6d058a7b788028b08/pre_clip".
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/anatMRIQC/AirMaskWorkflow/977fbce1a3bf55d4e96e91e6d058a7b788028b08/RotationMask".
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/anatMRIQC/anat_report_wf/977fbce1a3bf55d4e96e91e6d058a7b788028b08/PlotMosaicNoise".
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/anatMRIQC/synthstrip_wf/63adb4710f822cdbc37fa978312a7f844bb75a92/pre_clip".
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Executing "_provenance0" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/anatMRIQC/anat_report_wf/63adb4710f822cdbc37fa978312a7f844bb75a92/PlotMosaicNoise".
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/anatMRIQC/AirMaskWorkflow/63adb4710f822cdbc37fa978312a7f844bb75a92/RotationMask".
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.shells" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/dwiMRIQC/16643c8eb886cc9a2a62cf71c555a4cc5e832b61/shells".
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Executing "shells" <mriqc.interfaces.diffusion.NumberOfShells>
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Finished "shells", elapsed time 0.001935s.
2024-08-29 00:49:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.shells" in "/home/oesteban/tmp/mriqc_ses-011/mriqc_wf/dwiMRIQC/f1b2948fa5b1b5eb76e6cab2c045a40b162449c3/shells".
