------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-015/filter-015.json.
------------------------------------------------------------------

2024-08-29 03:21:14 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-29 03:21:14 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-08-29 03:21:14 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-29 03:21:14 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-08-29 03:21:14 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-08-29 03:21:14 | IMPORTANT | mriqc            | Extracting metadata and entities for 3 input runs of modality 'bold'...
2024-08-29 03:21:15 | IMPORTANT | mriqc            | File size ('bold'): 1.61|0.76 GB [maximum|average].
2024-08-29 03:21:15 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-08-29 03:21:16 | IMPORTANT | mriqc            | File size ('dwi'): 0.45|0.45 GB [maximum|average].
2024-08-29 03:21:16 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-015/config-20240829-032109_9e9f9a67-9e22-4e4f-825d-5de6b03373ed.toml.
2024-08-29 03:21:21 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-29 03:21:22 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 3 BOLD runs..
2024-08-29 03:21:22 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-08-29 03:21:22 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-08-29 03:21:27 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-29 03:21:33 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-29 03:21:36 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-015/mriqc_wf/dwiMRIQC/ComputeIQMs/4d86e56e5320c2553549f870cd1831b881e30137/provenance".
2024-08-29 03:21:36 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-015/mriqc_wf/anatMRIQC/bac18ed77fbe8202c3c0cd14346ddbafce898f60/conform".
2024-08-29 03:21:36 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-015/mriqc_wf/anatMRIQC/d921510278c95792b7c7caacb0a21f35eb36387a/conform".
2024-08-29 03:21:36 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-015/mriqc_wf/anatMRIQC/b2f94150da29482ccee163c687897b36d59776a3/conform".
2024-08-29 03:21:36 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-29 03:21:36 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
