------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-016/filter-016.json.
------------------------------------------------------------------

2024-08-29 04:38:38 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-29 04:38:38 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-08-29 04:38:39 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-29 04:38:39 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-08-29 04:38:39 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-08-29 04:38:39 | IMPORTANT | mriqc            | Extracting metadata and entities for 3 input runs of modality 'bold'...
2024-08-29 04:38:39 | IMPORTANT | mriqc            | File size ('bold'): 1.50|0.70 GB [maximum|average].
2024-08-29 04:38:39 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-08-29 04:38:40 | IMPORTANT | mriqc            | File size ('dwi'): 0.34|0.34 GB [maximum|average].
2024-08-29 04:38:40 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-016/config-20240829-043835_8676d729-25e0-43eb-a881-421588a3c243.toml.
2024-08-29 04:38:45 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-29 04:38:45 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 3 BOLD runs..
2024-08-29 04:38:46 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-08-29 04:38:46 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-08-29 04:38:51 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-29 04:38:56 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-29 04:38:59 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/anatMRIQC/2d2f801655742e97b3dbbe71d8b0f5d58b05e5d3/conform".
2024-08-29 04:38:59 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/anatMRIQC/914d9c6cfd364f0af76851782c406f7a586d5434/conform".
2024-08-29 04:38:59 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/anatMRIQC/959b5d6ab95c56ee3213a0c29d7d5909a5c57fd9/conform".
2024-08-29 04:38:59 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-29 04:38:59 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-29 04:38:59 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-29 04:38:59 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/dwiMRIQC/ComputeIQMs/b95cd3ac98e94ca2fcba7ccb1060c624a3010496/provenance".
2024-08-29 04:39:00 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/dwiMRIQC/b95cd3ac98e94ca2fcba7ccb1060c624a3010496/load_bmat".
2024-08-29 04:39:00 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 04:39:00 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-29 04:39:00 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.746537s.
2024-08-29 04:39:00 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.848815s.
2024-08-29 04:39:00 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.946681s.
2024-08-29 04:39:04 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 3.89568s.
2024-08-29 04:39:04 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/funcMRIQC/4987ecd0e58bc69ce4dbe1e3a1ebb22646041744/pick_echo".
2024-08-29 04:39:04 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/funcMRIQC/4c60ac270b1522115db956b8cf1f2b4d60b24aa7/pick_echo".
2024-08-29 04:39:04 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/dwiMRIQC/b95cd3ac98e94ca2fcba7ccb1060c624a3010496/sanitize".
2024-08-29 04:39:04 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/funcMRIQC/c41a6b73c033292fa8a8f8ad9010987d33a5385c/pick_echo".
2024-08-29 04:39:04 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-29 04:39:04 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.000796s.
2024-08-29 04:39:04 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-29 04:39:04 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.000994s.
2024-08-29 04:39:04 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 4.315707s.
2024-08-29 04:39:04 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-29 04:39:04 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.000918s.
2024-08-29 04:39:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/anatMRIQC/synthstrip_wf/2d2f801655742e97b3dbbe71d8b0f5d58b05e5d3/pre_clip".
2024-08-29 04:39:05 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/funcMRIQC/ComputeIQMs/4987ecd0e58bc69ce4dbe1e3a1ebb22646041744/provenance/mapflow/_provenance0".
2024-08-29 04:39:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/anatMRIQC/AirMaskWorkflow/2d2f801655742e97b3dbbe71d8b0f5d58b05e5d3/RotationMask".
2024-08-29 04:39:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/anatMRIQC/anat_report_wf/2d2f801655742e97b3dbbe71d8b0f5d58b05e5d3/PlotMosaicNoise".
2024-08-29 04:39:05 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-29 04:39:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/anatMRIQC/synthstrip_wf/914d9c6cfd364f0af76851782c406f7a586d5434/pre_clip".
2024-08-29 04:39:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/anatMRIQC/AirMaskWorkflow/914d9c6cfd364f0af76851782c406f7a586d5434/RotationMask".
2024-08-29 04:39:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/anatMRIQC/anat_report_wf/914d9c6cfd364f0af76851782c406f7a586d5434/PlotMosaicNoise".
2024-08-29 04:39:05 | INFO     | nipype.workflow  | [Node] Executing "_provenance0" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 04:39:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/anatMRIQC/synthstrip_wf/959b5d6ab95c56ee3213a0c29d7d5909a5c57fd9/pre_clip".
2024-08-29 04:39:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/anatMRIQC/AirMaskWorkflow/959b5d6ab95c56ee3213a0c29d7d5909a5c57fd9/RotationMask".
2024-08-29 04:39:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/anatMRIQC/anat_report_wf/959b5d6ab95c56ee3213a0c29d7d5909a5c57fd9/PlotMosaicNoise".
2024-08-29 04:39:05 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-29 04:39:05 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-29 04:39:05 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-29 04:39:05 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-29 04:39:05 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-29 04:39:05 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-29 04:39:05 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-29 04:39:05 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-29 04:39:05 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-29 04:39:05 | INFO     | nipype.workflow  | [Node] Finished "_provenance0", elapsed time 0.61367s.
2024-08-29 04:39:06 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance1" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/funcMRIQC/ComputeIQMs/4987ecd0e58bc69ce4dbe1e3a1ebb22646041744/provenance/mapflow/_provenance1".
2024-08-29 04:39:06 | INFO     | nipype.workflow  | [Node] Executing "_provenance1" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 04:39:06 | INFO     | nipype.workflow  | [Node] Finished "_provenance1", elapsed time 0.521315s.
2024-08-29 04:39:06 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance2" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/funcMRIQC/ComputeIQMs/4987ecd0e58bc69ce4dbe1e3a1ebb22646041744/provenance/mapflow/_provenance2".
2024-08-29 04:39:06 | INFO     | nipype.workflow  | [Node] Executing "_provenance2" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 04:39:07 | INFO     | nipype.workflow  | [Node] Finished "_provenance2", elapsed time 0.463547s.
2024-08-29 04:39:07 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance3" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/funcMRIQC/ComputeIQMs/4987ecd0e58bc69ce4dbe1e3a1ebb22646041744/provenance/mapflow/_provenance3".
2024-08-29 04:39:07 | INFO     | nipype.workflow  | [Node] Executing "_provenance3" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 04:39:08 | INFO     | nipype.workflow  | [Node] Finished "_provenance3", elapsed time 0.441784s.
2024-08-29 04:39:08 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/funcMRIQC/ComputeIQMs/4c60ac270b1522115db956b8cf1f2b4d60b24aa7/provenance/mapflow/_provenance0".
2024-08-29 04:39:08 | INFO     | nipype.workflow  | [Node] Executing "_provenance0" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 04:39:09 | INFO     | nipype.workflow  | [Node] Finished "RotationMask", elapsed time 4.095129s.
2024-08-29 04:39:09 | INFO     | nipype.workflow  | [Node] Finished "_provenance0", elapsed time 0.380181s.
2024-08-29 04:39:09 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance1" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/funcMRIQC/ComputeIQMs/4c60ac270b1522115db956b8cf1f2b4d60b24aa7/provenance/mapflow/_provenance1".
2024-08-29 04:39:09 | INFO     | nipype.workflow  | [Node] Executing "_provenance1" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 04:39:09 | INFO     | nipype.workflow  | [Node] Finished "_provenance1", elapsed time 0.249878s.
2024-08-29 04:39:10 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance2" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/funcMRIQC/ComputeIQMs/4c60ac270b1522115db956b8cf1f2b4d60b24aa7/provenance/mapflow/_provenance2".
2024-08-29 04:39:10 | INFO     | nipype.workflow  | [Node] Executing "_provenance2" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 04:39:10 | INFO     | nipype.workflow  | [Node] Finished "_provenance2", elapsed time 0.228438s.
2024-08-29 04:39:10 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance3" in "/home/oesteban/tmp/mriqc_ses-016/mriqc_wf/funcMRIQC/ComputeIQMs/4c60ac270b1522115db956b8cf1f2b4d60b24aa7/provenance/mapflow/_provenance3".
2024-08-29 04:39:10 | INFO     | nipype.workflow  | [Node] Executing "_provenance3" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 04:39:11 | INFO     | nipype.workflow  | [Node] Finished "_provenance3", elapsed time 0.230142s.
