------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-020/filter-020.json.
------------------------------------------------------------------

2024-08-29 09:08:37 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-29 09:08:38 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-08-29 09:08:38 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-29 09:08:38 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-08-29 09:08:38 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-08-29 09:08:38 | IMPORTANT | mriqc            | Extracting metadata and entities for 3 input runs of modality 'bold'...
2024-08-29 09:08:39 | IMPORTANT | mriqc            | File size ('bold'): 1.51|0.71 GB [maximum|average].
2024-08-29 09:08:39 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-08-29 09:08:39 | IMPORTANT | mriqc            | File size ('dwi'): 0.35|0.35 GB [maximum|average].
2024-08-29 09:08:39 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-020/config-20240829-090814_d9e3ffa7-75e6-418b-8870-26eceab187c2.toml.
2024-08-29 09:08:48 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-29 09:08:49 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 3 BOLD runs..
2024-08-29 09:08:50 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-08-29 09:08:50 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-08-29 09:08:55 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-29 09:09:01 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-29 09:09:04 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/anatMRIQC/cc082142ab6e5af960a3e960f4a439b4a62a639e/conform".
2024-08-29 09:09:04 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/anatMRIQC/388bf50387a961715f714b60e62955553f8b4bc7/conform".
2024-08-29 09:09:04 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/dwiMRIQC/ComputeIQMs/aef0d1466f7023f5e31c4a5da08127cd3098b369/provenance".
2024-08-29 09:09:04 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/anatMRIQC/b90642b8d640a33ba9e020839bc87d5bc8f90dbb/conform".
2024-08-29 09:09:04 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-29 09:09:04 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-29 09:09:04 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-29 09:09:04 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/dwiMRIQC/aef0d1466f7023f5e31c4a5da08127cd3098b369/sanitize".
2024-08-29 09:09:04 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 09:09:04 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-29 09:09:05 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.975932s.
2024-08-29 09:09:05 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.1550880000000001s.
2024-08-29 09:09:05 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.178299s.
2024-08-29 09:09:06 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 2.068997s.
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/64710dac2382deb7338d610bdf7b261fe4bdabcf/pick_echo".
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/fff071379aac8cdc72b0c6cbfc62262c9f5619ff/pick_echo".
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/dwiMRIQC/aef0d1466f7023f5e31c4a5da08127cd3098b369/load_bmat".
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/0f130c562e5779295af42cc798e62d61c2b2814f/pick_echo".
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.000984s.
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.001727s.
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.00092s.
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/anatMRIQC/synthstrip_wf/cc082142ab6e5af960a3e960f4a439b4a62a639e/pre_clip".
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/64710dac2382deb7338d610bdf7b261fe4bdabcf/provenance/mapflow/_provenance0".
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/anatMRIQC/AirMaskWorkflow/cc082142ab6e5af960a3e960f4a439b4a62a639e/RotationMask".
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/anatMRIQC/anat_report_wf/cc082142ab6e5af960a3e960f4a439b4a62a639e/PlotMosaicNoise".
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/anatMRIQC/synthstrip_wf/388bf50387a961715f714b60e62955553f8b4bc7/pre_clip".
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/anatMRIQC/AirMaskWorkflow/388bf50387a961715f714b60e62955553f8b4bc7/RotationMask".
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Executing "_provenance0" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/anatMRIQC/anat_report_wf/388bf50387a961715f714b60e62955553f8b4bc7/PlotMosaicNoise".
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/anatMRIQC/synthstrip_wf/b90642b8d640a33ba9e020839bc87d5bc8f90dbb/pre_clip".
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/anatMRIQC/AirMaskWorkflow/b90642b8d640a33ba9e020839bc87d5bc8f90dbb/RotationMask".
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/anatMRIQC/anat_report_wf/b90642b8d640a33ba9e020839bc87d5bc8f90dbb/PlotMosaicNoise".
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-29 09:09:07 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-29 09:09:09 | INFO     | nipype.workflow  | [Node] Finished "_provenance0", elapsed time 1.650387s.
2024-08-29 09:09:09 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance1" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/64710dac2382deb7338d610bdf7b261fe4bdabcf/provenance/mapflow/_provenance1".
2024-08-29 09:09:09 | INFO     | nipype.workflow  | [Node] Executing "_provenance1" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 09:09:11 | INFO     | nipype.workflow  | [Node] Finished "RotationMask", elapsed time 4.186249s.
2024-08-29 09:09:12 | INFO     | nipype.workflow  | [Node] Finished "_provenance1", elapsed time 3.3913349999999998s.
2024-08-29 09:09:13 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance2" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/64710dac2382deb7338d610bdf7b261fe4bdabcf/provenance/mapflow/_provenance2".
2024-08-29 09:09:13 | INFO     | nipype.workflow  | [Node] Executing "_provenance2" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 09:09:14 | INFO     | nipype.workflow  | [Node] Finished "PlotMosaicNoise", elapsed time 7.492096s.
2024-08-29 09:09:15 | INFO     | nipype.workflow  | [Node] Finished "_provenance2", elapsed time 1.812221s.
2024-08-29 09:09:15 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance3" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/64710dac2382deb7338d610bdf7b261fe4bdabcf/provenance/mapflow/_provenance3".
2024-08-29 09:09:15 | INFO     | nipype.workflow  | [Node] Executing "_provenance3" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 09:09:16 | INFO     | nipype.workflow  | [Node] Finished "PlotMosaicNoise", elapsed time 8.731877s.
2024-08-29 09:09:16 | INFO     | nipype.workflow  | [Node] Finished "PlotMosaicNoise", elapsed time 8.986118s.
2024-08-29 09:09:17 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 12.86306s.
2024-08-29 09:09:19 | INFO     | nipype.workflow  | [Node] Finished "_provenance3", elapsed time 4.505996s.
2024-08-29 09:09:20 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/fff071379aac8cdc72b0c6cbfc62262c9f5619ff/provenance/mapflow/_provenance0".
2024-08-29 09:09:20 | INFO     | nipype.workflow  | [Node] Executing "_provenance0" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 09:09:22 | INFO     | nipype.workflow  | [Node] Finished "_provenance0", elapsed time 2.321761s.
2024-08-29 09:09:22 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance1" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/fff071379aac8cdc72b0c6cbfc62262c9f5619ff/provenance/mapflow/_provenance1".
2024-08-29 09:09:22 | INFO     | nipype.workflow  | [Node] Executing "_provenance1" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 09:09:23 | INFO     | nipype.workflow  | [Node] Finished "_provenance1", elapsed time 0.807965s.
2024-08-29 09:09:24 | INFO     | nipype.workflow  | [Node] Finished "pre_clip", elapsed time 16.675897s.
2024-08-29 09:09:24 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance2" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/fff071379aac8cdc72b0c6cbfc62262c9f5619ff/provenance/mapflow/_provenance2".
2024-08-29 09:09:24 | INFO     | nipype.workflow  | [Node] Executing "_provenance2" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 09:09:25 | INFO     | nipype.workflow  | [Node] Finished "_provenance2", elapsed time 1.074036s.
2024-08-29 09:09:25 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance3" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/fff071379aac8cdc72b0c6cbfc62262c9f5619ff/provenance/mapflow/_provenance3".
2024-08-29 09:09:25 | INFO     | nipype.workflow  | [Node] Executing "_provenance3" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 09:09:26 | INFO     | nipype.workflow  | [Node] Finished "_provenance3", elapsed time 1.274414s.
2024-08-29 09:09:27 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/0f130c562e5779295af42cc798e62d61c2b2814f/provenance/mapflow/_provenance0".
2024-08-29 09:09:27 | INFO     | nipype.workflow  | [Node] Executing "_provenance0" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 09:09:33 | INFO     | nipype.workflow  | [Node] Finished "pre_clip", elapsed time 25.938539s.
2024-08-29 09:09:34 | INFO     | nipype.workflow  | [Node] Finished "pre_clip", elapsed time 27.502021s.
2024-08-29 09:09:38 | INFO     | nipype.workflow  | [Node] Finished "RotationMask", elapsed time 31.07445s.
2024-08-29 09:09:40 | INFO     | nipype.workflow  | [Node] Finished "_provenance0", elapsed time 13.373057s.
2024-08-29 09:09:40 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance1" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/0f130c562e5779295af42cc798e62d61c2b2814f/provenance/mapflow/_provenance1".
2024-08-29 09:09:40 | INFO     | nipype.workflow  | [Node] Executing "_provenance1" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 09:09:47 | INFO     | nipype.workflow  | [Node] Finished "_provenance1", elapsed time 6.9292359999999995s.
2024-08-29 09:09:48 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance2" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/0f130c562e5779295af42cc798e62d61c2b2814f/provenance/mapflow/_provenance2".
2024-08-29 09:09:48 | INFO     | nipype.workflow  | [Node] Executing "_provenance2" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 09:09:49 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 41.651605s.
2024-08-29 09:09:50 | INFO     | nipype.workflow  | [Node] Finished "_provenance2", elapsed time 2.792391s.
2024-08-29 09:09:51 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance3" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/0f130c562e5779295af42cc798e62d61c2b2814f/provenance/mapflow/_provenance3".
2024-08-29 09:09:51 | INFO     | nipype.workflow  | [Node] Executing "_provenance3" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 09:09:53 | INFO     | nipype.workflow  | [Node] Finished "_provenance3", elapsed time 1.868697s.
2024-08-29 09:09:53 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/64710dac2382deb7338d610bdf7b261fe4bdabcf/provenance/mapflow/_provenance0".
2024-08-29 09:09:53 | INFO     | nipype.workflow  | [Node] Cached "_provenance0" - collecting precomputed outputs
2024-08-29 09:09:53 | INFO     | nipype.workflow  | [Node] "_provenance0" found cached.
2024-08-29 09:09:53 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance1" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/64710dac2382deb7338d610bdf7b261fe4bdabcf/provenance/mapflow/_provenance1".
2024-08-29 09:09:53 | INFO     | nipype.workflow  | [Node] Cached "_provenance1" - collecting precomputed outputs
2024-08-29 09:09:53 | INFO     | nipype.workflow  | [Node] "_provenance1" found cached.
2024-08-29 09:09:53 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance2" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/64710dac2382deb7338d610bdf7b261fe4bdabcf/provenance/mapflow/_provenance2".
2024-08-29 09:09:53 | INFO     | nipype.workflow  | [Node] Cached "_provenance2" - collecting precomputed outputs
2024-08-29 09:09:53 | INFO     | nipype.workflow  | [Node] "_provenance2" found cached.
2024-08-29 09:09:53 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance3" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/64710dac2382deb7338d610bdf7b261fe4bdabcf/provenance/mapflow/_provenance3".
2024-08-29 09:09:53 | INFO     | nipype.workflow  | [Node] Cached "_provenance3" - collecting precomputed outputs
2024-08-29 09:09:53 | INFO     | nipype.workflow  | [Node] "_provenance3" found cached.
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/fff071379aac8cdc72b0c6cbfc62262c9f5619ff/provenance/mapflow/_provenance0".
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] Cached "_provenance0" - collecting precomputed outputs
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] "_provenance0" found cached.
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance1" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/fff071379aac8cdc72b0c6cbfc62262c9f5619ff/provenance/mapflow/_provenance1".
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] Cached "_provenance1" - collecting precomputed outputs
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] "_provenance1" found cached.
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance2" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/fff071379aac8cdc72b0c6cbfc62262c9f5619ff/provenance/mapflow/_provenance2".
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] Cached "_provenance2" - collecting precomputed outputs
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] "_provenance2" found cached.
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance3" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/fff071379aac8cdc72b0c6cbfc62262c9f5619ff/provenance/mapflow/_provenance3".
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] Cached "_provenance3" - collecting precomputed outputs
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] "_provenance3" found cached.
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/0f130c562e5779295af42cc798e62d61c2b2814f/provenance/mapflow/_provenance0".
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] Cached "_provenance0" - collecting precomputed outputs
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] "_provenance0" found cached.
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance1" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/0f130c562e5779295af42cc798e62d61c2b2814f/provenance/mapflow/_provenance1".
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] Cached "_provenance1" - collecting precomputed outputs
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] "_provenance1" found cached.
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance2" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/0f130c562e5779295af42cc798e62d61c2b2814f/provenance/mapflow/_provenance2".
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] Cached "_provenance2" - collecting precomputed outputs
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] "_provenance2" found cached.
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance3" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/ComputeIQMs/0f130c562e5779295af42cc798e62d61c2b2814f/provenance/mapflow/_provenance3".
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] Cached "_provenance3" - collecting precomputed outputs
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] "_provenance3" found cached.
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/anatMRIQC/anat_report_wf/cc082142ab6e5af960a3e960f4a439b4a62a639e/ds_report_background".
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] Executing "ds_report_background" <mriqc.interfaces.DerivativesDataSink>
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] Finished "ds_report_background", elapsed time 0.007127s.
2024-08-29 09:09:54 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.piesno" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/dwiMRIQC/aef0d1466f7023f5e31c4a5da08127cd3098b369/piesno".
2024-08-29 09:09:55 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/anatMRIQC/anat_report_wf/388bf50387a961715f714b60e62955553f8b4bc7/ds_report_background".
2024-08-29 09:09:55 | INFO     | nipype.workflow  | [Node] Executing "ds_report_background" <mriqc.interfaces.DerivativesDataSink>
2024-08-29 09:09:55 | INFO     | nipype.workflow  | [Node] Finished "ds_report_background", elapsed time 0.005554s.
2024-08-29 09:09:55 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.shells" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/dwiMRIQC/aef0d1466f7023f5e31c4a5da08127cd3098b369/shells".
2024-08-29 09:09:55 | INFO     | nipype.workflow  | [Node] Executing "piesno" <mriqc.interfaces.diffusion.PIESNO>
2024-08-29 09:09:55 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.non_steady_state_detector" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/funcMRIQC/fff071379aac8cdc72b0c6cbfc62262c9f5619ff/non_steady_state_detector".
2024-08-29 09:09:55 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc_ses-020/mriqc_wf/anatMRIQC/anat_report_wf/b90642b8d640a33ba9e020839bc87d5bc8f90dbb/ds_report_background".
