------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-022/filter-022.json.
------------------------------------------------------------------

2024-08-29 13:28:56 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-29 13:28:57 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-08-29 13:28:57 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-29 13:28:57 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-08-29 13:28:57 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-08-29 13:28:57 | IMPORTANT | mriqc            | Extracting metadata and entities for 3 input runs of modality 'bold'...
2024-08-29 13:28:58 | IMPORTANT | mriqc            | File size ('bold'): 1.62|0.76 GB [maximum|average].
2024-08-29 13:28:58 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-08-29 13:28:59 | IMPORTANT | mriqc            | File size ('dwi'): 0.45|0.45 GB [maximum|average].
2024-08-29 13:28:59 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-022/config-20240829-132855_5a885c88-2421-4df7-a7b1-c38b5819f647.toml.
2024-08-29 13:29:03 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-29 13:29:03 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 3 BOLD runs..
2024-08-29 13:29:04 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-08-29 13:29:04 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-08-29 13:29:09 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-29 13:29:14 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-29 13:29:17 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-022/mriqc_wf/anatMRIQC/6d0630d3a2e0cea589528b37e7dfb953a3256fff/conform".
2024-08-29 13:29:17 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-022/mriqc_wf/anatMRIQC/9d6ebb34da97346fef10dbb36db6cda215487b6e/conform".
2024-08-29 13:29:17 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-022/mriqc_wf/anatMRIQC/613b3ae5856387f5af454cc6ed9b0c72cebbdc99/conform".
2024-08-29 13:29:17 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-29 13:29:17 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-29 13:29:17 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-29 13:29:17 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-022/mriqc_wf/dwiMRIQC/ComputeIQMs/09fb27315af729ea031adfe8b63f2d7f22b7de7c/provenance".
2024-08-29 13:29:18 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-022/mriqc_wf/dwiMRIQC/09fb27315af729ea031adfe8b63f2d7f22b7de7c/load_bmat".
2024-08-29 13:29:18 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-022/mriqc_wf/dwiMRIQC/09fb27315af729ea031adfe8b63f2d7f22b7de7c/sanitize".
2024-08-29 13:29:18 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-29 13:29:18 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 13:29:18 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-29 13:29:18 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.836042s.
2024-08-29 13:29:18 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.905501s.
2024-08-29 13:29:18 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.984585s.
2024-08-29 13:29:23 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 5.102189s.
2024-08-29 13:29:23 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-022/mriqc_wf/funcMRIQC/1fd755a99112f90cea1e3d5a4bdbe37f2b17a7dc/pick_echo".
2024-08-29 13:29:23 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-022/mriqc_wf/funcMRIQC/13ec8e9af4a7f15fd161b896fa93cb1d2d5e6b32/pick_echo".
2024-08-29 13:29:23 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-29 13:29:23 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-022/mriqc_wf/funcMRIQC/f515dc647e668ac97de8a7e1715dff939252e273/pick_echo".
2024-08-29 13:29:23 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.001431s.
2024-08-29 13:29:23 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-29 13:29:23 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-29 13:29:23 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.000746s.
2024-08-29 13:29:23 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.002002s.
2024-08-29 13:29:24 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-022/mriqc_wf/funcMRIQC/ComputeIQMs/1fd755a99112f90cea1e3d5a4bdbe37f2b17a7dc/provenance/mapflow/_provenance0".
2024-08-29 13:29:24 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-022/mriqc_wf/anatMRIQC/AirMaskWorkflow/9d6ebb34da97346fef10dbb36db6cda215487b6e/RotationMask".
