------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-038/filter-038.json.
------------------------------------------------------------------

2024-08-29 21:33:48 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-29 21:33:48 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-08-29 21:33:49 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-29 21:33:49 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-08-29 21:33:49 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-08-29 21:33:49 | IMPORTANT | mriqc            | Extracting metadata and entities for 3 input runs of modality 'bold'...
2024-08-29 21:33:49 | IMPORTANT | mriqc            | File size ('bold'): 1.61|0.76 GB [maximum|average].
2024-08-29 21:33:49 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-08-29 21:33:51 | IMPORTANT | mriqc            | File size ('dwi'): 0.44|0.44 GB [maximum|average].
2024-08-29 21:33:51 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-038/config-20240829-213347_8d2fd162-6fee-4eea-8ffc-ebab854f0e27.toml.
2024-08-29 21:33:55 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-29 21:33:55 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 3 BOLD runs..
2024-08-29 21:33:56 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-08-29 21:33:56 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-08-29 21:34:01 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-29 21:34:06 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-29 21:34:09 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-038/mriqc_wf/dwiMRIQC/ComputeIQMs/9cc2852936fce301725129da9a5cce2d1ebe1574/provenance".
2024-08-29 21:34:09 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-038/mriqc_wf/anatMRIQC/b436b9d2a2e259ee4d8ff48273d99688d44abd16/conform".
2024-08-29 21:34:09 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-038/mriqc_wf/anatMRIQC/f8763525786263320d516522d1908e69d843f105/conform".
2024-08-29 21:34:09 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-038/mriqc_wf/anatMRIQC/114296e834ee762b835d2c8ca198e1c8098c38c1/conform".
2024-08-29 21:34:09 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-29 21:34:09 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-29 21:34:09 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-29 21:34:09 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-038/mriqc_wf/dwiMRIQC/9cc2852936fce301725129da9a5cce2d1ebe1574/sanitize".
2024-08-29 21:34:10 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-29 21:34:10 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-29 21:34:10 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.729655s.
2024-08-29 21:34:10 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.953855s.
2024-08-29 21:34:10 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.958924s.
2024-08-29 21:34:12 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 2.213301s.
2024-08-29 21:34:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-038/mriqc_wf/funcMRIQC/4d2dcc26e7a5306e76381ea06aaef27e1694914a/pick_echo".
2024-08-29 21:34:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-038/mriqc_wf/funcMRIQC/9dd8bf2c318791c6ba4218321a63444ad295104f/pick_echo".
2024-08-29 21:34:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-038/mriqc_wf/dwiMRIQC/9cc2852936fce301725129da9a5cce2d1ebe1574/load_bmat".
2024-08-29 21:34:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-038/mriqc_wf/funcMRIQC/d931eb8bd21c2997213232cb1968fba3c646dacf/pick_echo".
2024-08-29 21:34:12 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-29 21:34:12 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-29 21:34:12 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-29 21:34:12 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.000986s.
2024-08-29 21:34:12 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.000947s.
2024-08-29 21:34:12 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.000999s.
2024-08-29 21:34:13 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-038/mriqc_wf/funcMRIQC/ComputeIQMs/4d2dcc26e7a5306e76381ea06aaef27e1694914a/provenance/mapflow/_provenance0".
2024-08-29 21:34:13 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-038/mriqc_wf/anatMRIQC/synthstrip_wf/f8763525786263320d516522d1908e69d843f105/pre_clip".
2024-08-29 21:34:13 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-038/mriqc_wf/anatMRIQC/AirMaskWorkflow/f8763525786263320d516522d1908e69d843f105/RotationMask".
2024-08-29 21:34:13 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-038/mriqc_wf/anatMRIQC/AirMaskWorkflow/b436b9d2a2e259ee4d8ff48273d99688d44abd16/RotationMask".
2024-08-29 21:34:13 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-038/mriqc_wf/anatMRIQC/anat_report_wf/f8763525786263320d516522d1908e69d843f105/PlotMosaicNoise".
