------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-041/filter-041.json.
------------------------------------------------------------------

2024-08-30 01:01:43 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-30 01:01:43 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-08-30 01:01:44 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-30 01:01:44 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-08-30 01:01:44 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-08-30 01:01:44 | IMPORTANT | mriqc            | Extracting metadata and entities for 3 input runs of modality 'bold'...
2024-08-30 01:01:45 | IMPORTANT | mriqc            | File size ('bold'): 1.61|0.75 GB [maximum|average].
2024-08-30 01:01:45 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-08-30 01:01:46 | IMPORTANT | mriqc            | File size ('dwi'): 0.44|0.44 GB [maximum|average].
2024-08-30 01:01:46 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-041/config-20240830-010142_e44c897b-d759-44ae-bf39-d295840f0a0f.toml.
2024-08-30 01:01:50 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-30 01:01:50 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 3 BOLD runs..
2024-08-30 01:01:51 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-08-30 01:01:51 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-08-30 01:01:56 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-30 01:02:02 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-30 01:02:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-041/mriqc_wf/dwiMRIQC/ComputeIQMs/fa04537911047b9c07db5ee413f3a933eb5b1f1c/provenance".
2024-08-30 01:02:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-041/mriqc_wf/anatMRIQC/af72099b5c594d12d6975a5d3b033280e41303a6/conform".
2024-08-30 01:02:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-041/mriqc_wf/anatMRIQC/cf34bf1fb03284e4da3621a020e47864eae498d3/conform".
2024-08-30 01:02:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-041/mriqc_wf/anatMRIQC/565dd122a1dbe5f6574e061dcd2c71d8556a5639/conform".
2024-08-30 01:02:05 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 01:02:05 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 01:02:05 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 01:02:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-041/mriqc_wf/dwiMRIQC/fa04537911047b9c07db5ee413f3a933eb5b1f1c/load_bmat".
2024-08-30 01:02:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-041/mriqc_wf/dwiMRIQC/fa04537911047b9c07db5ee413f3a933eb5b1f1c/sanitize".
2024-08-30 01:02:05 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
