------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-046/filter-046.json.
------------------------------------------------------------------

2024-08-30 06:45:29 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-30 06:45:29 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-08-30 06:45:29 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-30 06:45:29 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-08-30 06:45:29 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-08-30 06:45:29 | IMPORTANT | mriqc            | Extracting metadata and entities for 3 input runs of modality 'bold'...
2024-08-30 06:45:31 | IMPORTANT | mriqc            | File size ('bold'): 1.49|0.70 GB [maximum|average].
2024-08-30 06:45:31 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-08-30 06:45:32 | IMPORTANT | mriqc            | File size ('dwi'): 0.34|0.34 GB [maximum|average].
2024-08-30 06:45:32 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-046/config-20240830-064528_93e87ef8-5f26-4b21-9ff4-902e7fe1d857.toml.
2024-08-30 06:45:36 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-30 06:45:36 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 3 BOLD runs..
2024-08-30 06:45:37 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-08-30 06:45:37 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-08-30 06:45:42 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-30 06:45:47 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-30 06:45:51 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-046/mriqc_wf/anatMRIQC/3a77bc6061a1523d2106008d6f6f7ce26ba9799f/conform".
2024-08-30 06:45:51 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-046/mriqc_wf/anatMRIQC/f960fdb572299690dc38ecc826f02b70194b63db/conform".
2024-08-30 06:45:51 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-046/mriqc_wf/anatMRIQC/08a6a52c94351b48afc31c58ee8633a1d8c5c718/conform".
2024-08-30 06:45:51 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 06:45:51 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 06:45:51 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 06:45:51 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-046/mriqc_wf/dwiMRIQC/ComputeIQMs/77cf102a8f02561be5c89805673199c187fac598/provenance".
2024-08-30 06:45:51 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-046/mriqc_wf/dwiMRIQC/77cf102a8f02561be5c89805673199c187fac598/load_bmat".
2024-08-30 06:45:51 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-046/mriqc_wf/dwiMRIQC/77cf102a8f02561be5c89805673199c187fac598/sanitize".
2024-08-30 06:45:51 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-30 06:45:51 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-30 06:45:51 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-30 06:45:51 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 0.040825s.
2024-08-30 06:45:51 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.868131s.
2024-08-30 06:45:52 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.069909s.
2024-08-30 06:45:52 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.350282s.
2024-08-30 06:45:56 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 4.697788s.
2024-08-30 06:45:56 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-046/mriqc_wf/funcMRIQC/218ff3bd129362344e737ba74c591e20f3dbb773/pick_echo".
2024-08-30 06:45:56 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-30 06:45:56 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.000703s.
2024-08-30 06:45:56 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-046/mriqc_wf/funcMRIQC/405e4b458f7663ba3529153c7e377ead22af2c9e/pick_echo".
2024-08-30 06:45:56 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-046/mriqc_wf/funcMRIQC/fc8aca4a26a7d3282c3fb5c917b4b7726c903494/pick_echo".
2024-08-30 06:45:56 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-30 06:45:56 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.000902s.
2024-08-30 06:45:56 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-30 06:45:56 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.000725s.
2024-08-30 06:45:56 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-046/mriqc_wf/funcMRIQC/ComputeIQMs/218ff3bd129362344e737ba74c591e20f3dbb773/provenance/mapflow/_provenance0".
2024-08-30 06:45:56 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-046/mriqc_wf/anatMRIQC/anat_report_wf/3a77bc6061a1523d2106008d6f6f7ce26ba9799f/PlotMosaicNoise".
2024-08-30 06:45:56 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-046/mriqc_wf/anatMRIQC/synthstrip_wf/3a77bc6061a1523d2106008d6f6f7ce26ba9799f/pre_clip".
2024-08-30 06:45:56 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-046/mriqc_wf/anatMRIQC/AirMaskWorkflow/3a77bc6061a1523d2106008d6f6f7ce26ba9799f/RotationMask".
2024-08-30 06:45:56 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-046/mriqc_wf/anatMRIQC/synthstrip_wf/08a6a52c94351b48afc31c58ee8633a1d8c5c718/pre_clip".
2024-08-30 06:45:56 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-046/mriqc_wf/anatMRIQC/AirMaskWorkflow/08a6a52c94351b48afc31c58ee8633a1d8c5c718/RotationMask".
2024-08-30 06:45:56 | INFO     | nipype.workflow  | [Node] Executing "_provenance0" <mriqc.interfaces.reports.AddProvenance>
2024-08-30 06:45:56 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-046/mriqc_wf/anatMRIQC/anat_report_wf/08a6a52c94351b48afc31c58ee8633a1d8c5c718/PlotMosaicNoise".
2024-08-30 06:45:56 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-30 06:45:56 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-046/mriqc_wf/anatMRIQC/synthstrip_wf/f960fdb572299690dc38ecc826f02b70194b63db/pre_clip".
2024-08-30 06:45:56 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-046/mriqc_wf/anatMRIQC/AirMaskWorkflow/f960fdb572299690dc38ecc826f02b70194b63db/RotationMask".
2024-08-30 06:45:56 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.non_steady_state_detector" in "/home/oesteban/tmp/mriqc_ses-046/mriqc_wf/funcMRIQC/218ff3bd129362344e737ba74c591e20f3dbb773/non_steady_state_detector".
