------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-047/filter-047.json.
------------------------------------------------------------------

2024-08-30 07:44:43 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-30 07:44:44 | IMPORTANT | mriqc            | Extracting metadata and entities for 3 input runs of modality 't1w'...
2024-08-30 07:44:44 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-30 07:44:44 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-08-30 07:44:44 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-08-30 07:44:44 | IMPORTANT | mriqc            | Extracting metadata and entities for 3 input runs of modality 'bold'...
2024-08-30 07:44:45 | IMPORTANT | mriqc            | File size ('bold'): 1.51|0.71 GB [maximum|average].
2024-08-30 07:44:45 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-08-30 07:44:46 | IMPORTANT | mriqc            | File size ('dwi'): 0.34|0.34 GB [maximum|average].
2024-08-30 07:44:47 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-047/config-20240830-074442_abf6246a-ff58-41c3-8813-bc4776ed687a.toml.
2024-08-30 07:44:52 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-30 07:44:53 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 3 BOLD runs..
2024-08-30 07:44:53 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-08-30 07:44:53 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 5 NIfTI files..
2024-08-30 07:44:58 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-30 07:45:04 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-30 07:45:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-047/mriqc_wf/anatMRIQC/baad181d456669120fbe1e85bfbb9ca6ef03e6df/conform".
2024-08-30 07:45:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-047/mriqc_wf/anatMRIQC/00726601d584bb39b9df49d492432ad603b5e886/conform".
2024-08-30 07:45:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-047/mriqc_wf/anatMRIQC/0b0e947e41642b0b2424a03d22b14551bef4d58c/conform".
2024-08-30 07:45:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-047/mriqc_wf/anatMRIQC/5e3ff59f62cafa8802b7accaf9be0561f2f2f57e/conform".
2024-08-30 07:45:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-047/mriqc_wf/dwiMRIQC/ComputeIQMs/924ac4a9d09ad543bc1082039482184095691949/provenance".
2024-08-30 07:45:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-047/mriqc_wf/anatMRIQC/8bf3c4ccd48bf06f5d02b480dfad134d20435195/conform".
2024-08-30 07:45:07 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 07:45:07 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 07:45:07 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 07:45:07 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 07:45:07 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 07:45:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-047/mriqc_wf/dwiMRIQC/924ac4a9d09ad543bc1082039482184095691949/sanitize".
2024-08-30 07:45:07 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-30 07:45:07 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-30 07:45:08 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.945s.
2024-08-30 07:45:08 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.072401s.
2024-08-30 07:45:08 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.114597s.
2024-08-30 07:45:08 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.351153s.
2024-08-30 07:45:08 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.393344s.
2024-08-30 07:45:11 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 3.794544s.
2024-08-30 07:45:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-047/mriqc_wf/funcMRIQC/24bba6bb2bd22d8b27eca29b0dadd485f0c2a97a/pick_echo".
2024-08-30 07:45:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-047/mriqc_wf/funcMRIQC/d9d8322334dffe8312327b659d7fc7dbb9209739/pick_echo".
2024-08-30 07:45:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-047/mriqc_wf/funcMRIQC/4dc6c435bd97f892e04625e99b53b1bfba81cbd0/pick_echo".
2024-08-30 07:45:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-047/mriqc_wf/dwiMRIQC/924ac4a9d09ad543bc1082039482184095691949/load_bmat".
2024-08-30 07:45:12 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-30 07:45:12 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-30 07:45:12 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-30 07:45:12 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.000999s.
2024-08-30 07:45:12 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.00096s.
2024-08-30 07:45:12 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.000957s.
2024-08-30 07:45:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-047/mriqc_wf/anatMRIQC/AirMaskWorkflow/baad181d456669120fbe1e85bfbb9ca6ef03e6df/RotationMask".
2024-08-30 07:45:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-047/mriqc_wf/anatMRIQC/synthstrip_wf/baad181d456669120fbe1e85bfbb9ca6ef03e6df/pre_clip".
2024-08-30 07:45:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-047/mriqc_wf/anatMRIQC/synthstrip_wf/00726601d584bb39b9df49d492432ad603b5e886/pre_clip".
2024-08-30 07:45:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-047/mriqc_wf/anatMRIQC/anat_report_wf/baad181d456669120fbe1e85bfbb9ca6ef03e6df/PlotMosaicNoise".
2024-08-30 07:45:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-047/mriqc_wf/anatMRIQC/AirMaskWorkflow/00726601d584bb39b9df49d492432ad603b5e886/RotationMask".
2024-08-30 07:45:12 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-30 07:45:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-047/mriqc_wf/anatMRIQC/anat_report_wf/00726601d584bb39b9df49d492432ad603b5e886/PlotMosaicNoise".
2024-08-30 07:45:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-047/mriqc_wf/anatMRIQC/synthstrip_wf/0b0e947e41642b0b2424a03d22b14551bef4d58c/pre_clip".
2024-08-30 07:45:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-047/mriqc_wf/anatMRIQC/AirMaskWorkflow/5e3ff59f62cafa8802b7accaf9be0561f2f2f57e/RotationMask".
2024-08-30 07:45:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-047/mriqc_wf/anatMRIQC/synthstrip_wf/5e3ff59f62cafa8802b7accaf9be0561f2f2f57e/pre_clip".
2024-08-30 07:45:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-047/mriqc_wf/anatMRIQC/AirMaskWorkflow/0b0e947e41642b0b2424a03d22b14551bef4d58c/RotationMask".
