------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-20902060/filter-20902060.json.
------------------------------------------------------------------

2024-08-30 12:54:22 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-30 12:57:02 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-08-30 12:57:02 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-30 12:57:02 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-08-30 12:57:02 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-08-30 12:57:02 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'bold'...
2024-08-30 12:57:02 | IMPORTANT | mriqc            | File size ('bold'): 1.18|1.18 GB [maximum|average].
2024-08-30 12:57:02 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-08-30 12:57:02 | IMPORTANT | mriqc            | File size ('dwi'): 0.41|0.41 GB [maximum|average].
2024-08-30 12:57:02 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-20902060/config-20240830-125418_f4946f0c-1ff8-49eb-aa40-0f168f5903f4.toml.
2024-08-30 12:57:11 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-30 12:57:12 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 1 BOLD runs..
2024-08-30 12:57:13 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-08-30 12:57:13 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-08-30 12:57:17 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-30 12:57:22 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-30 12:57:23 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-20902060/mriqc_wf/anatMRIQC/1d9e31eb64868f53d2b3d0e2606ce6d716ff7991/conform".
2024-08-30 12:57:23 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-20902060/mriqc_wf/dwiMRIQC/ComputeIQMs/c4a69a2e33880aa92b5343c52aefb80ca65a7224/provenance".
2024-08-30 12:57:23 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-20902060/mriqc_wf/anatMRIQC/34f088ac59e4a4fd4e22e31116166cee1dd8a7a1/conform".
2024-08-30 12:57:23 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-20902060/mriqc_wf/anatMRIQC/815f7e276b91ac9ea35212b0dda8e31279f6500f/conform".
2024-08-30 12:57:23 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-20902060/mriqc_wf/dwiMRIQC/c4a69a2e33880aa92b5343c52aefb80ca65a7224/sanitize".
2024-08-30 12:57:23 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-20902060/mriqc_wf/dwiMRIQC/c4a69a2e33880aa92b5343c52aefb80ca65a7224/load_bmat".
2024-08-30 12:57:23 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-30 12:57:23 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 12:57:23 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 12:57:23 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 12:57:23 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-30 12:57:23 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-30 12:57:24 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.538161s.
2024-08-30 12:57:24 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.654159s.
2024-08-30 12:57:24 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.726453s.
2024-08-30 12:57:24 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.755415s.
2024-08-30 12:57:24 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-20902060/mriqc_wf/funcMRIQC/7a6743030286052f5e584a3421677a64ad30edf5/pick_echo".
2024-08-30 12:57:24 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-30 12:57:24 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.000632s.
2024-08-30 12:57:25 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-20902060/mriqc_wf/funcMRIQC/ComputeIQMs/7a6743030286052f5e584a3421677a64ad30edf5/provenance/mapflow/_provenance0".
2024-08-30 12:57:25 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-20902060/mriqc_wf/anatMRIQC/synthstrip_wf/1d9e31eb64868f53d2b3d0e2606ce6d716ff7991/pre_clip".
2024-08-30 12:57:25 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-20902060/mriqc_wf/anatMRIQC/AirMaskWorkflow/1d9e31eb64868f53d2b3d0e2606ce6d716ff7991/RotationMask".
2024-08-30 12:57:25 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-20902060/mriqc_wf/anatMRIQC/synthstrip_wf/34f088ac59e4a4fd4e22e31116166cee1dd8a7a1/pre_clip".
2024-08-30 12:57:25 | INFO     | nipype.workflow  | [Node] Executing "_provenance0" <mriqc.interfaces.reports.AddProvenance>
2024-08-30 12:57:25 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-20902060/mriqc_wf/anatMRIQC/AirMaskWorkflow/34f088ac59e4a4fd4e22e31116166cee1dd8a7a1/RotationMask".
2024-08-30 12:57:25 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-20902060/mriqc_wf/anatMRIQC/anat_report_wf/1d9e31eb64868f53d2b3d0e2606ce6d716ff7991/PlotMosaicNoise".
2024-08-30 12:57:25 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.non_steady_state_detector" in "/home/oesteban/tmp/mriqc_ses-20902060/mriqc_wf/funcMRIQC/7a6743030286052f5e584a3421677a64ad30edf5/non_steady_state_detector".
2024-08-30 12:57:25 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-20902060/mriqc_wf/anatMRIQC/synthstrip_wf/815f7e276b91ac9ea35212b0dda8e31279f6500f/pre_clip".
2024-08-30 12:57:25 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-20902060/mriqc_wf/anatMRIQC/anat_report_wf/34f088ac59e4a4fd4e22e31116166cee1dd8a7a1/PlotMosaicNoise".
2024-08-30 12:57:25 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-20902060/mriqc_wf/anatMRIQC/AirMaskWorkflow/815f7e276b91ac9ea35212b0dda8e31279f6500f/RotationMask".
2024-08-30 12:57:25 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-20902060/mriqc_wf/anatMRIQC/anat_report_wf/815f7e276b91ac9ea35212b0dda8e31279f6500f/PlotMosaicNoise".
2024-08-30 12:57:25 | INFO     | nipype.workflow  | [Node] Executing "non_steady_state_detector" <nipype.algorithms.confounds.NonSteadyStateDetector>
2024-08-30 12:57:25 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-30 12:57:25 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-30 12:57:25 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-30 12:57:25 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-30 12:57:25 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-30 12:57:25 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-30 12:57:25 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-30 12:57:25 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-30 12:57:25 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-30 12:57:26 | INFO     | nipype.workflow  | [Node] Finished "_provenance0", elapsed time 0.713862s.
2024-08-30 12:57:26 | INFO     | nipype.workflow  | [Node] Finished "non_steady_state_detector", elapsed time 0.826565s.
2024-08-30 12:57:26 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance1" in "/home/oesteban/tmp/mriqc_ses-20902060/mriqc_wf/funcMRIQC/ComputeIQMs/7a6743030286052f5e584a3421677a64ad30edf5/provenance/mapflow/_provenance1".
2024-08-30 12:57:26 | INFO     | nipype.workflow  | [Node] Executing "_provenance1" <mriqc.interfaces.reports.AddProvenance>
2024-08-30 12:57:27 | INFO     | nipype.workflow  | [Node] Finished "_provenance1", elapsed time 0.681835s.
