------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-20601034/filter-20601034.json.
------------------------------------------------------------------

2024-08-30 14:11:05 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-30 14:12:32 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't1w'...
2024-08-30 14:12:32 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-30 14:12:32 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-08-30 14:12:32 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-08-30 14:12:32 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'bold'...
2024-08-30 14:12:32 | IMPORTANT | mriqc            | File size ('bold'): 1.16|1.16 GB [maximum|average].
2024-08-30 14:12:32 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-08-30 14:12:33 | IMPORTANT | mriqc            | File size ('dwi'): 0.32|0.32 GB [maximum|average].
2024-08-30 14:12:33 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-20601034/config-20240830-141045_2d0cd21b-1417-42d5-9715-5087744016a8.toml.
2024-08-30 14:12:42 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-30 14:12:43 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 1 BOLD runs..
2024-08-30 14:12:45 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-08-30 14:12:45 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 4 NIfTI files..
2024-08-30 14:12:50 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-30 14:12:54 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-30 14:12:55 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-20601034/mriqc_wf/anatMRIQC/3f65a7a4962f8ec00c0721d669f7eecb0482a9b8/conform".
2024-08-30 14:12:55 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-20601034/mriqc_wf/anatMRIQC/6c8b7e5a1e7154b790afd36be1ceff640f0e5d19/conform".
2024-08-30 14:12:55 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-20601034/mriqc_wf/anatMRIQC/c0bcd8085d36888616075aa8120fe11ebeaa1e8c/conform".
2024-08-30 14:12:55 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-20601034/mriqc_wf/anatMRIQC/6eb11561e703184229084f8e90a9855b82ab2ffd/conform".
2024-08-30 14:12:55 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 14:12:55 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-20601034/mriqc_wf/dwiMRIQC/ComputeIQMs/875d7fa523b86568b89f1df8a97916ced6381608/provenance".
2024-08-30 14:12:55 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 14:12:55 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-20601034/mriqc_wf/dwiMRIQC/875d7fa523b86568b89f1df8a97916ced6381608/load_bmat".
2024-08-30 14:12:55 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 14:12:55 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 14:12:55 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-30 14:12:55 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-30 14:12:56 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.440281s.
2024-08-30 14:12:56 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.45144s.
2024-08-30 14:12:56 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.517363s.
