------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-pilot006/filter-pilot006.json.
------------------------------------------------------------------

2024-08-30 19:12:09 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-30 19:12:10 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't1w'...
2024-08-30 19:12:10 | IMPORTANT | mriqc            | File size ('t1w'): 0.02|0.02 GB [maximum|average].
2024-08-30 19:12:10 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 'dwi'...
2024-08-30 19:12:11 | IMPORTANT | mriqc            | File size ('dwi'): 0.23|0.18 GB [maximum|average].
2024-08-30 19:12:11 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-pilot006/config-20240830-191208_2e327167-9b11-4855-84be-b0307628f11f.toml.
2024-08-30 19:12:15 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-30 19:12:15 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 2 NIfTI files..
2024-08-30 19:12:16 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 2 NIfTI files..
2024-08-30 19:12:21 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-30 19:12:26 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-30 19:12:29 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/dwiMRIQC/ComputeIQMs/41956468032cb9d952b70771d2fd5ae0796c8903/provenance".
2024-08-30 19:12:29 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/anatMRIQC/8a65c571bc81796df849bfbdf67dc0ea6f2d61ef/conform".
2024-08-30 19:12:29 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/anatMRIQC/da511f7357a400eead8cd27d6b914d9669a0800c/conform".
2024-08-30 19:12:29 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 19:12:29 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 19:12:29 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/dwiMRIQC/41956468032cb9d952b70771d2fd5ae0796c8903/sanitize".
2024-08-30 19:12:29 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-30 19:12:29 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-30 19:12:30 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.045196s.
2024-08-30 19:12:30 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.138055s.
2024-08-30 19:12:30 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 1.663796s.
2024-08-30 19:12:31 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/dwiMRIQC/ComputeIQMs/8af095533a5fc0707c3b46e238df21fccd8cb563/provenance".
2024-08-30 19:12:31 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/dwiMRIQC/41956468032cb9d952b70771d2fd5ae0796c8903/load_bmat".
2024-08-30 19:12:31 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/dwiMRIQC/8af095533a5fc0707c3b46e238df21fccd8cb563/sanitize".
2024-08-30 19:12:31 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-30 19:12:31 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-30 19:12:31 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-30 19:12:32 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 1.123596s.
2024-08-30 19:12:33 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/anatMRIQC/synthstrip_wf/8a65c571bc81796df849bfbdf67dc0ea6f2d61ef/pre_clip".
2024-08-30 19:12:33 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/anatMRIQC/AirMaskWorkflow/8a65c571bc81796df849bfbdf67dc0ea6f2d61ef/RotationMask".
2024-08-30 19:12:33 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/dwiMRIQC/8af095533a5fc0707c3b46e238df21fccd8cb563/load_bmat".
2024-08-30 19:12:33 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/anatMRIQC/synthstrip_wf/da511f7357a400eead8cd27d6b914d9669a0800c/pre_clip".
2024-08-30 19:12:33 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/anatMRIQC/anat_report_wf/8a65c571bc81796df849bfbdf67dc0ea6f2d61ef/PlotMosaicNoise".
2024-08-30 19:12:33 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/anatMRIQC/AirMaskWorkflow/da511f7357a400eead8cd27d6b914d9669a0800c/RotationMask".
2024-08-30 19:12:33 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/anatMRIQC/anat_report_wf/da511f7357a400eead8cd27d6b914d9669a0800c/PlotMosaicNoise".
2024-08-30 19:12:33 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-30 19:12:33 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-30 19:12:33 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-30 19:12:33 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-30 19:12:33 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-30 19:12:33 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-30 19:12:33 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-30 19:12:33 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 2.4297779999999998s.
2024-08-30 19:12:34 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 1.5257450000000001s.
2024-08-30 19:12:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.shells" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/dwiMRIQC/41956468032cb9d952b70771d2fd5ae0796c8903/shells".
2024-08-30 19:12:35 | INFO     | nipype.workflow  | [Node] Executing "shells" <mriqc.interfaces.diffusion.NumberOfShells>
2024-08-30 19:12:35 | INFO     | nipype.workflow  | [Node] Finished "shells", elapsed time 0.002467s.
2024-08-30 19:12:36 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 4.98884s.
2024-08-30 19:12:37 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.piesno" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/dwiMRIQC/8af095533a5fc0707c3b46e238df21fccd8cb563/piesno".
2024-08-30 19:12:37 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.shells" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/dwiMRIQC/8af095533a5fc0707c3b46e238df21fccd8cb563/shells".
2024-08-30 19:12:37 | INFO     | nipype.workflow  | [Node] Executing "piesno" <mriqc.interfaces.diffusion.PIESNO>
2024-08-30 19:12:37 | INFO     | nipype.workflow  | [Node] Executing "shells" <mriqc.interfaces.diffusion.NumberOfShells>
2024-08-30 19:12:37 | INFO     | nipype.workflow  | [Node] Finished "shells", elapsed time 0.002291s.
2024-08-30 19:12:38 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 8.713419s.
2024-08-30 19:12:38 | INFO     | nipype.workflow  | [Node] Finished "RotationMask", elapsed time 5.278917s.
2024-08-30 19:12:41 | INFO     | nipype.workflow  | [Node] Finished "RotationMask", elapsed time 7.9082550000000005s.
2024-08-30 19:12:42 | INFO     | nipype.workflow  | [Node] Finished "PlotMosaicNoise", elapsed time 9.069202s.
2024-08-30 19:12:42 | INFO     | nipype.workflow  | [Node] Finished "PlotMosaicNoise", elapsed time 9.097267s.
2024-08-30 19:12:43 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/anatMRIQC/anat_report_wf/8a65c571bc81796df849bfbdf67dc0ea6f2d61ef/ds_report_background".
2024-08-30 19:12:43 | INFO     | nipype.workflow  | [Node] Executing "ds_report_background" <mriqc.interfaces.DerivativesDataSink>
2024-08-30 19:12:43 | INFO     | nipype.workflow  | [Node] Finished "ds_report_background", elapsed time 0.007508s.
2024-08-30 19:12:43 | INFO     | nipype.workflow  | [Node] Finished "piesno", elapsed time 6.008762s.
2024-08-30 19:12:43 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/anatMRIQC/anat_report_wf/da511f7357a400eead8cd27d6b914d9669a0800c/ds_report_background".
2024-08-30 19:12:43 | INFO     | nipype.workflow  | [Node] Executing "ds_report_background" <mriqc.interfaces.DerivativesDataSink>
2024-08-30 19:12:43 | INFO     | nipype.workflow  | [Node] Finished "ds_report_background", elapsed time 0.009835s.
2024-08-30 19:12:45 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.piesno" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/dwiMRIQC/41956468032cb9d952b70771d2fd5ae0796c8903/piesno".
2024-08-30 19:12:45 | INFO     | nipype.workflow  | [Node] Executing "piesno" <mriqc.interfaces.diffusion.PIESNO>
2024-08-30 19:12:55 | INFO     | nipype.workflow  | [Node] Finished "piesno", elapsed time 10.325339s.
2024-08-30 19:12:57 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.dwi_ref" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/dwiMRIQC/41956468032cb9d952b70771d2fd5ae0796c8903/dwi_ref".
2024-08-30 19:12:57 | INFO     | nipype.workflow  | [Node] Executing "dwi_ref" <niworkflows.interfaces.images.RobustAverage>
2024-08-30 19:13:00 | INFO     | nipype.workflow  | [Node] Finished "dwi_ref", elapsed time 3.4039099999999998s.
2024-08-30 19:13:01 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.get_lowb" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/dwiMRIQC/41956468032cb9d952b70771d2fd5ae0796c8903/get_lowb".
2024-08-30 19:13:01 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/dwiMRIQC/synthstrip_wf/41956468032cb9d952b70771d2fd5ae0796c8903/pre_clip".
2024-08-30 19:13:01 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.SpatialNormalization.SharpenEPI" in "/home/oesteban/tmp/mriqc_ses-pilot006/mriqc_wf/dwiMRIQC/SpatialNormalization/41956468032cb9d952b70771d2fd5ae0796c8903/SharpenEPI".
2024-08-30 19:13:01 | INFO     | nipype.workflow  | [Node] Executing "get_lowb" <mriqc.interfaces.diffusion.ExtractOrientations>
2024-08-30 19:13:01 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-30 19:13:01 | INFO     | nipype.workflow  | [Node] Executing "SharpenEPI" <nipype.interfaces.ants.segmentation.N4BiasFieldCorrection>
2024-08-30 19:13:01 | INFO     | nipype.workflow  | [Node] Finished "pre_clip", elapsed time 28.393803s.
2024-08-30 19:13:03 | INFO     | nipype.workflow  | [Node] Finished "pre_clip", elapsed time 29.906582s.
2024-08-30 19:13:03 | INFO     | nipype.workflow  | [Node] Finished "pre_clip", elapsed time 2.297609s.
2024-08-30 19:13:03 | INFO     | nipype.workflow  | [Node] Finished "get_lowb", elapsed time 2.390896s.
