------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-pilot009/filter-pilot009.json.
------------------------------------------------------------------

2024-08-30 20:01:07 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-30 20:01:07 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't1w'...
2024-08-30 20:01:07 | IMPORTANT | mriqc            | File size ('t1w'): 0.02|0.02 GB [maximum|average].
2024-08-30 20:01:07 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'bold'...
2024-08-30 20:01:08 | IMPORTANT | mriqc            | File size ('bold'): 0.41|0.41 GB [maximum|average].
2024-08-30 20:01:08 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-08-30 20:01:08 | IMPORTANT | mriqc            | File size ('dwi'): 0.44|0.44 GB [maximum|average].
2024-08-30 20:01:08 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-pilot009/config-20240830-200106_38a7447a-2f38-44ec-9e91-38ecb1a00cb0.toml.
2024-08-30 20:01:12 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-30 20:01:13 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 1 BOLD runs..
2024-08-30 20:01:13 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-08-30 20:01:13 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 2 NIfTI files..
2024-08-30 20:01:18 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-30 20:01:23 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-30 20:01:26 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-pilot009/mriqc_wf/dwiMRIQC/ComputeIQMs/9abfae3484f27cab8b9408159e952aaa673b10be/provenance".
2024-08-30 20:01:26 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot009/mriqc_wf/anatMRIQC/e4338fb67efec1a08b5fb02376aef4098f96a858/conform".
2024-08-30 20:01:26 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot009/mriqc_wf/anatMRIQC/abcc9b8eb213a49e1f330b5eb5dc36a7e7a4a366/conform".
2024-08-30 20:01:26 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 20:01:26 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 20:01:27 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-30 20:01:27 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.000278s.
2024-08-30 20:01:27 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.048694s.
