------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-pilot005/filter-pilot005.json.
------------------------------------------------------------------

2024-08-30 20:56:05 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-30 20:56:05 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'bold'...
2024-08-30 20:56:06 | IMPORTANT | mriqc            | File size ('bold'): 0.38|0.38 GB [maximum|average].
2024-08-30 20:56:06 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 'dwi'...
2024-08-30 20:56:07 | IMPORTANT | mriqc            | File size ('dwi'): 0.23|0.17 GB [maximum|average].
2024-08-30 20:56:07 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-pilot005/config-20240830-205604_8c96f748-9170-43dc-b95a-8616d1c6563d.toml.
2024-08-30 20:56:11 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-30 20:56:11 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 1 BOLD runs..
2024-08-30 20:56:12 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 2 NIfTI files..
2024-08-30 20:56:17 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-30 20:56:22 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-30 20:56:25 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-pilot005/mriqc_wf/dwiMRIQC/ComputeIQMs/4d1fd73f491cb9c399f3a1a30611783119be807f/provenance".
2024-08-30 20:56:25 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-pilot005/mriqc_wf/dwiMRIQC/4d1fd73f491cb9c399f3a1a30611783119be807f/load_bmat".
2024-08-30 20:56:25 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-pilot005/mriqc_wf/dwiMRIQC/4d1fd73f491cb9c399f3a1a30611783119be807f/sanitize".
2024-08-30 20:56:25 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-30 20:56:25 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-30 20:56:25 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-30 20:56:28 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 2.55841s.
2024-08-30 20:56:28 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-pilot005/mriqc_wf/dwiMRIQC/ComputeIQMs/8797fd40e6f076f819379504262dda1497b9b12c/provenance".
2024-08-30 20:56:28 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-pilot005/mriqc_wf/dwiMRIQC/8797fd40e6f076f819379504262dda1497b9b12c/load_bmat".
2024-08-30 20:56:28 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-pilot005/mriqc_wf/dwiMRIQC/8797fd40e6f076f819379504262dda1497b9b12c/sanitize".
2024-08-30 20:56:28 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-30 20:56:28 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-30 20:56:28 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-30 20:56:30 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 4.8967s.
2024-08-30 20:56:30 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 1.8581530000000002s.
2024-08-30 20:56:30 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 2.048401s.
2024-08-30 20:56:31 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-pilot005/mriqc_wf/funcMRIQC/ComputeIQMs/bbca5c60e0db96582f27997e237d68c4f6aa0841/provenance/mapflow/_provenance0".
2024-08-30 20:56:31 | INFO     | nipype.workflow  | [Node] Executing "_provenance0" <mriqc.interfaces.reports.AddProvenance>
2024-08-30 20:56:31 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-pilot005/mriqc_wf/funcMRIQC/bbca5c60e0db96582f27997e237d68c4f6aa0841/pick_echo".
2024-08-30 20:56:31 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-30 20:56:31 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.000947s.
2024-08-30 20:56:31 | INFO     | nipype.workflow  | [Node] Finished "_provenance0", elapsed time 0.60966s.
2024-08-30 20:56:31 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance1" in "/home/oesteban/tmp/mriqc_ses-pilot005/mriqc_wf/funcMRIQC/ComputeIQMs/bbca5c60e0db96582f27997e237d68c4f6aa0841/provenance/mapflow/_provenance1".
2024-08-30 20:56:31 | INFO     | nipype.workflow  | [Node] Executing "_provenance1" <mriqc.interfaces.reports.AddProvenance>
2024-08-30 20:56:32 | INFO     | nipype.workflow  | [Node] Finished "_provenance1", elapsed time 0.470736s.
2024-08-30 20:56:32 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance2" in "/home/oesteban/tmp/mriqc_ses-pilot005/mriqc_wf/funcMRIQC/ComputeIQMs/bbca5c60e0db96582f27997e237d68c4f6aa0841/provenance/mapflow/_provenance2".
2024-08-30 20:56:32 | INFO     | nipype.workflow  | [Node] Executing "_provenance2" <mriqc.interfaces.reports.AddProvenance>
2024-08-30 20:56:33 | INFO     | nipype.workflow  | [Node] Finished "_provenance2", elapsed time 0.773427s.
2024-08-30 20:56:33 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance3" in "/home/oesteban/tmp/mriqc_ses-pilot005/mriqc_wf/funcMRIQC/ComputeIQMs/bbca5c60e0db96582f27997e237d68c4f6aa0841/provenance/mapflow/_provenance3".
2024-08-30 20:56:33 | INFO     | nipype.workflow  | [Node] Executing "_provenance3" <mriqc.interfaces.reports.AddProvenance>
2024-08-30 20:56:34 | INFO     | nipype.workflow  | [Node] Finished "_provenance3", elapsed time 0.41096s.
2024-08-30 20:56:34 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 5.70482s.
2024-08-30 20:56:34 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-pilot005/mriqc_wf/funcMRIQC/ComputeIQMs/bbca5c60e0db96582f27997e237d68c4f6aa0841/provenance/mapflow/_provenance0".
2024-08-30 20:56:34 | INFO     | nipype.workflow  | [Node] Cached "_provenance0" - collecting precomputed outputs
2024-08-30 20:56:34 | INFO     | nipype.workflow  | [Node] "_provenance0" found cached.
2024-08-30 20:56:34 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance1" in "/home/oesteban/tmp/mriqc_ses-pilot005/mriqc_wf/funcMRIQC/ComputeIQMs/bbca5c60e0db96582f27997e237d68c4f6aa0841/provenance/mapflow/_provenance1".
2024-08-30 20:56:34 | INFO     | nipype.workflow  | [Node] Cached "_provenance1" - collecting precomputed outputs
2024-08-30 20:56:34 | INFO     | nipype.workflow  | [Node] "_provenance1" found cached.
2024-08-30 20:56:34 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance2" in "/home/oesteban/tmp/mriqc_ses-pilot005/mriqc_wf/funcMRIQC/ComputeIQMs/bbca5c60e0db96582f27997e237d68c4f6aa0841/provenance/mapflow/_provenance2".
2024-08-30 20:56:34 | INFO     | nipype.workflow  | [Node] Cached "_provenance2" - collecting precomputed outputs
2024-08-30 20:56:34 | INFO     | nipype.workflow  | [Node] "_provenance2" found cached.
2024-08-30 20:56:34 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance3" in "/home/oesteban/tmp/mriqc_ses-pilot005/mriqc_wf/funcMRIQC/ComputeIQMs/bbca5c60e0db96582f27997e237d68c4f6aa0841/provenance/mapflow/_provenance3".
2024-08-30 20:56:34 | INFO     | nipype.workflow  | [Node] Cached "_provenance3" - collecting precomputed outputs
2024-08-30 20:56:34 | INFO     | nipype.workflow  | [Node] "_provenance3" found cached.
2024-08-30 20:56:34 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 9.106568s.
2024-08-30 20:56:34 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.shells" in "/home/oesteban/tmp/mriqc_ses-pilot005/mriqc_wf/dwiMRIQC/4d1fd73f491cb9c399f3a1a30611783119be807f/shells".
2024-08-30 20:56:34 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.non_steady_state_detector" in "/home/oesteban/tmp/mriqc_ses-pilot005/mriqc_wf/funcMRIQC/bbca5c60e0db96582f27997e237d68c4f6aa0841/non_steady_state_detector".
2024-08-30 20:56:34 | INFO     | nipype.workflow  | [Node] Executing "non_steady_state_detector" <nipype.algorithms.confounds.NonSteadyStateDetector>
