------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-pilot021/filter-pilot021.json.
------------------------------------------------------------------

2024-08-30 21:40:15 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-30 21:40:16 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-08-30 21:40:16 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-30 21:40:16 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-08-30 21:40:16 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-08-30 21:40:16 | IMPORTANT | mriqc            | Extracting metadata and entities for 3 input runs of modality 'bold'...
2024-08-30 21:40:17 | IMPORTANT | mriqc            | File size ('bold'): 1.52|0.72 GB [maximum|average].
2024-08-30 21:40:17 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-08-30 21:40:27 | IMPORTANT | mriqc            | File size ('dwi'): 0.44|0.44 GB [maximum|average].
2024-08-30 21:40:27 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-pilot021/config-20240830-214014_8100d272-e75c-403c-9145-efa45233204d.toml.
2024-08-30 21:40:31 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-30 21:40:31 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 3 BOLD runs..
2024-08-30 21:40:32 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-08-30 21:40:32 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-08-30 21:40:37 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-30 21:40:42 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-30 21:40:45 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-pilot021/mriqc_wf/dwiMRIQC/ComputeIQMs/36cfa638489b10076061bf5085ec628655259be8/provenance".
2024-08-30 21:40:45 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot021/mriqc_wf/anatMRIQC/4aba0be0c17bfb74b57b3ba9c9b9f06f975f4fa4/conform".
2024-08-30 21:40:45 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot021/mriqc_wf/anatMRIQC/eab511ca1a0cb75f70353c8c45140f2eb9f20ac4/conform".
2024-08-30 21:40:45 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot021/mriqc_wf/anatMRIQC/e82bdfde4bb2cc89f51e508a65e871391d3df1f2/conform".
2024-08-30 21:40:45 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 21:40:45 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 21:40:45 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-30 21:40:46 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-30 21:40:46 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.787098s.
2024-08-30 21:40:46 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.960477s.
2024-08-30 21:40:46 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.950785s.
2024-08-30 21:40:48 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 2.184398s.
2024-08-30 21:40:48 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-pilot021/mriqc_wf/dwiMRIQC/36cfa638489b10076061bf5085ec628655259be8/load_bmat".
