------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-pilot013/filter-pilot013.json.
------------------------------------------------------------------

2024-08-31 02:06:47 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-31 02:06:47 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't1w'...
2024-08-31 02:06:47 | IMPORTANT | mriqc            | File size ('t1w'): 0.02|0.02 GB [maximum|average].
2024-08-31 02:06:47 | IMPORTANT | mriqc            | Extracting metadata and entities for 3 input runs of modality 'bold'...
2024-08-31 02:06:48 | IMPORTANT | mriqc            | File size ('bold'): 1.60|0.75 GB [maximum|average].
2024-08-31 02:06:48 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 'dwi'...
2024-08-31 02:06:50 | IMPORTANT | mriqc            | File size ('dwi'): 0.22|0.16 GB [maximum|average].
2024-08-31 02:06:50 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-pilot013/config-20240831-020645_18e2a44d-3dfa-4920-8d27-d717e6f714be.toml.
2024-08-31 02:06:54 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-31 02:06:54 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 3 BOLD runs..
2024-08-31 02:06:55 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 2 NIfTI files..
2024-08-31 02:06:55 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 2 NIfTI files..
2024-08-31 02:07:00 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-31 02:07:05 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-31 02:07:08 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/dwiMRIQC/ComputeIQMs/b043c55108c904d259a066bdba35cc2bc201a3c1/provenance".
2024-08-31 02:07:08 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/anatMRIQC/2fc29ba61d7e3942a45b9ccdd8b913c24afe7973/conform".
2024-08-31 02:07:08 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/anatMRIQC/a82f9cb1662872f4de7f540f1e01886028e84727/conform".
2024-08-31 02:07:08 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-31 02:07:08 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-31 02:07:08 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/dwiMRIQC/b043c55108c904d259a066bdba35cc2bc201a3c1/load_bmat".
2024-08-31 02:07:08 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/dwiMRIQC/b043c55108c904d259a066bdba35cc2bc201a3c1/sanitize".
2024-08-31 02:07:08 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-31 02:07:08 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 02:07:08 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-31 02:07:09 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.3400159999999999s.
2024-08-31 02:07:09 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.5146920000000001s.
2024-08-31 02:07:11 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 2.660791s.
2024-08-31 02:07:11 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/dwiMRIQC/ComputeIQMs/c2ca920e16c24f5854e0565ab93d8832dc93691c/provenance".
2024-08-31 02:07:11 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/dwiMRIQC/c2ca920e16c24f5854e0565ab93d8832dc93691c/load_bmat".
2024-08-31 02:07:11 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/dwiMRIQC/c2ca920e16c24f5854e0565ab93d8832dc93691c/sanitize".
2024-08-31 02:07:11 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 02:07:11 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-31 02:07:11 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-31 02:07:15 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 3.874656s.
2024-08-31 02:07:15 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/funcMRIQC/06ae81246b310255ffa35970385c7c1f90a90263/pick_echo".
2024-08-31 02:07:15 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/funcMRIQC/f9628408f12655b19b6af3f7c123256b75a74701/pick_echo".
2024-08-31 02:07:15 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-31 02:07:15 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.001097s.
2024-08-31 02:07:15 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-31 02:07:15 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.001016s.
2024-08-31 02:07:16 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/funcMRIQC/bd44657d1cf3962e166135c3615a57f8f92fdaff/pick_echo".
2024-08-31 02:07:16 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/funcMRIQC/ComputeIQMs/06ae81246b310255ffa35970385c7c1f90a90263/provenance/mapflow/_provenance0".
2024-08-31 02:07:16 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/anatMRIQC/synthstrip_wf/2fc29ba61d7e3942a45b9ccdd8b913c24afe7973/pre_clip".
2024-08-31 02:07:16 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/anatMRIQC/AirMaskWorkflow/2fc29ba61d7e3942a45b9ccdd8b913c24afe7973/RotationMask".
2024-08-31 02:07:16 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/anatMRIQC/synthstrip_wf/a82f9cb1662872f4de7f540f1e01886028e84727/pre_clip".
2024-08-31 02:07:16 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/anatMRIQC/anat_report_wf/2fc29ba61d7e3942a45b9ccdd8b913c24afe7973/PlotMosaicNoise".
2024-08-31 02:07:16 | INFO     | nipype.workflow  | [Node] Executing "_provenance0" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 02:07:16 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/anatMRIQC/AirMaskWorkflow/a82f9cb1662872f4de7f540f1e01886028e84727/RotationMask".
2024-08-31 02:07:16 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/anatMRIQC/anat_report_wf/a82f9cb1662872f4de7f540f1e01886028e84727/PlotMosaicNoise".
2024-08-31 02:07:16 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-31 02:07:16 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.000744s.
2024-08-31 02:07:16 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-31 02:07:16 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-31 02:07:16 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-31 02:07:16 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-31 02:07:16 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-31 02:07:16 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-31 02:07:17 | INFO     | nipype.workflow  | [Node] Finished "_provenance0", elapsed time 1.096901s.
2024-08-31 02:07:17 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance1" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/funcMRIQC/ComputeIQMs/06ae81246b310255ffa35970385c7c1f90a90263/provenance/mapflow/_provenance1".
2024-08-31 02:07:17 | INFO     | nipype.workflow  | [Node] Executing "_provenance1" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 02:07:17 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 9.081266s.
2024-08-31 02:07:18 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 7.339441s.
2024-08-31 02:07:19 | INFO     | nipype.workflow  | [Node] Finished "_provenance1", elapsed time 1.596352s.
2024-08-31 02:07:19 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance2" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/funcMRIQC/ComputeIQMs/06ae81246b310255ffa35970385c7c1f90a90263/provenance/mapflow/_provenance2".
2024-08-31 02:07:19 | INFO     | nipype.workflow  | [Node] Executing "_provenance2" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 02:07:20 | INFO     | nipype.workflow  | [Node] Finished "RotationMask", elapsed time 4.090904s.
2024-08-31 02:07:20 | INFO     | nipype.workflow  | [Node] Finished "_provenance2", elapsed time 1.491447s.
2024-08-31 02:07:21 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 12.843667s.
2024-08-31 02:07:21 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 9.674271s.
2024-08-31 02:07:21 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance3" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/funcMRIQC/ComputeIQMs/06ae81246b310255ffa35970385c7c1f90a90263/provenance/mapflow/_provenance3".
2024-08-31 02:07:21 | INFO     | nipype.workflow  | [Node] Executing "_provenance3" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 02:07:21 | INFO     | nipype.workflow  | [Node] Finished "_provenance3", elapsed time 0.47513s.
2024-08-31 02:07:21 | INFO     | nipype.workflow  | [Node] Finished "RotationMask", elapsed time 5.73812s.
2024-08-31 02:07:22 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/funcMRIQC/ComputeIQMs/f9628408f12655b19b6af3f7c123256b75a74701/provenance/mapflow/_provenance0".
2024-08-31 02:07:22 | INFO     | nipype.workflow  | [Node] Executing "_provenance0" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 02:07:22 | INFO     | nipype.workflow  | [Node] Finished "_provenance0", elapsed time 0.312872s.
2024-08-31 02:07:22 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance1" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/funcMRIQC/ComputeIQMs/f9628408f12655b19b6af3f7c123256b75a74701/provenance/mapflow/_provenance1".
2024-08-31 02:07:22 | INFO     | nipype.workflow  | [Node] Executing "_provenance1" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 02:07:22 | INFO     | nipype.workflow  | [Node] Finished "_provenance1", elapsed time 0.277423s.
2024-08-31 02:07:23 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance2" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/funcMRIQC/ComputeIQMs/f9628408f12655b19b6af3f7c123256b75a74701/provenance/mapflow/_provenance2".
2024-08-31 02:07:23 | INFO     | nipype.workflow  | [Node] Executing "_provenance2" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 02:07:23 | INFO     | nipype.workflow  | [Node] Finished "_provenance2", elapsed time 0.243015s.
2024-08-31 02:07:23 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance3" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/funcMRIQC/ComputeIQMs/f9628408f12655b19b6af3f7c123256b75a74701/provenance/mapflow/_provenance3".
2024-08-31 02:07:23 | INFO     | nipype.workflow  | [Node] Executing "_provenance3" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 02:07:24 | INFO     | nipype.workflow  | [Node] Finished "_provenance3", elapsed time 0.23913s.
2024-08-31 02:07:24 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/funcMRIQC/ComputeIQMs/bd44657d1cf3962e166135c3615a57f8f92fdaff/provenance/mapflow/_provenance0".
2024-08-31 02:07:24 | INFO     | nipype.workflow  | [Node] Executing "_provenance0" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 02:07:25 | INFO     | nipype.workflow  | [Node] Finished "PlotMosaicNoise", elapsed time 9.049284s.
2024-08-31 02:07:25 | INFO     | nipype.workflow  | [Node] Finished "PlotMosaicNoise", elapsed time 9.16141s.
2024-08-31 02:07:29 | INFO     | nipype.workflow  | [Node] Finished "_provenance0", elapsed time 5.5714s.
2024-08-31 02:07:30 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance1" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/funcMRIQC/ComputeIQMs/bd44657d1cf3962e166135c3615a57f8f92fdaff/provenance/mapflow/_provenance1".
2024-08-31 02:07:30 | INFO     | nipype.workflow  | [Node] Executing "_provenance1" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 02:07:32 | INFO     | nipype.workflow  | [Node] Finished "_provenance1", elapsed time 2.085666s.
2024-08-31 02:07:32 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance2" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/funcMRIQC/ComputeIQMs/bd44657d1cf3962e166135c3615a57f8f92fdaff/provenance/mapflow/_provenance2".
2024-08-31 02:07:32 | INFO     | nipype.workflow  | [Node] Executing "_provenance2" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 02:07:34 | INFO     | nipype.workflow  | [Node] Finished "_provenance2", elapsed time 1.7546460000000002s.
2024-08-31 02:07:34 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance3" in "/home/oesteban/tmp/mriqc_ses-pilot013/mriqc_wf/funcMRIQC/ComputeIQMs/bd44657d1cf3962e166135c3615a57f8f92fdaff/provenance/mapflow/_provenance3".
