------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-pilot010/filter-pilot010.json.
------------------------------------------------------------------

2024-08-31 03:11:54 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-31 03:11:54 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't1w'...
2024-08-31 03:11:55 | IMPORTANT | mriqc            | File size ('t1w'): 0.02|0.02 GB [maximum|average].
2024-08-31 03:11:55 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 'dwi'...
2024-08-31 03:11:56 | IMPORTANT | mriqc            | File size ('dwi'): 0.44|0.33 GB [maximum|average].
2024-08-31 03:11:56 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-pilot010/config-20240831-031153_b7e920b1-fb80-4d73-bb5a-2ece225ec611.toml.
2024-08-31 03:12:00 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-31 03:12:00 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 2 NIfTI files..
2024-08-31 03:12:01 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 2 NIfTI files..
2024-08-31 03:12:06 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-31 03:12:12 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-31 03:12:16 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/dwiMRIQC/ComputeIQMs/9dc21baf73139e3d55401dff068a2c2b5d659790/provenance".
2024-08-31 03:12:16 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/anatMRIQC/d9aa1076d9afbe6816f53167af3e28e40808fb2f/conform".
2024-08-31 03:12:16 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/anatMRIQC/c9042b96807b11b751d558cb0bdb862f28685a47/conform".
2024-08-31 03:12:16 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-31 03:12:16 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-31 03:12:16 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/dwiMRIQC/9dc21baf73139e3d55401dff068a2c2b5d659790/load_bmat".
2024-08-31 03:12:16 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/dwiMRIQC/9dc21baf73139e3d55401dff068a2c2b5d659790/sanitize".
2024-08-31 03:12:17 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 03:12:17 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-31 03:12:17 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-31 03:12:17 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.145078s.
2024-08-31 03:12:17 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.18839s.
2024-08-31 03:12:21 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 4.544709s.
2024-08-31 03:12:22 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/dwiMRIQC/ComputeIQMs/a28b2c78497828c7cc64bcfdf5f1925bf014cfbf/provenance".
2024-08-31 03:12:22 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/dwiMRIQC/a28b2c78497828c7cc64bcfdf5f1925bf014cfbf/load_bmat".
2024-08-31 03:12:22 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/dwiMRIQC/a28b2c78497828c7cc64bcfdf5f1925bf014cfbf/sanitize".
2024-08-31 03:12:22 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 03:12:22 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-31 03:12:22 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-31 03:12:23 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 6.43802s.
2024-08-31 03:12:24 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 1.759286s.
2024-08-31 03:12:24 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 2.019584s.
2024-08-31 03:12:25 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/anatMRIQC/AirMaskWorkflow/d9aa1076d9afbe6816f53167af3e28e40808fb2f/RotationMask".
2024-08-31 03:12:25 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/anatMRIQC/synthstrip_wf/d9aa1076d9afbe6816f53167af3e28e40808fb2f/pre_clip".
2024-08-31 03:12:25 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/anatMRIQC/synthstrip_wf/c9042b96807b11b751d558cb0bdb862f28685a47/pre_clip".
2024-08-31 03:12:25 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/anatMRIQC/anat_report_wf/d9aa1076d9afbe6816f53167af3e28e40808fb2f/PlotMosaicNoise".
2024-08-31 03:12:25 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/anatMRIQC/AirMaskWorkflow/c9042b96807b11b751d558cb0bdb862f28685a47/RotationMask".
2024-08-31 03:12:25 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/anatMRIQC/anat_report_wf/c9042b96807b11b751d558cb0bdb862f28685a47/PlotMosaicNoise".
2024-08-31 03:12:25 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-31 03:12:25 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-31 03:12:25 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-31 03:12:25 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-31 03:12:25 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-31 03:12:25 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-31 03:12:27 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.shells" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/dwiMRIQC/9dc21baf73139e3d55401dff068a2c2b5d659790/shells".
2024-08-31 03:12:27 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.shells" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/dwiMRIQC/a28b2c78497828c7cc64bcfdf5f1925bf014cfbf/shells".
2024-08-31 03:12:27 | INFO     | nipype.workflow  | [Node] Executing "shells" <mriqc.interfaces.diffusion.NumberOfShells>
2024-08-31 03:12:27 | INFO     | nipype.workflow  | [Node] Finished "shells", elapsed time 0.003131s.
2024-08-31 03:12:27 | INFO     | nipype.workflow  | [Node] Executing "shells" <mriqc.interfaces.diffusion.NumberOfShells>
2024-08-31 03:12:27 | INFO     | nipype.workflow  | [Node] Finished "shells", elapsed time 0.003034s.
2024-08-31 03:12:29 | INFO     | nipype.workflow  | [Node] Finished "RotationMask", elapsed time 4.156875s.
2024-08-31 03:12:30 | INFO     | nipype.workflow  | [Node] Finished "RotationMask", elapsed time 5.590314s.
2024-08-31 03:12:31 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 9.340352s.
2024-08-31 03:12:33 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.piesno" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/dwiMRIQC/a28b2c78497828c7cc64bcfdf5f1925bf014cfbf/piesno".
2024-08-31 03:12:33 | INFO     | nipype.workflow  | [Node] Executing "piesno" <mriqc.interfaces.diffusion.PIESNO>
2024-08-31 03:12:34 | INFO     | nipype.workflow  | [Node] Finished "PlotMosaicNoise", elapsed time 9.10886s.
2024-08-31 03:12:34 | INFO     | nipype.workflow  | [Node] Finished "PlotMosaicNoise", elapsed time 9.164863s.
2024-08-31 03:12:34 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 17.235873s.
2024-08-31 03:12:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/anatMRIQC/anat_report_wf/d9aa1076d9afbe6816f53167af3e28e40808fb2f/ds_report_background".
2024-08-31 03:12:35 | INFO     | nipype.workflow  | [Node] Executing "ds_report_background" <mriqc.interfaces.DerivativesDataSink>
2024-08-31 03:12:35 | INFO     | nipype.workflow  | [Node] Finished "ds_report_background", elapsed time 0.006164s.
2024-08-31 03:12:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/anatMRIQC/anat_report_wf/c9042b96807b11b751d558cb0bdb862f28685a47/ds_report_background".
2024-08-31 03:12:35 | INFO     | nipype.workflow  | [Node] Executing "ds_report_background" <mriqc.interfaces.DerivativesDataSink>
2024-08-31 03:12:35 | INFO     | nipype.workflow  | [Node] Finished "ds_report_background", elapsed time 0.004384s.
2024-08-31 03:12:43 | INFO     | nipype.workflow  | [Node] Finished "piesno", elapsed time 10.075571s.
2024-08-31 03:12:45 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.piesno" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/dwiMRIQC/9dc21baf73139e3d55401dff068a2c2b5d659790/piesno".
2024-08-31 03:12:45 | INFO     | nipype.workflow  | [Node] Executing "piesno" <mriqc.interfaces.diffusion.PIESNO>
2024-08-31 03:12:53 | INFO     | nipype.workflow  | [Node] Finished "pre_clip", elapsed time 28.710263s.
2024-08-31 03:12:55 | INFO     | nipype.workflow  | [Node] Finished "pre_clip", elapsed time 30.123924s.
2024-08-31 03:12:57 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.dwi_ref" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/dwiMRIQC/9dc21baf73139e3d55401dff068a2c2b5d659790/dwi_ref".
2024-08-31 03:12:57 | INFO     | nipype.workflow  | [Node] Executing "dwi_ref" <niworkflows.interfaces.images.RobustAverage>
2024-08-31 03:13:02 | INFO     | nipype.workflow  | [Node] Finished "dwi_ref", elapsed time 4.449421s.
2024-08-31 03:13:03 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.get_lowb" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/dwiMRIQC/9dc21baf73139e3d55401dff068a2c2b5d659790/get_lowb".
2024-08-31 03:13:03 | INFO     | nipype.workflow  | [Node] Executing "get_lowb" <mriqc.interfaces.diffusion.ExtractOrientations>
2024-08-31 03:13:05 | INFO     | nipype.workflow  | [Node] Finished "piesno", elapsed time 20.110571s.
2024-08-31 03:13:07 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.dwi_ref" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/dwiMRIQC/a28b2c78497828c7cc64bcfdf5f1925bf014cfbf/dwi_ref".
2024-08-31 03:13:07 | INFO     | nipype.workflow  | [Node] Finished "get_lowb", elapsed time 3.593015s.
2024-08-31 03:13:07 | INFO     | nipype.workflow  | [Node] Executing "dwi_ref" <niworkflows.interfaces.images.RobustAverage>
2024-08-31 03:13:09 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.get_lowb" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/dwiMRIQC/a28b2c78497828c7cc64bcfdf5f1925bf014cfbf/get_lowb".
2024-08-31 03:13:09 | INFO     | nipype.workflow  | [Node] Executing "get_lowb" <mriqc.interfaces.diffusion.ExtractOrientations>
2024-08-31 03:13:09 | INFO     | nipype.workflow  | [Node] Finished "dwi_ref", elapsed time 2.395548s.
2024-08-31 03:13:11 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/dwiMRIQC/synthstrip_wf/9dc21baf73139e3d55401dff068a2c2b5d659790/pre_clip".
2024-08-31 03:13:11 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.SpatialNormalization.SharpenEPI" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/dwiMRIQC/SpatialNormalization/9dc21baf73139e3d55401dff068a2c2b5d659790/SharpenEPI".
2024-08-31 03:13:11 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/dwiMRIQC/synthstrip_wf/a28b2c78497828c7cc64bcfdf5f1925bf014cfbf/pre_clip".
2024-08-31 03:13:11 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.SpatialNormalization.SharpenEPI" in "/home/oesteban/tmp/mriqc_ses-pilot010/mriqc_wf/dwiMRIQC/SpatialNormalization/a28b2c78497828c7cc64bcfdf5f1925bf014cfbf/SharpenEPI".
2024-08-31 03:13:11 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-31 03:13:11 | INFO     | nipype.workflow  | [Node] Executing "SharpenEPI" <nipype.interfaces.ants.segmentation.N4BiasFieldCorrection>
