------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-pilot004/filter-pilot004.json.
------------------------------------------------------------------

2024-08-31 04:35:37 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-31 04:35:37 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-08-31 04:35:37 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-31 04:35:37 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 'bold'...
2024-08-31 04:35:38 | IMPORTANT | mriqc            | File size ('bold'): 1.91|1.14 GB [maximum|average].
2024-08-31 04:35:38 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 'dwi'...
2024-08-31 04:35:39 | IMPORTANT | mriqc            | File size ('dwi'): 0.18|0.14 GB [maximum|average].
2024-08-31 04:35:39 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-pilot004/config-20240831-043536_23d53eb5-2c07-49e9-92b7-f0ab71cedc55.toml.
2024-08-31 04:35:43 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-31 04:35:43 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 2 BOLD runs..
2024-08-31 04:35:44 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 2 NIfTI files..
2024-08-31 04:35:44 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 1 NIfTI files..
2024-08-31 04:35:49 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-31 04:35:54 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-31 04:35:57 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-pilot004/mriqc_wf/dwiMRIQC/ComputeIQMs/070ce281d303a5d248b8ac590021e19d27cdf146/provenance".
2024-08-31 04:35:57 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot004/mriqc_wf/anatMRIQC/cab94dabdfcbe5e3a33bf28c1d14f17a4635b12e/conform".
2024-08-31 04:35:57 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-31 04:35:57 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-pilot004/mriqc_wf/dwiMRIQC/070ce281d303a5d248b8ac590021e19d27cdf146/load_bmat".
2024-08-31 04:35:57 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-31 04:35:57 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 04:35:57 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.48164s.
2024-08-31 04:36:00 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 3.091884s.
2024-08-31 04:36:00 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-pilot004/mriqc_wf/dwiMRIQC/ComputeIQMs/30fe3113a9888ff62172648a8e837c4067a5a0aa/provenance".
2024-08-31 04:36:00 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-pilot004/mriqc_wf/dwiMRIQC/070ce281d303a5d248b8ac590021e19d27cdf146/sanitize".
2024-08-31 04:36:00 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-pilot004/mriqc_wf/dwiMRIQC/30fe3113a9888ff62172648a8e837c4067a5a0aa/load_bmat".
2024-08-31 04:36:01 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 04:36:01 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-31 04:36:01 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-31 04:36:01 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.697586s.
2024-08-31 04:36:02 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 4.541017s.
2024-08-31 04:36:02 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-pilot004/mriqc_wf/dwiMRIQC/30fe3113a9888ff62172648a8e837c4067a5a0aa/sanitize".
2024-08-31 04:36:02 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-31 04:36:02 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-pilot004/mriqc_wf/funcMRIQC/ComputeIQMs/5dd82216b07036fde8f717cb05e0ceefb72922fd/provenance/mapflow/_provenance0".
