------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-pilot018/filter-pilot018.json.
------------------------------------------------------------------

2024-08-31 05:43:49 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-31 05:43:49 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't1w'...
2024-08-31 05:43:50 | IMPORTANT | mriqc            | File size ('t1w'): 0.02|0.02 GB [maximum|average].
2024-08-31 05:43:50 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-pilot018/config-20240831-054323_63429cb9-2703-4c8d-a771-93ca213252ed.toml.
2024-08-31 05:44:00 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-31 05:44:01 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 2 NIfTI files..
2024-08-31 05:44:06 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-31 05:44:10 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-31 05:44:11 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot018/mriqc_wf/anatMRIQC/93d3010db4e49c9b95916724584713a48353b34c/conform".
2024-08-31 05:44:11 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot018/mriqc_wf/anatMRIQC/99a0b766e30721dbf070009e6945b76717f07204/conform".
2024-08-31 05:44:11 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-31 05:44:11 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-31 05:44:11 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.939895s.
2024-08-31 05:44:12 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.017935s.
2024-08-31 05:44:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-pilot018/mriqc_wf/anatMRIQC/synthstrip_wf/93d3010db4e49c9b95916724584713a48353b34c/pre_clip".
2024-08-31 05:44:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-pilot018/mriqc_wf/anatMRIQC/AirMaskWorkflow/93d3010db4e49c9b95916724584713a48353b34c/RotationMask".
2024-08-31 05:44:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-pilot018/mriqc_wf/anatMRIQC/synthstrip_wf/99a0b766e30721dbf070009e6945b76717f07204/pre_clip".
2024-08-31 05:44:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-pilot018/mriqc_wf/anatMRIQC/anat_report_wf/93d3010db4e49c9b95916724584713a48353b34c/PlotMosaicNoise".
2024-08-31 05:44:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-pilot018/mriqc_wf/anatMRIQC/AirMaskWorkflow/99a0b766e30721dbf070009e6945b76717f07204/RotationMask".
2024-08-31 05:44:12 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-pilot018/mriqc_wf/anatMRIQC/anat_report_wf/99a0b766e30721dbf070009e6945b76717f07204/PlotMosaicNoise".
2024-08-31 05:44:12 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-31 05:44:12 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-31 05:44:12 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-31 05:44:12 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-31 05:44:12 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-31 05:44:12 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-31 05:44:14 | INFO     | nipype.workflow  | [Node] Finished "RotationMask", elapsed time 1.8850440000000002s.
2024-08-31 05:44:15 | INFO     | nipype.workflow  | [Node] Finished "RotationMask", elapsed time 2.275978s.
2024-08-31 05:44:20 | INFO     | nipype.workflow  | [Node] Finished "PlotMosaicNoise", elapsed time 7.206432s.
2024-08-31 05:44:20 | INFO     | nipype.workflow  | [Node] Finished "PlotMosaicNoise", elapsed time 7.370037s.
2024-08-31 05:44:20 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc_ses-pilot018/mriqc_wf/anatMRIQC/anat_report_wf/93d3010db4e49c9b95916724584713a48353b34c/ds_report_background".
2024-08-31 05:44:20 | INFO     | nipype.workflow  | [Node] Executing "ds_report_background" <mriqc.interfaces.DerivativesDataSink>
2024-08-31 05:44:20 | INFO     | nipype.workflow  | [Node] Finished "ds_report_background", elapsed time 0.006368s.
2024-08-31 05:44:20 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc_ses-pilot018/mriqc_wf/anatMRIQC/anat_report_wf/99a0b766e30721dbf070009e6945b76717f07204/ds_report_background".
2024-08-31 05:44:21 | INFO     | nipype.workflow  | [Node] Executing "ds_report_background" <mriqc.interfaces.DerivativesDataSink>
2024-08-31 05:44:21 | INFO     | nipype.workflow  | [Node] Finished "ds_report_background", elapsed time 0.004051s.
2024-08-31 05:44:34 | INFO     | nipype.workflow  | [Node] Finished "pre_clip", elapsed time 21.228837s.
2024-08-31 05:44:34 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_n4" in "/home/oesteban/tmp/mriqc_ses-pilot018/mriqc_wf/anatMRIQC/synthstrip_wf/99a0b766e30721dbf070009e6945b76717f07204/pre_n4".
2024-08-31 05:44:34 | INFO     | nipype.workflow  | [Node] Executing "pre_n4" <nipype.interfaces.ants.segmentation.N4BiasFieldCorrection>
2024-08-31 05:44:34 | INFO     | nipype.workflow  | [Node] Finished "pre_clip", elapsed time 22.006095s.
2024-08-31 05:45:01 | INFO     | nipype.workflow  | [Node] Finished "pre_n4", elapsed time 26.249893s.
2024-08-31 05:45:02 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_n4" in "/home/oesteban/tmp/mriqc_ses-pilot018/mriqc_wf/anatMRIQC/synthstrip_wf/93d3010db4e49c9b95916724584713a48353b34c/pre_n4".
2024-08-31 05:45:02 | INFO     | nipype.workflow  | [Node] Executing "pre_n4" <nipype.interfaces.ants.segmentation.N4BiasFieldCorrection>
2024-08-31 05:45:29 | INFO     | nipype.workflow  | [Node] Finished "pre_n4", elapsed time 26.222265s.
2024-08-31 05:45:30 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.synthstrip" in "/home/oesteban/tmp/mriqc_ses-pilot018/mriqc_wf/anatMRIQC/synthstrip_wf/93d3010db4e49c9b95916724584713a48353b34c/synthstrip".
2024-08-31 05:45:30 | INFO     | nipype.workflow  | [Node] Executing "synthstrip" <mriqc.interfaces.synthstrip.SynthStrip>
2024-08-31 05:45:54 | INFO     | nipype.workflow  | [Node] Finished "synthstrip", elapsed time 23.362935s.
2024-08-31 05:45:54 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.ComputeIQMs.smoothness" in "/home/oesteban/tmp/mriqc_ses-pilot018/mriqc_wf/anatMRIQC/ComputeIQMs/93d3010db4e49c9b95916724584713a48353b34c/smoothness".
