------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-pilot20002030/filter-pilot20002030.json.
------------------------------------------------------------------

2024-08-31 06:33:03 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-31 06:33:03 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't1w'...
2024-08-31 06:33:03 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-31 06:33:03 | IMPORTANT | mriqc            | Extracting metadata and entities for 4 input runs of modality 'dwi'...
2024-08-31 06:33:04 | WARNING  | nipype.workflow  | 2 cannot be processed (too short or too long)
2024-08-31 06:33:04 | IMPORTANT | mriqc            | File size ('dwi'): 0.02|0.01 GB [maximum|average].
2024-08-31 06:33:04 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-pilot20002030/config-20240831-063302_cc98402f-2683-455a-9094-1ffd803ffd66.toml.
2024-08-31 06:33:08 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-31 06:33:08 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 2 NIfTI files..
2024-08-31 06:33:08 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 2 NIfTI files..
2024-08-31 06:33:13 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-31 06:33:17 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-31 06:33:17 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-pilot20002030/mriqc_wf/dwiMRIQC/ComputeIQMs/114423dddda8e5855dec0755a4b7c97f4bf228a0/provenance".
2024-08-31 06:33:17 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot20002030/mriqc_wf/anatMRIQC/0813b839b2dc452fe63c14eab8e39fa78858b61f/conform".
2024-08-31 06:33:17 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 06:33:17 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot20002030/mriqc_wf/anatMRIQC/c77c79dac22b6987e89686e3a65053c50814b29e/conform".
2024-08-31 06:33:17 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
