------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-pilot003/filter-pilot003.json.
------------------------------------------------------------------

2024-08-31 06:48:35 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-31 06:48:35 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-08-31 06:48:35 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-31 06:48:35 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-pilot003/config-20240831-064834_e7da4cfe-dbc0-4865-836a-c1e6b7630d65.toml.
2024-08-31 06:48:40 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-31 06:48:40 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 1 NIfTI files..
2024-08-31 06:48:44 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-31 06:48:49 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-31 06:48:49 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot003/mriqc_wf/anatMRIQC/97bba7443efabdb21dd1d31a147e95be1151df7e/conform".
2024-08-31 06:48:49 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-31 06:48:50 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.506065s.
2024-08-31 06:48:51 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-pilot003/mriqc_wf/anatMRIQC/anat_report_wf/97bba7443efabdb21dd1d31a147e95be1151df7e/PlotMosaicNoise".
2024-08-31 06:48:51 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-pilot003/mriqc_wf/anatMRIQC/synthstrip_wf/97bba7443efabdb21dd1d31a147e95be1151df7e/pre_clip".
2024-08-31 06:48:51 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-pilot003/mriqc_wf/anatMRIQC/AirMaskWorkflow/97bba7443efabdb21dd1d31a147e95be1151df7e/RotationMask".
2024-08-31 06:48:51 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-31 06:48:51 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-31 06:48:51 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-31 06:48:52 | INFO     | nipype.workflow  | [Node] Finished "RotationMask", elapsed time 1.465073s.
2024-08-31 06:48:56 | INFO     | nipype.workflow  | [Node] Finished "PlotMosaicNoise", elapsed time 5.308677s.
2024-08-31 06:48:57 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc_ses-pilot003/mriqc_wf/anatMRIQC/anat_report_wf/97bba7443efabdb21dd1d31a147e95be1151df7e/ds_report_background".
2024-08-31 06:48:57 | INFO     | nipype.workflow  | [Node] Executing "ds_report_background" <mriqc.interfaces.DerivativesDataSink>
2024-08-31 06:48:57 | INFO     | nipype.workflow  | [Node] Finished "ds_report_background", elapsed time 0.006144s.
2024-08-31 06:49:03 | INFO     | nipype.workflow  | [Node] Finished "pre_clip", elapsed time 11.564153s.
2024-08-31 06:49:03 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_n4" in "/home/oesteban/tmp/mriqc_ses-pilot003/mriqc_wf/anatMRIQC/synthstrip_wf/97bba7443efabdb21dd1d31a147e95be1151df7e/pre_n4".
2024-08-31 06:49:03 | INFO     | nipype.workflow  | [Node] Executing "pre_n4" <nipype.interfaces.ants.segmentation.N4BiasFieldCorrection>
2024-08-31 06:49:20 | INFO     | nipype.workflow  | [Node] Finished "pre_n4", elapsed time 16.532872s.
2024-08-31 06:49:21 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.synthstrip" in "/home/oesteban/tmp/mriqc_ses-pilot003/mriqc_wf/anatMRIQC/synthstrip_wf/97bba7443efabdb21dd1d31a147e95be1151df7e/synthstrip".
2024-08-31 06:49:21 | INFO     | nipype.workflow  | [Node] Executing "synthstrip" <mriqc.interfaces.synthstrip.SynthStrip>
2024-08-31 06:49:45 | INFO     | nipype.workflow  | [Node] Finished "synthstrip", elapsed time 24.01762s.
2024-08-31 06:49:47 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.post_n4" in "/home/oesteban/tmp/mriqc_ses-pilot003/mriqc_wf/anatMRIQC/synthstrip_wf/97bba7443efabdb21dd1d31a147e95be1151df7e/post_n4".
2024-08-31 06:49:47 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.ComputeIQMs.smoothness" in "/home/oesteban/tmp/mriqc_ses-pilot003/mriqc_wf/anatMRIQC/ComputeIQMs/97bba7443efabdb21dd1d31a147e95be1151df7e/smoothness".
2024-08-31 06:49:47 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicZoomed" in "/home/oesteban/tmp/mriqc_ses-pilot003/mriqc_wf/anatMRIQC/anat_report_wf/97bba7443efabdb21dd1d31a147e95be1151df7e/PlotMosaicZoomed".
