------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-pilot20003034/filter-pilot20003034.json.
------------------------------------------------------------------

2024-08-31 07:33:48 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-31 07:33:49 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-08-31 07:33:49 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-31 07:33:49 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-08-31 07:33:50 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-08-31 07:33:50 | IMPORTANT | mriqc            | Extracting metadata and entities for 4 input runs of modality 'dwi'...
2024-08-31 07:33:50 | WARNING  | nipype.workflow  | 3 cannot be processed (too short or too long)
2024-08-31 07:33:50 | IMPORTANT | mriqc            | File size ('dwi'): 0.02|0.02 GB [maximum|average].
2024-08-31 07:33:50 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-pilot20003034/config-20240831-073347_563aa4d2-1f1e-4b5b-92c1-8dfa49074958.toml.
2024-08-31 07:33:54 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-31 07:33:54 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-08-31 07:33:54 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-08-31 07:33:59 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
