------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-pilot001/filter-pilot001.json.
------------------------------------------------------------------

2024-08-31 08:56:23 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-31 08:56:23 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-08-31 08:56:23 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-31 08:56:23 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 'dwi'...
2024-08-31 08:56:24 | IMPORTANT | mriqc            | File size ('dwi'): 0.19|0.14 GB [maximum|average].
2024-08-31 08:56:24 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-pilot001/config-20240831-085620_7526defb-9f66-4d35-a1d8-e15b6efa9458.toml.
2024-08-31 08:56:30 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-31 08:56:30 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 2 NIfTI files..
2024-08-31 08:56:30 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 1 NIfTI files..
2024-08-31 08:56:36 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-31 08:56:41 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-31 08:56:43 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-pilot001/mriqc_wf/dwiMRIQC/ComputeIQMs/8ad3765ec00a88dedc6153ad13c8e90450807d53/provenance".
2024-08-31 08:56:44 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot001/mriqc_wf/anatMRIQC/c48a6c7bbf90ed18c6ceb80b5f2aa59f360fc2a6/conform".
2024-08-31 08:56:44 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
