------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-pilot012/filter-pilot012.json.
------------------------------------------------------------------

2024-08-31 09:35:01 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-31 09:35:01 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't1w'...
2024-08-31 09:35:02 | IMPORTANT | mriqc            | File size ('t1w'): 0.02|0.02 GB [maximum|average].
2024-08-31 09:35:02 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 'bold'...
2024-08-31 09:35:02 | IMPORTANT | mriqc            | File size ('bold'): 0.44|0.42 GB [maximum|average].
2024-08-31 09:35:02 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 'dwi'...
2024-08-31 09:35:03 | IMPORTANT | mriqc            | File size ('dwi'): 0.22|0.17 GB [maximum|average].
2024-08-31 09:35:03 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-pilot012/config-20240831-093500_bcfab401-3208-480c-b742-7f6057d1a71d.toml.
2024-08-31 09:35:07 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-31 09:35:07 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 2 BOLD runs..
2024-08-31 09:35:08 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 2 NIfTI files..
2024-08-31 09:35:08 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 2 NIfTI files..
2024-08-31 09:35:13 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-31 09:35:18 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-31 09:35:21 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot012/mriqc_wf/anatMRIQC/77cc9de1ec20b161e48a48714ffecee64ed9ddb5/conform".
2024-08-31 09:35:21 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-pilot012/mriqc_wf/dwiMRIQC/ComputeIQMs/759696137d8e3e7695914c69e562f85baaec5638/provenance".
2024-08-31 09:35:21 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot012/mriqc_wf/anatMRIQC/2599ebf46e7309b228fb9b684e2292735830e4d1/conform".
2024-08-31 09:35:21 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-31 09:35:21 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-31 09:35:21 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-pilot012/mriqc_wf/dwiMRIQC/759696137d8e3e7695914c69e562f85baaec5638/sanitize".
2024-08-31 09:35:21 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 09:35:21 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-31 09:35:22 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.281076s.
2024-08-31 09:35:22 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.351204s.
2024-08-31 09:35:23 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 1.679227s.
