------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-pilot20001060/filter-pilot20001060.json.
------------------------------------------------------------------

2024-08-31 10:24:50 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-31 10:24:50 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-08-31 10:24:50 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-31 10:24:50 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-08-31 10:24:50 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-08-31 10:24:50 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'bold'...
2024-08-31 10:24:51 | IMPORTANT | mriqc            | File size ('bold'): 0.21|0.21 GB [maximum|average].
2024-08-31 10:24:51 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-pilot20001060/config-20240831-102449_87cb98fa-43c7-4d2d-b81d-38dcd8404460.toml.
2024-08-31 10:24:55 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-31 10:24:55 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 1 BOLD runs..
2024-08-31 10:24:56 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-08-31 10:25:00 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-31 10:25:04 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-31 10:25:04 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot20001060/mriqc_wf/anatMRIQC/776644336dac2f5c4a301f8a2b345ba6ed8618cd/conform".
2024-08-31 10:25:04 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot20001060/mriqc_wf/anatMRIQC/09207942652a580c3374256875bf690dfdc48d19/conform".
