------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-20801030/filter-20801030.json.
------------------------------------------------------------------

2024-08-31 10:42:08 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-31 10:43:22 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-08-31 10:43:22 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-31 10:43:22 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-08-31 10:43:22 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-08-31 10:43:22 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'bold'...
2024-08-31 10:43:23 | IMPORTANT | mriqc            | File size ('bold'): 1.74|1.74 GB [maximum|average].
2024-08-31 10:43:23 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-08-31 10:43:23 | IMPORTANT | mriqc            | File size ('dwi'): 0.33|0.33 GB [maximum|average].
2024-08-31 10:43:23 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-20801030/config-20240831-104207_39cfb939-0a10-4c82-8e01-0f667dd0f9d9.toml.
2024-08-31 10:43:27 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-31 10:43:27 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 1 BOLD runs..
2024-08-31 10:43:27 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-08-31 10:43:27 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-08-31 10:43:31 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-31 10:43:36 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-31 10:43:36 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/dwiMRIQC/ComputeIQMs/77d8a631929a1fefcd33d735516fe1b57fca7793/provenance".
2024-08-31 10:43:36 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/anatMRIQC/6caa70c364bee27ab02ccc0f89859cbcc57087ea/conform".
2024-08-31 10:43:36 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/anatMRIQC/c83cd5329bce81c645d38f1fcb5aaca669b14916/conform".
2024-08-31 10:43:36 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/anatMRIQC/79a4d83cc4c077e3cef223392f35fdefbad6dd57/conform".
2024-08-31 10:43:36 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 10:43:36 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-31 10:43:36 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-31 10:43:36 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-31 10:43:36 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.46832s.
2024-08-31 10:43:36 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.518376s.
2024-08-31 10:43:37 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.720579s.
2024-08-31 10:43:37 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.748646s.
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/dwiMRIQC/77d8a631929a1fefcd33d735516fe1b57fca7793/sanitize".
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/dwiMRIQC/77d8a631929a1fefcd33d735516fe1b57fca7793/load_bmat".
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/funcMRIQC/ec91fdeb29a2d8b91db9c49b50ee061d99a683ab/pick_echo".
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.00094s.
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/funcMRIQC/ComputeIQMs/ec91fdeb29a2d8b91db9c49b50ee061d99a683ab/provenance/mapflow/_provenance0".
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/anatMRIQC/synthstrip_wf/6caa70c364bee27ab02ccc0f89859cbcc57087ea/pre_clip".
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/anatMRIQC/AirMaskWorkflow/6caa70c364bee27ab02ccc0f89859cbcc57087ea/RotationMask".
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/anatMRIQC/AirMaskWorkflow/c83cd5329bce81c645d38f1fcb5aaca669b14916/RotationMask".
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/anatMRIQC/synthstrip_wf/c83cd5329bce81c645d38f1fcb5aaca669b14916/pre_clip".
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/anatMRIQC/anat_report_wf/6caa70c364bee27ab02ccc0f89859cbcc57087ea/PlotMosaicNoise".
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Executing "_provenance0" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/anatMRIQC/anat_report_wf/c83cd5329bce81c645d38f1fcb5aaca669b14916/PlotMosaicNoise".
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/anatMRIQC/synthstrip_wf/79a4d83cc4c077e3cef223392f35fdefbad6dd57/pre_clip".
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/anatMRIQC/AirMaskWorkflow/79a4d83cc4c077e3cef223392f35fdefbad6dd57/RotationMask".
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/anatMRIQC/anat_report_wf/79a4d83cc4c077e3cef223392f35fdefbad6dd57/PlotMosaicNoise".
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-31 10:43:38 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-31 10:43:39 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 0.97473s.
2024-08-31 10:43:39 | INFO     | nipype.workflow  | [Node] Finished "_provenance0", elapsed time 0.969527s.
2024-08-31 10:43:39 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance1" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/funcMRIQC/ComputeIQMs/ec91fdeb29a2d8b91db9c49b50ee061d99a683ab/provenance/mapflow/_provenance1".
2024-08-31 10:43:39 | INFO     | nipype.workflow  | [Node] Executing "_provenance1" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 10:43:40 | INFO     | nipype.workflow  | [Node] Finished "_provenance1", elapsed time 0.881984s.
2024-08-31 10:43:41 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance2" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/funcMRIQC/ComputeIQMs/ec91fdeb29a2d8b91db9c49b50ee061d99a683ab/provenance/mapflow/_provenance2".
2024-08-31 10:43:41 | INFO     | nipype.workflow  | [Node] Executing "_provenance2" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 10:43:41 | INFO     | nipype.workflow  | [Node] Finished "_provenance2", elapsed time 0.841408s.
2024-08-31 10:43:42 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/funcMRIQC/ComputeIQMs/ec91fdeb29a2d8b91db9c49b50ee061d99a683ab/provenance/mapflow/_provenance0".
2024-08-31 10:43:42 | INFO     | nipype.workflow  | [Node] Cached "_provenance0" - collecting precomputed outputs
2024-08-31 10:43:42 | INFO     | nipype.workflow  | [Node] "_provenance0" found cached.
2024-08-31 10:43:42 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance1" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/funcMRIQC/ComputeIQMs/ec91fdeb29a2d8b91db9c49b50ee061d99a683ab/provenance/mapflow/_provenance1".
2024-08-31 10:43:42 | INFO     | nipype.workflow  | [Node] Cached "_provenance1" - collecting precomputed outputs
2024-08-31 10:43:42 | INFO     | nipype.workflow  | [Node] "_provenance1" found cached.
2024-08-31 10:43:42 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance2" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/funcMRIQC/ComputeIQMs/ec91fdeb29a2d8b91db9c49b50ee061d99a683ab/provenance/mapflow/_provenance2".
2024-08-31 10:43:42 | INFO     | nipype.workflow  | [Node] Cached "_provenance2" - collecting precomputed outputs
2024-08-31 10:43:42 | INFO     | nipype.workflow  | [Node] "_provenance2" found cached.
2024-08-31 10:43:42 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.non_steady_state_detector" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/funcMRIQC/ec91fdeb29a2d8b91db9c49b50ee061d99a683ab/non_steady_state_detector".
2024-08-31 10:43:42 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.shells" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/dwiMRIQC/77d8a631929a1fefcd33d735516fe1b57fca7793/shells".
2024-08-31 10:43:42 | INFO     | nipype.workflow  | [Node] Executing "non_steady_state_detector" <nipype.algorithms.confounds.NonSteadyStateDetector>
2024-08-31 10:43:42 | INFO     | nipype.workflow  | [Node] Executing "shells" <mriqc.interfaces.diffusion.NumberOfShells>
2024-08-31 10:43:42 | INFO     | nipype.workflow  | [Node] Finished "shells", elapsed time 0.004018s.
2024-08-31 10:43:42 | INFO     | nipype.workflow  | [Node] Finished "RotationMask", elapsed time 3.811343s.
2024-08-31 10:43:43 | INFO     | nipype.workflow  | [Node] Finished "non_steady_state_detector", elapsed time 0.597083s.
2024-08-31 10:43:45 | INFO     | nipype.workflow  | [Node] Finished "PlotMosaicNoise", elapsed time 6.639714s.
2024-08-31 10:43:46 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/anatMRIQC/anat_report_wf/6caa70c364bee27ab02ccc0f89859cbcc57087ea/ds_report_background".
2024-08-31 10:43:46 | INFO     | nipype.workflow  | [Node] Executing "ds_report_background" <mriqc.interfaces.DerivativesDataSink>
2024-08-31 10:43:46 | INFO     | nipype.workflow  | [Node] Finished "ds_report_background", elapsed time 0.00655s.
2024-08-31 10:43:46 | INFO     | nipype.workflow  | [Node] Setting-up "_sanitize0" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/funcMRIQC/ec91fdeb29a2d8b91db9c49b50ee061d99a683ab/sanitize/mapflow/_sanitize0".
2024-08-31 10:43:46 | INFO     | nipype.workflow  | [Node] Setting-up "_sanitize2" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/funcMRIQC/ec91fdeb29a2d8b91db9c49b50ee061d99a683ab/sanitize/mapflow/_sanitize2".
2024-08-31 10:43:46 | INFO     | nipype.workflow  | [Node] Setting-up "_sanitize1" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/funcMRIQC/ec91fdeb29a2d8b91db9c49b50ee061d99a683ab/sanitize/mapflow/_sanitize1".
2024-08-31 10:43:46 | INFO     | nipype.workflow  | [Node] Executing "_sanitize0" <niworkflows.interfaces.header.SanitizeImage>
2024-08-31 10:43:46 | INFO     | nipype.workflow  | [Node] Executing "_sanitize2" <niworkflows.interfaces.header.SanitizeImage>
2024-08-31 10:43:46 | INFO     | nipype.workflow  | [Node] Executing "_sanitize1" <niworkflows.interfaces.header.SanitizeImage>
2024-08-31 10:43:48 | INFO     | nipype.workflow  | [Node] Finished "PlotMosaicNoise", elapsed time 9.604905s.
2024-08-31 10:43:48 | INFO     | nipype.workflow  | [Node] Finished "PlotMosaicNoise", elapsed time 9.791237s.
2024-08-31 10:43:50 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/anatMRIQC/anat_report_wf/c83cd5329bce81c645d38f1fcb5aaca669b14916/ds_report_background".
2024-08-31 10:43:50 | INFO     | nipype.workflow  | [Node] Executing "ds_report_background" <mriqc.interfaces.DerivativesDataSink>
2024-08-31 10:43:50 | INFO     | nipype.workflow  | [Node] Finished "ds_report_background", elapsed time 0.004296s.
2024-08-31 10:43:50 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc_ses-20801030/mriqc_wf/anatMRIQC/anat_report_wf/79a4d83cc4c077e3cef223392f35fdefbad6dd57/ds_report_background".
2024-08-31 10:43:50 | INFO     | nipype.workflow  | [Node] Executing "ds_report_background" <mriqc.interfaces.DerivativesDataSink>
2024-08-31 10:43:50 | INFO     | nipype.workflow  | [Node] Finished "ds_report_background", elapsed time 0.004284s.
2024-08-31 10:43:52 | INFO     | nipype.workflow  | [Node] Finished "pre_clip", elapsed time 13.821002s.
2024-08-31 10:43:53 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 14.810616s.
