------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-pilot007/filter-pilot007.json.
------------------------------------------------------------------

2024-08-31 15:18:58 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-31 15:18:58 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-08-31 15:18:59 | IMPORTANT | mriqc            | File size ('dwi'): 0.22|0.22 GB [maximum|average].
2024-08-31 15:18:59 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-pilot007/config-20240831-151853_6baa6ab1-88a3-412f-b1de-a832f35e73b6.toml.
2024-08-31 15:19:09 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-31 15:19:10 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-08-31 15:19:15 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-31 15:19:20 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-31 15:19:22 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-pilot007/mriqc_wf/dwiMRIQC/ComputeIQMs/7cc59af8dc607f10e805973ae32af5665d36f987/provenance".
2024-08-31 15:19:22 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-pilot007/mriqc_wf/dwiMRIQC/7cc59af8dc607f10e805973ae32af5665d36f987/load_bmat".
2024-08-31 15:19:22 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-pilot007/mriqc_wf/dwiMRIQC/7cc59af8dc607f10e805973ae32af5665d36f987/sanitize".
2024-08-31 15:19:22 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 15:19:22 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-31 15:19:22 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-31 15:19:23 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 1.554687s.
2024-08-31 15:19:24 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 2.514744s.
2024-08-31 15:19:26 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.shells" in "/home/oesteban/tmp/mriqc_ses-pilot007/mriqc_wf/dwiMRIQC/7cc59af8dc607f10e805973ae32af5665d36f987/shells".
2024-08-31 15:19:26 | INFO     | nipype.workflow  | [Node] Executing "shells" <mriqc.interfaces.diffusion.NumberOfShells>
2024-08-31 15:19:26 | INFO     | nipype.workflow  | [Node] Finished "shells", elapsed time 0.002132s.
2024-08-31 15:19:30 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 7.866234s.
2024-08-31 15:19:32 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.piesno" in "/home/oesteban/tmp/mriqc_ses-pilot007/mriqc_wf/dwiMRIQC/7cc59af8dc607f10e805973ae32af5665d36f987/piesno".
2024-08-31 15:19:32 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.dwi_ref" in "/home/oesteban/tmp/mriqc_ses-pilot007/mriqc_wf/dwiMRIQC/7cc59af8dc607f10e805973ae32af5665d36f987/dwi_ref".
2024-08-31 15:19:32 | INFO     | nipype.workflow  | [Node] Executing "piesno" <mriqc.interfaces.diffusion.PIESNO>
2024-08-31 15:19:32 | INFO     | nipype.workflow  | [Node] Executing "dwi_ref" <niworkflows.interfaces.images.RobustAverage>
2024-08-31 15:19:35 | INFO     | nipype.workflow  | [Node] Finished "dwi_ref", elapsed time 2.42313s.
2024-08-31 15:19:36 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.get_lowb" in "/home/oesteban/tmp/mriqc_ses-pilot007/mriqc_wf/dwiMRIQC/7cc59af8dc607f10e805973ae32af5665d36f987/get_lowb".
2024-08-31 15:19:36 | INFO     | nipype.workflow  | [Node] Executing "get_lowb" <mriqc.interfaces.diffusion.ExtractOrientations>
2024-08-31 15:19:38 | INFO     | nipype.workflow  | [Node] Finished "get_lowb", elapsed time 1.919299s.
2024-08-31 15:19:40 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-pilot007/mriqc_wf/dwiMRIQC/synthstrip_wf/7cc59af8dc607f10e805973ae32af5665d36f987/pre_clip".
2024-08-31 15:19:40 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.SpatialNormalization.SharpenEPI" in "/home/oesteban/tmp/mriqc_ses-pilot007/mriqc_wf/dwiMRIQC/SpatialNormalization/7cc59af8dc607f10e805973ae32af5665d36f987/SharpenEPI".
2024-08-31 15:19:40 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-31 15:19:40 | INFO     | nipype.workflow  | [Node] Executing "SharpenEPI" <nipype.interfaces.ants.segmentation.N4BiasFieldCorrection>
2024-08-31 15:19:42 | INFO     | nipype.workflow  | [Node] Finished "piesno", elapsed time 10.013119s.
2024-08-31 15:19:43 | INFO     | nipype.workflow  | [Node] Finished "pre_clip", elapsed time 2.655163s.
2024-08-31 15:19:44 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.synthstrip_wf.pre_n4" in "/home/oesteban/tmp/mriqc_ses-pilot007/mriqc_wf/dwiMRIQC/synthstrip_wf/7cc59af8dc607f10e805973ae32af5665d36f987/pre_n4".
2024-08-31 15:19:44 | INFO     | nipype.workflow  | [Node] Executing "pre_n4" <nipype.interfaces.ants.segmentation.N4BiasFieldCorrection>
2024-08-31 15:19:49 | INFO     | nipype.workflow  | [Node] Finished "pre_n4", elapsed time 4.388543s.
2024-08-31 15:19:50 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.synthstrip_wf.synthstrip" in "/home/oesteban/tmp/mriqc_ses-pilot007/mriqc_wf/dwiMRIQC/synthstrip_wf/7cc59af8dc607f10e805973ae32af5665d36f987/synthstrip".
2024-08-31 15:19:50 | INFO     | nipype.workflow  | [Node] Executing "synthstrip" <mriqc.interfaces.synthstrip.SynthStrip>
2024-08-31 15:19:57 | INFO     | nipype.workflow  | [Node] Finished "SharpenEPI", elapsed time 16.2223s.
2024-08-31 15:20:02 | INFO     | nipype.workflow  | [Node] Finished "synthstrip", elapsed time 12.02144s.
2024-08-31 15:20:04 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.hmc_b0" in "/home/oesteban/tmp/mriqc_ses-pilot007/mriqc_wf/dwiMRIQC/7cc59af8dc607f10e805973ae32af5665d36f987/hmc_b0".
2024-08-31 15:20:04 | INFO     | nipype.workflow  | [Node] Executing "hmc_b0" <nipype.interfaces.afni.preprocess.Volreg>
2024-08-31 15:20:24 | INFO     | nipype.workflow  | [Node] Finished "hmc_b0", elapsed time 20.262577s.
2024-08-31 15:20:26 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.synthstrip_wf.post_n4" in "/home/oesteban/tmp/mriqc_ses-pilot007/mriqc_wf/dwiMRIQC/synthstrip_wf/7cc59af8dc607f10e805973ae32af5665d36f987/post_n4".
2024-08-31 15:20:26 | INFO     | nipype.workflow  | [Node] Executing "post_n4" <nipype.interfaces.ants.segmentation.N4BiasFieldCorrection>
2024-08-31 15:20:30 | INFO     | nipype.workflow  | [Node] Finished "post_n4", elapsed time 3.937709s.
