------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-pilot019/filter-pilot019.json.
------------------------------------------------------------------

2024-08-31 15:40:56 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-31 15:40:56 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't1w'...
2024-08-31 15:40:56 | IMPORTANT | mriqc            | File size ('t1w'): 0.02|0.02 GB [maximum|average].
2024-08-31 15:40:56 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't2w'...
2024-08-31 15:40:56 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-08-31 15:40:56 | IMPORTANT | mriqc            | Extracting metadata and entities for 3 input runs of modality 'bold'...
2024-08-31 15:40:57 | IMPORTANT | mriqc            | File size ('bold'): 1.52|0.71 GB [maximum|average].
2024-08-31 15:40:57 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-08-31 15:41:06 | IMPORTANT | mriqc            | File size ('dwi'): 0.44|0.44 GB [maximum|average].
2024-08-31 15:41:06 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-pilot019/config-20240831-154055_34401278-bedc-4fef-9eae-aa5fb21492ff.toml.
2024-08-31 15:41:10 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-31 15:41:10 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 3 BOLD runs..
2024-08-31 15:41:11 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-08-31 15:41:11 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-08-31 15:41:16 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-31 15:41:21 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-31 15:41:24 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/anatMRIQC/012b17f0a3ba26ea7262bf16da1308fa38cc9f7f/conform".
2024-08-31 15:41:24 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/dwiMRIQC/ComputeIQMs/5f563d426ab4fd45e28d758e1bc5091122e9fbfd/provenance".
2024-08-31 15:41:24 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/anatMRIQC/48bb7e00e9f95635e2c767f628c2f7d49c8bc068/conform".
2024-08-31 15:41:24 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/anatMRIQC/046b521305b1b12007750e51d5947b4328ce575c/conform".
2024-08-31 15:41:24 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-31 15:41:24 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-31 15:41:24 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-31 15:41:25 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 15:41:25 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.013971s.
2024-08-31 15:41:25 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.232644s.
2024-08-31 15:41:25 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.252943s.
2024-08-31 15:41:27 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 2.352468s.
2024-08-31 15:41:27 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/dwiMRIQC/5f563d426ab4fd45e28d758e1bc5091122e9fbfd/load_bmat".
2024-08-31 15:41:27 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/dwiMRIQC/5f563d426ab4fd45e28d758e1bc5091122e9fbfd/sanitize".
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/funcMRIQC/e537e228ec4e76435fd91314e3cc9f4567ef48e2/pick_echo".
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/funcMRIQC/506c2b49248f0fbdb90cd842d40de85cb41cbc6e/pick_echo".
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/anatMRIQC/synthstrip_wf/012b17f0a3ba26ea7262bf16da1308fa38cc9f7f/pre_clip".
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/funcMRIQC/ComputeIQMs/506c2b49248f0fbdb90cd842d40de85cb41cbc6e/provenance/mapflow/_provenance0".
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/funcMRIQC/d394b09248a1dfce4a0b48867efb206727c87c92/pick_echo".
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/anatMRIQC/AirMaskWorkflow/012b17f0a3ba26ea7262bf16da1308fa38cc9f7f/RotationMask".
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/anatMRIQC/synthstrip_wf/48bb7e00e9f95635e2c767f628c2f7d49c8bc068/pre_clip".
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/anatMRIQC/anat_report_wf/012b17f0a3ba26ea7262bf16da1308fa38cc9f7f/PlotMosaicNoise".
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/anatMRIQC/AirMaskWorkflow/48bb7e00e9f95635e2c767f628c2f7d49c8bc068/RotationMask".
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/anatMRIQC/synthstrip_wf/046b521305b1b12007750e51d5947b4328ce575c/pre_clip".
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Executing "_provenance0" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/anatMRIQC/anat_report_wf/48bb7e00e9f95635e2c767f628c2f7d49c8bc068/PlotMosaicNoise".
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/anatMRIQC/anat_report_wf/046b521305b1b12007750e51d5947b4328ce575c/PlotMosaicNoise".
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/anatMRIQC/AirMaskWorkflow/046b521305b1b12007750e51d5947b4328ce575c/RotationMask".
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.001152s.
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.001122s.
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.001127s.
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-08-31 15:41:28 | INFO     | nipype.workflow  | [Node] Finished "_provenance0", elapsed time 0.68892s.
2024-08-31 15:41:29 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance1" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/funcMRIQC/ComputeIQMs/506c2b49248f0fbdb90cd842d40de85cb41cbc6e/provenance/mapflow/_provenance1".
2024-08-31 15:41:29 | INFO     | nipype.workflow  | [Node] Executing "_provenance1" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 15:41:31 | INFO     | nipype.workflow  | [Node] Finished "_provenance1", elapsed time 1.897274s.
2024-08-31 15:41:31 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance2" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/funcMRIQC/ComputeIQMs/506c2b49248f0fbdb90cd842d40de85cb41cbc6e/provenance/mapflow/_provenance2".
2024-08-31 15:41:31 | INFO     | nipype.workflow  | [Node] Executing "_provenance2" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 15:41:33 | INFO     | nipype.workflow  | [Node] Finished "RotationMask", elapsed time 5.252174s.
2024-08-31 15:41:33 | INFO     | nipype.workflow  | [Node] Finished "_provenance2", elapsed time 2.067131s.
2024-08-31 15:41:33 | INFO     | nipype.workflow  | [Node] Finished "RotationMask", elapsed time 5.773518s.
2024-08-31 15:41:34 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance3" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/funcMRIQC/ComputeIQMs/506c2b49248f0fbdb90cd842d40de85cb41cbc6e/provenance/mapflow/_provenance3".
2024-08-31 15:41:34 | INFO     | nipype.workflow  | [Node] Executing "_provenance3" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 15:41:36 | INFO     | nipype.workflow  | [Node] Finished "_provenance3", elapsed time 2.103133s.
2024-08-31 15:41:36 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/funcMRIQC/ComputeIQMs/d394b09248a1dfce4a0b48867efb206727c87c92/provenance/mapflow/_provenance0".
2024-08-31 15:41:36 | INFO     | nipype.workflow  | [Node] Executing "_provenance0" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 15:41:36 | INFO     | nipype.workflow  | [Node] Finished "PlotMosaicNoise", elapsed time 8.745822s.
2024-08-31 15:41:37 | INFO     | nipype.workflow  | [Node] Finished "PlotMosaicNoise", elapsed time 9.509942s.
2024-08-31 15:41:37 | INFO     | nipype.workflow  | [Node] Finished "PlotMosaicNoise", elapsed time 9.819129s.
2024-08-31 15:41:38 | INFO     | nipype.workflow  | [Node] Finished "_provenance0", elapsed time 2.101496s.
2024-08-31 15:41:38 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance1" in "/home/oesteban/tmp/mriqc_ses-pilot019/mriqc_wf/funcMRIQC/ComputeIQMs/d394b09248a1dfce4a0b48867efb206727c87c92/provenance/mapflow/_provenance1".
2024-08-31 15:41:38 | INFO     | nipype.workflow  | [Node] Executing "_provenance1" <mriqc.interfaces.reports.AddProvenance>
