------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-excl029/filter-excl029.json.
------------------------------------------------------------------

2024-08-31 18:41:56 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-08-31 18:41:57 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-08-31 18:41:57 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-08-31 18:41:57 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-08-31 18:41:57 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-08-31 18:41:57 | IMPORTANT | mriqc            | Extracting metadata and entities for 3 input runs of modality 'bold'...
2024-08-31 18:41:58 | IMPORTANT | mriqc            | File size ('bold'): 1.63|0.76 GB [maximum|average].
2024-08-31 18:41:58 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-08-31 18:41:59 | IMPORTANT | mriqc            | File size ('dwi'): 0.44|0.44 GB [maximum|average].
2024-08-31 18:41:59 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-excl029/config-20240831-184156_bf0f7067-0489-46f8-bd5e-33b90f946680.toml.
2024-08-31 18:42:03 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-31 18:42:03 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 3 BOLD runs..
2024-08-31 18:42:04 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-08-31 18:42:04 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-08-31 18:42:09 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-31 18:42:14 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-31 18:42:17 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-excl029/mriqc_wf/anatMRIQC/af7a4739d4a817f42a247f9c08ffab35f2d5b918/conform".
2024-08-31 18:42:17 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-excl029/mriqc_wf/dwiMRIQC/ComputeIQMs/cc65d777ab590bd0b92981b587a20f9b38771484/provenance".
2024-08-31 18:42:17 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-excl029/mriqc_wf/anatMRIQC/6cf9ca6986e62df27bbd04fd1139db01bb861a56/conform".
2024-08-31 18:42:17 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-excl029/mriqc_wf/anatMRIQC/6288e7d0048ad2a6c438e61b4d3950bd0e91e6a8/conform".
2024-08-31 18:42:17 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-31 18:42:17 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-31 18:42:17 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-08-31 18:42:17 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-excl029/mriqc_wf/dwiMRIQC/cc65d777ab590bd0b92981b587a20f9b38771484/load_bmat".
2024-08-31 18:42:17 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-excl029/mriqc_wf/dwiMRIQC/cc65d777ab590bd0b92981b587a20f9b38771484/sanitize".
2024-08-31 18:42:17 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-08-31 18:42:17 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-08-31 18:42:17 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
