------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-20902030/filter-20902030.json.
------------------------------------------------------------------

2024-09-01 13:42:40 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-09-01 13:45:04 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-09-01 13:45:05 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-09-01 13:45:05 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-09-01 13:45:05 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.01 GB [maximum|average].
2024-09-01 13:45:05 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'bold'...
2024-09-01 13:45:06 | IMPORTANT | mriqc            | File size ('bold'): 1.74|1.74 GB [maximum|average].
2024-09-01 13:45:06 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-09-01 13:45:06 | IMPORTANT | mriqc            | File size ('dwi'): 0.33|0.33 GB [maximum|average].
2024-09-01 13:45:06 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-20902030/config-20240901-134209_90e3aeb7-ac7b-4539-b8be-56350bdb9884.toml.
2024-09-01 13:45:17 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-09-01 13:45:18 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 1 BOLD runs..
2024-09-01 13:45:20 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-09-01 13:45:20 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-09-01 13:45:24 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-09-01 13:45:30 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-09-01 13:45:31 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-20902030/mriqc_wf/dwiMRIQC/ComputeIQMs/aad37dfe62bc35799b80af55f0352ef8d7cbfe2a/provenance".
2024-09-01 13:45:31 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-20902030/mriqc_wf/anatMRIQC/6a3a12d78593e48c97727f91c576a7244f48b255/conform".
2024-09-01 13:45:31 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-20902030/mriqc_wf/anatMRIQC/6e5f67cde22ecdec6780c36167742c537395ca15/conform".
2024-09-01 13:45:31 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-20902030/mriqc_wf/anatMRIQC/b51df282c5ccb0851b005449c513b981864419e4/conform".
2024-09-01 13:45:31 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-09-01 13:45:31 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-20902030/mriqc_wf/dwiMRIQC/aad37dfe62bc35799b80af55f0352ef8d7cbfe2a/sanitize".
2024-09-01 13:45:31 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-20902030/mriqc_wf/dwiMRIQC/aad37dfe62bc35799b80af55f0352ef8d7cbfe2a/load_bmat".
2024-09-01 13:45:31 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-09-01 13:45:31 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-09-01 13:45:31 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-09-01 13:45:31 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-09-01 13:45:31 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-09-01 13:45:32 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.505442s.
2024-09-01 13:45:33 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-20902030/mriqc_wf/funcMRIQC/64d7b569bde5d70b2f5012b2221b8260ce253280/pick_echo".
2024-09-01 13:45:33 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-09-01 13:45:33 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.000953s.
2024-09-01 13:45:33 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.688137s.
2024-09-01 13:45:33 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.8979059999999999s.
2024-09-01 13:45:33 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.922135s.
2024-09-01 13:45:34 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-20902030/mriqc_wf/funcMRIQC/ComputeIQMs/64d7b569bde5d70b2f5012b2221b8260ce253280/provenance/mapflow/_provenance0".
2024-09-01 13:45:34 | INFO     | nipype.workflow  | [Node] Executing "_provenance0" <mriqc.interfaces.reports.AddProvenance>
2024-09-01 13:45:34 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.non_steady_state_detector" in "/home/oesteban/tmp/mriqc_ses-20902030/mriqc_wf/funcMRIQC/64d7b569bde5d70b2f5012b2221b8260ce253280/non_steady_state_detector".
2024-09-01 13:45:34 | INFO     | nipype.workflow  | [Node] Executing "non_steady_state_detector" <nipype.algorithms.confounds.NonSteadyStateDetector>
2024-09-01 13:45:35 | INFO     | nipype.workflow  | [Node] Finished "non_steady_state_detector", elapsed time 0.602231s.
2024-09-01 13:45:35 | INFO     | nipype.workflow  | [Node] Finished "_provenance0", elapsed time 0.940232s.
2024-09-01 13:45:35 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance1" in "/home/oesteban/tmp/mriqc_ses-20902030/mriqc_wf/funcMRIQC/ComputeIQMs/64d7b569bde5d70b2f5012b2221b8260ce253280/provenance/mapflow/_provenance1".
2024-09-01 13:45:35 | INFO     | nipype.workflow  | [Node] Executing "_provenance1" <mriqc.interfaces.reports.AddProvenance>
2024-09-01 13:45:36 | INFO     | nipype.workflow  | [Node] Finished "_provenance1", elapsed time 0.861526s.
2024-09-01 13:45:36 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance2" in "/home/oesteban/tmp/mriqc_ses-20902030/mriqc_wf/funcMRIQC/ComputeIQMs/64d7b569bde5d70b2f5012b2221b8260ce253280/provenance/mapflow/_provenance2".
2024-09-01 13:45:36 | INFO     | nipype.workflow  | [Node] Executing "_provenance2" <mriqc.interfaces.reports.AddProvenance>
2024-09-01 13:45:37 | INFO     | nipype.workflow  | [Node] Finished "_provenance2", elapsed time 0.821514s.
