------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-21001030/filter-21001030.json.
------------------------------------------------------------------

2024-09-02 14:28:26 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-09-02 14:28:55 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-09-02 14:28:55 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-09-02 14:28:55 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-09-02 14:28:55 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.01 GB [maximum|average].
2024-09-02 14:28:55 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'bold'...
2024-09-02 14:28:55 | IMPORTANT | mriqc            | File size ('bold'): 1.73|1.73 GB [maximum|average].
2024-09-02 14:28:55 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-09-02 14:28:55 | IMPORTANT | mriqc            | File size ('dwi'): 0.33|0.33 GB [maximum|average].
2024-09-02 14:28:55 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-21001030/config-20240902-142824_577a2328-6384-4b97-b3dd-448033743863.toml.
2024-09-02 14:29:03 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-09-02 14:29:03 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 1 BOLD runs..
2024-09-02 14:29:10 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-09-02 14:29:10 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-09-02 14:29:15 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-09-02 14:29:20 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-09-02 14:29:20 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-21001030/mriqc_wf/anatMRIQC/4aa17d739fc4df2804af2da9efd329b4c3b8d1dc/conform".
