------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-21101034/filter-21101034.json.
------------------------------------------------------------------

2024-09-04 13:12:55 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-09-04 13:15:20 | [1;31mERROR  [0m | datalad.annex    | Received undecodable JSON output: b"runHandler: couldn't find handler"
2024-09-04 13:15:40 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-09-04 13:15:47 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-09-04 13:15:47 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-09-04 13:15:49 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-09-04 13:15:49 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'bold'...
2024-09-04 13:15:52 | IMPORTANT | mriqc            | File size ('bold'): 1.17|1.17 GB [maximum|average].
2024-09-04 13:15:52 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-09-04 13:15:52 | IMPORTANT | mriqc            | File size ('dwi'): 0.34|0.34 GB [maximum|average].
2024-09-04 13:15:55 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-21101034/config-20240904-125102_bad88900-5bab-4a8b-97f3-78e20dc3bb07.toml.
2024-09-04 13:20:42 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-09-04 13:21:00 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 1 BOLD runs..
2024-09-04 13:21:26 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-09-04 13:21:26 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-09-04 13:21:31 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-09-04 13:21:35 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-09-04 13:21:36 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-21101034/mriqc_wf/dwiMRIQC/ComputeIQMs/084515c52fd33645c7b972a79af0395b67cad158/provenance".
2024-09-04 13:21:36 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-21101034/mriqc_wf/anatMRIQC/0302068a5223d02c5d3acd7d83e783bf340aae03/conform".
2024-09-04 13:21:36 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-21101034/mriqc_wf/anatMRIQC/55c8c6905919b9a5db83c9ae55740988f0377f7f/conform".
2024-09-04 13:21:36 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-21101034/mriqc_wf/anatMRIQC/f27e0aeb664b189c352551634ac2b00571997067/conform".
2024-09-04 13:21:36 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-09-04 13:21:36 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-21101034/mriqc_wf/dwiMRIQC/084515c52fd33645c7b972a79af0395b67cad158/load_bmat".
2024-09-04 13:21:36 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-09-04 13:21:36 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-09-04 13:21:36 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-09-04 13:21:36 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-09-04 13:21:37 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.510826s.
2024-09-04 13:21:37 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-21101034/mriqc_wf/dwiMRIQC/084515c52fd33645c7b972a79af0395b67cad158/sanitize".
2024-09-04 13:21:37 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-09-04 13:21:37 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-21101034/mriqc_wf/funcMRIQC/cf26cc924fcb672c7db0c22581f21889e65ba977/pick_echo".
2024-09-04 13:21:37 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-09-04 13:21:37 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.00067s.
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.348639s.
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.626628s.
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 1.6715740000000001s.
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-21101034/mriqc_wf/funcMRIQC/ComputeIQMs/cf26cc924fcb672c7db0c22581f21889e65ba977/provenance/mapflow/_provenance0".
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-21101034/mriqc_wf/anatMRIQC/synthstrip_wf/0302068a5223d02c5d3acd7d83e783bf340aae03/pre_clip".
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-21101034/mriqc_wf/anatMRIQC/AirMaskWorkflow/0302068a5223d02c5d3acd7d83e783bf340aae03/RotationMask".
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-21101034/mriqc_wf/anatMRIQC/anat_report_wf/55c8c6905919b9a5db83c9ae55740988f0377f7f/PlotMosaicNoise".
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-21101034/mriqc_wf/anatMRIQC/anat_report_wf/0302068a5223d02c5d3acd7d83e783bf340aae03/PlotMosaicNoise".
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-21101034/mriqc_wf/anatMRIQC/synthstrip_wf/55c8c6905919b9a5db83c9ae55740988f0377f7f/pre_clip".
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-21101034/mriqc_wf/anatMRIQC/AirMaskWorkflow/55c8c6905919b9a5db83c9ae55740988f0377f7f/RotationMask".
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-21101034/mriqc_wf/anatMRIQC/synthstrip_wf/f27e0aeb664b189c352551634ac2b00571997067/pre_clip".
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-21101034/mriqc_wf/anatMRIQC/AirMaskWorkflow/f27e0aeb664b189c352551634ac2b00571997067/RotationMask".
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.non_steady_state_detector" in "/home/oesteban/tmp/mriqc_ses-21101034/mriqc_wf/funcMRIQC/cf26cc924fcb672c7db0c22581f21889e65ba977/non_steady_state_detector".
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-21101034/mriqc_wf/anatMRIQC/anat_report_wf/f27e0aeb664b189c352551634ac2b00571997067/PlotMosaicNoise".
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Executing "_provenance0" <mriqc.interfaces.reports.AddProvenance>
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Executing "non_steady_state_detector" <nipype.algorithms.confounds.NonSteadyStateDetector>
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-09-04 13:21:38 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
