------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-21201030/filter-21201030.json.
------------------------------------------------------------------

2024-09-05 13:02:29 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-09-05 13:02:50 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-09-05 13:02:50 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-09-05 13:02:50 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'bold'...
2024-09-05 13:02:50 | IMPORTANT | mriqc            | File size ('bold'): 1.74|1.74 GB [maximum|average].
2024-09-05 13:02:50 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-09-05 13:02:50 | IMPORTANT | mriqc            | File size ('dwi'): 0.33|0.33 GB [maximum|average].
2024-09-05 13:02:50 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-21201030/config-20240905-130228_93a34b04-3f4b-4937-a329-9451a982674f.toml.
2024-09-05 13:02:56 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-09-05 13:02:56 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 1 BOLD runs..
2024-09-05 13:02:57 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-09-05 13:02:57 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 1 NIfTI files..
2024-09-05 13:03:02 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-09-05 13:03:07 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-09-05 13:03:08 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-21201030/mriqc_wf/anatMRIQC/d864e34823a425b2aa7bf473a78be6fb481339e4/conform".
2024-09-05 13:03:08 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-21201030/mriqc_wf/dwiMRIQC/ComputeIQMs/8d9048f61c8d269813c0fdc77a99da3dec59b5f6/provenance".
2024-09-05 13:03:08 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-21201030/mriqc_wf/dwiMRIQC/8d9048f61c8d269813c0fdc77a99da3dec59b5f6/load_bmat".
2024-09-05 13:03:08 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-09-05 13:03:08 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-09-05 13:03:08 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-09-05 13:03:08 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.455843s.
2024-09-05 13:03:08 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.511826s.
2024-09-05 13:03:08 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-21201030/mriqc_wf/dwiMRIQC/8d9048f61c8d269813c0fdc77a99da3dec59b5f6/sanitize".
2024-09-05 13:03:08 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-09-05 13:03:08 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-21201030/mriqc_wf/funcMRIQC/d3c2708968d9a4d6ebde50d7c44aec670e044941/pick_echo".
2024-09-05 13:03:08 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-09-05 13:03:08 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.000652s.
2024-09-05 13:03:09 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 1.282932s.
2024-09-05 13:03:10 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-21201030/mriqc_wf/funcMRIQC/ComputeIQMs/d3c2708968d9a4d6ebde50d7c44aec670e044941/provenance/mapflow/_provenance0".
2024-09-05 13:03:10 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.shells" in "/home/oesteban/tmp/mriqc_ses-21201030/mriqc_wf/dwiMRIQC/8d9048f61c8d269813c0fdc77a99da3dec59b5f6/shells".
