------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-21101060/filter-21101060.json.
------------------------------------------------------------------

2024-09-06 09:15:16 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-09-06 09:16:23 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-09-06 09:16:23 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-09-06 09:16:23 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-09-06 09:16:23 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-09-06 09:16:23 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'bold'...
2024-09-06 09:16:24 | IMPORTANT | mriqc            | File size ('bold'): 1.22|1.22 GB [maximum|average].
2024-09-06 09:16:24 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-09-06 09:16:24 | IMPORTANT | mriqc            | File size ('dwi'): 0.41|0.41 GB [maximum|average].
2024-09-06 09:16:24 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-21101060/config-20240906-091513_74943c4f-1372-4827-a790-a4b894bd9aac.toml.
2024-09-06 09:16:38 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-09-06 09:16:39 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 1 BOLD runs..
2024-09-06 09:16:40 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-09-06 09:16:40 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-09-06 09:16:45 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-09-06 09:16:49 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
