------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/hcph.
  * Output folder: /data/derivatives/hcph/datalad/hcph-mriqc.
  * Analysis levels: ['participant'].
  * BIDS filters-file: /home/oesteban/tmp/mriqc_ses-21202060/filter-21202060.json.
------------------------------------------------------------------

2024-09-06 10:28:25 | IMPORTANT | mriqc            | DataLad dataset identified, attempting to `datalad get` unavailable files.
2024-09-06 10:30:46 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 't1w'...
2024-09-06 10:30:46 | IMPORTANT | mriqc            | File size ('t1w'): 0.01|0.01 GB [maximum|average].
2024-09-06 10:30:46 | IMPORTANT | mriqc            | Extracting metadata and entities for 2 input runs of modality 't2w'...
2024-09-06 10:30:46 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.02 GB [maximum|average].
2024-09-06 10:30:46 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'bold'...
2024-09-06 10:30:46 | IMPORTANT | mriqc            | File size ('bold'): 1.17|1.17 GB [maximum|average].
2024-09-06 10:30:46 | IMPORTANT | mriqc            | Extracting metadata and entities for 1 input runs of modality 'dwi'...
2024-09-06 10:30:47 | IMPORTANT | mriqc            | File size ('dwi'): 0.42|0.42 GB [maximum|average].
2024-09-06 10:30:47 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc_ses-21202060/config-20240906-102822_2ea95c84-e1ff-4783-aa70-4d5de0ee0974.toml.
2024-09-06 10:30:53 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-09-06 10:30:53 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 1 BOLD runs..
2024-09-06 10:30:54 | INFO     | nipype.workflow  | Building diffusion MRIQC workflow for 1 NIfTI files..
2024-09-06 10:30:54 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 3 NIfTI files..
2024-09-06 10:30:58 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-09-06 10:31:03 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-09-06 10:31:03 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/anatMRIQC/9195c7e6ec682b28b11bdd31831cfe4ee81331f4/conform".
2024-09-06 10:31:03 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/anatMRIQC/7b217530d38662804a6d0dac30c880e30bd72055/conform".
2024-09-06 10:31:03 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.conform" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/anatMRIQC/b788172ed71df672465c58a177198d2b9cc73c6d/conform".
2024-09-06 10:31:03 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/dwiMRIQC/ComputeIQMs/37bfd0551355100a8bb9222ce146e39ffab738b6/provenance".
2024-09-06 10:31:03 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/dwiMRIQC/37bfd0551355100a8bb9222ce146e39ffab738b6/sanitize".
2024-09-06 10:31:03 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-09-06 10:31:03 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-09-06 10:31:03 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-09-06 10:31:03 | INFO     | nipype.workflow  | [Node] Executing "conform" <mriqc.interfaces.common.conform_image.ConformImage>
2024-09-06 10:31:03 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-09-06 10:31:04 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.538611s.
2024-09-06 10:31:04 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.673s.
2024-09-06 10:31:04 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.741737s.
2024-09-06 10:31:04 | INFO     | nipype.workflow  | [Node] Finished "conform", elapsed time 0.778389s.
2024-09-06 10:31:04 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/dwiMRIQC/37bfd0551355100a8bb9222ce146e39ffab738b6/load_bmat".
2024-09-06 10:31:04 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-09-06 10:31:04 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.pick_echo" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/funcMRIQC/5574752e59dd64060534d4dd720e2426b0827039/pick_echo".
2024-09-06 10:31:04 | INFO     | nipype.workflow  | [Node] Executing "pick_echo" <mriqc.interfaces.functional.SelectEcho>
2024-09-06 10:31:04 | INFO     | nipype.workflow  | [Node] Finished "pick_echo", elapsed time 0.001021s.
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 0.833014s.
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/funcMRIQC/ComputeIQMs/5574752e59dd64060534d4dd720e2426b0827039/provenance/mapflow/_provenance0".
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/anatMRIQC/synthstrip_wf/9195c7e6ec682b28b11bdd31831cfe4ee81331f4/pre_clip".
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/anatMRIQC/AirMaskWorkflow/7b217530d38662804a6d0dac30c880e30bd72055/RotationMask".
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/anatMRIQC/AirMaskWorkflow/9195c7e6ec682b28b11bdd31831cfe4ee81331f4/RotationMask".
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/anatMRIQC/anat_report_wf/9195c7e6ec682b28b11bdd31831cfe4ee81331f4/PlotMosaicNoise".
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/anatMRIQC/synthstrip_wf/7b217530d38662804a6d0dac30c880e30bd72055/pre_clip".
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.AirMaskWorkflow.RotationMask" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/anatMRIQC/AirMaskWorkflow/b788172ed71df672465c58a177198d2b9cc73c6d/RotationMask".
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/anatMRIQC/anat_report_wf/7b217530d38662804a6d0dac30c880e30bd72055/PlotMosaicNoise".
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.synthstrip_wf.pre_clip" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/anatMRIQC/synthstrip_wf/b788172ed71df672465c58a177198d2b9cc73c6d/pre_clip".
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.shells" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/dwiMRIQC/37bfd0551355100a8bb9222ce146e39ffab738b6/shells".
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.PlotMosaicNoise" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/anatMRIQC/anat_report_wf/b788172ed71df672465c58a177198d2b9cc73c6d/PlotMosaicNoise".
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.funcMRIQC.non_steady_state_detector" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/funcMRIQC/5574752e59dd64060534d4dd720e2426b0827039/non_steady_state_detector".
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Executing "_provenance0" <mriqc.interfaces.reports.AddProvenance>
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Executing "RotationMask" <mriqc.interfaces.anatomical.RotationMask>
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Executing "pre_clip" <niworkflows.interfaces.nibabel.IntensityClip>
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Executing "PlotMosaicNoise" <nireports.interfaces.mosaic.PlotMosaic>
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Executing "non_steady_state_detector" <nipype.algorithms.confounds.NonSteadyStateDetector>
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Executing "shells" <mriqc.interfaces.diffusion.NumberOfShells>
2024-09-06 10:31:05 | INFO     | nipype.workflow  | [Node] Finished "shells", elapsed time 0.003495s.
2024-09-06 10:31:06 | INFO     | nipype.workflow  | [Node] Finished "_provenance0", elapsed time 0.722403s.
2024-09-06 10:31:06 | INFO     | nipype.workflow  | [Node] Finished "non_steady_state_detector", elapsed time 0.827823s.
2024-09-06 10:31:06 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance1" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/funcMRIQC/ComputeIQMs/5574752e59dd64060534d4dd720e2426b0827039/provenance/mapflow/_provenance1".
2024-09-06 10:31:06 | INFO     | nipype.workflow  | [Node] Executing "_provenance1" <mriqc.interfaces.reports.AddProvenance>
2024-09-06 10:31:07 | INFO     | nipype.workflow  | [Node] Finished "_provenance1", elapsed time 0.586692s.
2024-09-06 10:31:07 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance2" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/funcMRIQC/ComputeIQMs/5574752e59dd64060534d4dd720e2426b0827039/provenance/mapflow/_provenance2".
2024-09-06 10:31:07 | INFO     | nipype.workflow  | [Node] Executing "_provenance2" <mriqc.interfaces.reports.AddProvenance>
2024-09-06 10:31:07 | INFO     | nipype.workflow  | [Node] Finished "_provenance2", elapsed time 0.531023s.
2024-09-06 10:31:08 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance0" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/funcMRIQC/ComputeIQMs/5574752e59dd64060534d4dd720e2426b0827039/provenance/mapflow/_provenance0".
2024-09-06 10:31:08 | INFO     | nipype.workflow  | [Node] Cached "_provenance0" - collecting precomputed outputs
2024-09-06 10:31:08 | INFO     | nipype.workflow  | [Node] "_provenance0" found cached.
2024-09-06 10:31:08 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance1" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/funcMRIQC/ComputeIQMs/5574752e59dd64060534d4dd720e2426b0827039/provenance/mapflow/_provenance1".
2024-09-06 10:31:08 | INFO     | nipype.workflow  | [Node] Cached "_provenance1" - collecting precomputed outputs
2024-09-06 10:31:08 | INFO     | nipype.workflow  | [Node] "_provenance1" found cached.
2024-09-06 10:31:08 | INFO     | nipype.workflow  | [Node] Setting-up "_provenance2" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/funcMRIQC/ComputeIQMs/5574752e59dd64060534d4dd720e2426b0827039/provenance/mapflow/_provenance2".
2024-09-06 10:31:08 | INFO     | nipype.workflow  | [Node] Cached "_provenance2" - collecting precomputed outputs
2024-09-06 10:31:08 | INFO     | nipype.workflow  | [Node] "_provenance2" found cached.
2024-09-06 10:31:09 | INFO     | nipype.workflow  | [Node] Finished "RotationMask", elapsed time 3.656304s.
2024-09-06 10:31:10 | INFO     | nipype.workflow  | [Node] Setting-up "_sanitize0" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/funcMRIQC/5574752e59dd64060534d4dd720e2426b0827039/sanitize/mapflow/_sanitize0".
2024-09-06 10:31:10 | INFO     | nipype.workflow  | [Node] Setting-up "_sanitize1" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/funcMRIQC/5574752e59dd64060534d4dd720e2426b0827039/sanitize/mapflow/_sanitize1".
2024-09-06 10:31:10 | INFO     | nipype.workflow  | [Node] Setting-up "_sanitize2" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/funcMRIQC/5574752e59dd64060534d4dd720e2426b0827039/sanitize/mapflow/_sanitize2".
2024-09-06 10:31:10 | INFO     | nipype.workflow  | [Node] Executing "_sanitize1" <niworkflows.interfaces.header.SanitizeImage>
2024-09-06 10:31:10 | INFO     | nipype.workflow  | [Node] Executing "_sanitize0" <niworkflows.interfaces.header.SanitizeImage>
2024-09-06 10:31:10 | INFO     | nipype.workflow  | [Node] Executing "_sanitize2" <niworkflows.interfaces.header.SanitizeImage>
2024-09-06 10:31:12 | INFO     | nipype.workflow  | [Node] Finished "PlotMosaicNoise", elapsed time 7.010178s.
2024-09-06 10:31:14 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/anatMRIQC/anat_report_wf/9195c7e6ec682b28b11bdd31831cfe4ee81331f4/ds_report_background".
2024-09-06 10:31:14 | INFO     | nipype.workflow  | [Node] Executing "ds_report_background" <mriqc.interfaces.DerivativesDataSink>
2024-09-06 10:31:14 | INFO     | nipype.workflow  | [Node] Finished "ds_report_background", elapsed time 0.009504s.
2024-09-06 10:31:15 | INFO     | nipype.workflow  | [Node] Finished "PlotMosaicNoise", elapsed time 9.538682s.
2024-09-06 10:31:15 | INFO     | nipype.workflow  | [Node] Finished "PlotMosaicNoise", elapsed time 9.756029s.
2024-09-06 10:31:16 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/anatMRIQC/anat_report_wf/7b217530d38662804a6d0dac30c880e30bd72055/ds_report_background".
2024-09-06 10:31:16 | INFO     | nipype.workflow  | [Node] Executing "ds_report_background" <mriqc.interfaces.DerivativesDataSink>
2024-09-06 10:31:16 | INFO     | nipype.workflow  | [Node] Finished "ds_report_background", elapsed time 0.004303s.
2024-09-06 10:31:16 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc_ses-21202060/mriqc_wf/anatMRIQC/anat_report_wf/b788172ed71df672465c58a177198d2b9cc73c6d/ds_report_background".
