trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.00431746	0.00458
0.0084	0.0072	0.0237	0.00013264502315156904	4.0142572795869576e-05	0.000153588974175501	1.03161919	27.93025017	1.01256618	0.05561882850614698	0.00395596	0.0017
0.0196	-0.0087	0.011	5.235987755982989e-05	0.0002303834612632515	0.00034208453339088857	0.98055768	26.54780197	0.98702517	0.06275107966372544	0.0039345	0.00099
0.0278	0.0175	0.0157	-1.7453292519943294e-06	0.0002670353755551324	0.0004904375198104066	0.99703729	26.99397278	0.99057152	0.05105550537616114	0.00408065	0.00126
0.0247	0.0209	0.0332	-3.141592653589793e-05	0.0003525565089028545	0.0005445427266222308	1.03261054	27.95709038	1.00827966	0.032464846872172486	0.00373316	0.00099
0.0285	0.0107	0.0232	2.96705972839036e-05	0.0004188790204786391	0.0005707226654021458	0.98831993	26.75795746	0.9902035	0.03167944870877506	0.00368094	0.00082
0.0184	0.011	0.0402	7.330382858376184e-05	0.0001361356816555577	0.0003525565089028545	1.05169761	28.47385788	1.02042386	0.05462713633111154	0.00452644	0.00194
0.0085	-0.016	-0.026	-0.00010821041362364843	5.93411945678072e-05	0.00020943951023931956	1.10930324	30.0334816	1.06229691	0.12317128639793477	0.00444347	0.00153
0.0092	0.0015	0.0692	-0.0007382742735936014	3.490658503988659e-05	0.0002705260340591211	1.15163481	31.17957687	1.089335	0.14917924966588375	0.00295347	0.00096
0.0084	-0.0392	0.0092	-0.0002007128639793479	9.42477796076938e-05	0.00010471975511965978	1.08944416	29.49581528	1.05281587	0.13963544415607612	0.00372559	0.0012
0.0145	-0.002	0.0717	-0.0008360127117052838	0.0	0.00020769418098732522	1.10192287	29.83366585	1.06140488	0.14742610266006478	0.0031141	0.00095
0.0156	-0.0404	0.0608	-0.0006841690667817771	-2.96705972839036e-05	4.71238898038469e-05	1.04097497	28.18354988	1.02398966	0.06750422666954442	0.00313354	0.00104
0.0129	-0.0049	0.09	-0.0010471975511965976	-3.316125578789226e-05	3.839724354387525e-05	1.01790571	27.55896759	1.01003775	0.08616228945893904	0.00285321	0.00098
0.0111	-0.023	0.0565	-0.000710349005561692	0.0001239183768915974	-2.268928027592628e-05	1.01769876	27.55336571	1.0106922	0.08115073510670982	0.00317544	0.00083
0.0073	0.0025	0.0781	-0.0009285151620609833	0.00011693705988362007	-0.00013962634015954637	1.03839743	28.11376572	1.00578082	0.06800422666954443	0.00374818	0.00137
0.0081	-0.001	0.0668	-0.0010088003076527223	0.00019547687622336493	-0.00015184364492350666	1.06033802	28.70778847	1.01410618	0.02415211333477221	0.00273162	0.00064
0.014	0.0138	0.0483	-0.0010681415022205296	0.00014137166941154068	-8.37758040957278e-05	0.99684793	26.98884583	0.99201175	0.04827571211037052	0.00254816	0.00059
0.0156	0.0138	0.0703	-0.0012322024519079964	0.00018151424220741024	-3.490658503988659e-05	1.0177356	27.55436325	1.00469887	0.03625363707695888	0.0024457	0.00057
0.0162	0.0045	0.0301	-0.0010576695267085637	0.0003298672286269283	-7.504915783575618e-05	1.01917362	27.59329605	1.00458937	0.06825142422074101	0.00261801	0.00053
0.0141	0.0133	0.0676	-0.0013037609512397642	0.00029321531433504735	-3.490658503988659e-05	1.02073276	27.63550758	1.00529036	0.06454429558094754	0.00284779	0.00075
0.0158	-0.0098	0.062	-0.0013683381335635543	0.0003944444109507184	-0.000153588974175501	1.0163964	27.51810455	1.00033487	0.044624433403753765	0.00277281	0.00077
0.0163	0.0094	0.0606	-0.0016458454846306526	0.0004363323129985824	-0.0001658062789394613	1.00523174	27.21582985	0.99525408	0.03768062789394612	0.00227171	0.00058
0.0215	0.0038	0.0901	-0.001647590813882647	0.00031415926535897925	4.71238898038469e-05	1.02308166	27.69910431	0.99977111	0.05714242728174528	0.00241023	0.00078
0.0183	-0.0097	0.0752	-0.0015603243512829306	0.000486946861306418	-0.0001291543646475804	1.0135442	27.44088364	0.99959318	0.05341661564992912	0.00250667	0.00079
0.013	0.0151	0.0722	-0.0017051866791984597	0.0005515240436302081	-3.665191429188092e-05	1.01525795	27.48728371	1.00510342	0.04819709802975095	0.00228667	0.00062
