trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0191954	0.00057
0.007	0.0347	0.0752	-0.00035604716740684323	0.0001012290966156711	-8.37758040957278e-05	0.96044123	81.85942841	0.96254255	0.14395260340591207	0.020932	0.00054
0.0087	-0.0371	0.0524	0.0002373647782712288	0.00015707963267948963	-9.075712110370512e-05	0.98008811	83.53395081	0.96995222	0.12911218993749335	0.0199976	0.00046
0.0004	-0.0669	0.0316	0.0006265732014659643	0.00016929693744344995	-0.00030194196059501896	0.95495635	81.39194489	0.95064959	0.08953052837250049	0.0216099	0.00064
0.0047	-0.0145	0.0755	0.00022165681500327985	-0.00017104226669544429	-0.00034557519189487725	0.97335476	82.96006012	0.96444781	0.14004444109507183	0.0230374	0.00085
0.0016	-0.0466	0.0608	0.00020594885173533088	-0.00013962634015954637	-0.000445058959258554	0.95281291	81.20925903	0.95331439	0.057230382858376186	0.0206187	0.00068
-0.0101	-0.0735	0.0435	0.0003473205211468716	-0.0001256637061435917	-0.0006230825429619757	0.93288565	79.51083374	0.93730059	0.07256789435654584	0.0187976	0.00046
-0.0029	-0.0041	0.0691	2.96705972839036e-05	-4.363323129985824e-05	-0.000582939970166106	0.91117162	77.66012573	0.92927734	0.12419114857512856	0.0194249	0.00039
-0.0004	-0.0448	0.0505	0.0001256637061435917	7.330382858376184e-05	-0.000577703982410123	0.89534092	76.31085968	0.9221894	0.07270830782496454	0.0193485	0.00042
0.0104	0.021	0.0801	0.0002844886680750757	0.00013264502315156904	-0.0004904375198104066	0.94935787	80.91477966	0.9562673	0.12147163095495037	0.0229191	0.00057
0.0007	0.0131	0.0633	-0.00047822021504644627	0.0005270894341022875	-0.00047647488579445195	0.9924016	84.58344269	0.98875613	0.09295579640440976	0.0222236	0.00093
-0.009	-0.1162	0.0775	-2.4434609527920616e-05	0.0004729842272904633	-0.0009704030641088471	1.04480934	89.05021667	1.01912124	0.20329094953223725	0.0226454	0.00085
-0.0025	-0.0611	0.079	-0.0004572762640225143	0.0003473205211468716	-0.0009529497715889039	0.94508195	80.55033875	0.95066365	0.09189793265790641	0.0218267	0.0007
0.006	0.0078	0.09	-0.0008726646259971648	0.00023561944901923448	-0.000778416846389471	0.97062552	82.72744751	0.96393273	0.123481117965086	0.0212137	0.00063
0.0025	-0.0972	0.0982	-0.000609119908946021	0.000291469985083053	-0.0008360127117052838	1.00879574	85.98073578	0.97532662	0.13554955592153875	0.020295	0.00046
-0.0056	-0.0762	0.1042	-0.0005096361415823442	0.00032637657012293966	-0.0009093165402890458	0.92673963	78.98700714	0.93375169	0.04548470904936626	0.020782	0.00036
-0.0048	0.0199	0.0907	-0.0011711159280881952	0.00019198621771937622	-0.0008395033702092724	0.97694606	83.26615143	0.96473197	0.15368416544945937	0.0190955	0.00022
-0.0063	-0.0055	0.054	-0.001254891732183923	0.00013439035240356338	-0.0008063421144213803	0.9558627	81.4691925	0.95433577	0.07232664625997166	0.0166756	0.00033
-0.0086	-0.064	0.0586	-0.0007243116395776468	0.0002303834612632515	-0.0008237954069413235	0.96580064	82.31621552	0.96021522	0.09760132469929539	0.0181465	0.00029
-0.0024	0.0384	0.0502	-0.0011344640137963143	0.0003159045946109737	-0.0006684611035138282	0.99675286	84.95430756	0.97622623	0.14955039054969424	0.0195225	0.00041
0.0033	-0.0283	0.0428	-0.0009826203688728075	0.0003612831551628262	-0.0005689773361501514	0.98654807	84.08454132	0.96879548	0.0946352986419518	0.0181851	0.00044
0.0105	-0.0747	0.0604	-0.0008342673824532895	0.0005480333851262194	-0.0005288347633542819	0.96867353	82.5610733	0.95536877	0.08996228945893904	0.0187684	0.00043
0.0113	0.0214	0.0558	-0.0010122909661567112	0.00045553093477052	-0.0004520402762665313	0.95171291	81.1155014	0.95074346	0.11886602605734356	0.0184086	0.00024
0.0105	-0.0367	0.0463	-0.0008325220532012951	0.0004206243497306334	-0.00040666171571467877	0.94906431	80.88976288	0.94928204	0.08140270292735774	0.0174431	0.00028
0.0093	-0.0502	0.0523	-0.0006649704450098395	0.00045902159327450867	-0.0004747295565424576	0.92559403	78.88936615	0.93460235	0.03440083462815548	0.0181904	0.0004
