trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0302429	0.00336
-0.0051	0.0219	-0.0061	-0.0005410520681182421	0.00011170107212763708	-1.5707963267948964e-05	0.88194394	59.64988327	0.91780108	0.06652305517569142	0.0287377	0.00226
-0.013	-0.0462	-0.0313	0.00034033920413889426	-4.71238898038469e-05	2.792526803190927e-05	0.88392812	59.78408051	0.92307396	0.15539247327442393	0.0320397	0.00268
-0.0149	0.0735	-0.0123	-0.0006684611035138282	-6.632251157578452e-05	-0.00021642082724729686	0.91712421	62.02928543	0.93604191	0.20421725123519327	0.0262902	0.00135
-0.0073	-0.0341	-0.0284	-0.00011344640137963142	-2.268928027592628e-05	-8.901179185171081e-05	0.93574286	63.28854752	0.94238904	0.16760284844148204	0.0301835	0.00175
-0.0033	-0.032	-0.0504	0.00024085543677521747	-9.773843811168246e-05	-1.9198621771937625e-05	0.89919156	60.81641769	0.92534931	0.05305820830351891	0.0308263	0.00207
-0.0033	0.0853	-0.1043	-0.0007819075048934597	-3.665191429188092e-05	-0.0002443460952792061	0.96258056	65.10370636	0.96016879	0.23664984694978736	0.0266588	0.00102
-0.0011	-0.0684	-0.0597	0.00013439035240356338	-4.537856055185256e-05	-0.00013962634015954637	0.9987883	67.55259705	0.98218341	0.25198721293383275	0.0332429	0.00234
-0.0014	-0.0106	-0.0778	0.0002670353755551324	-0.00019024088846738194	3.839724354387525e-05	0.88988376	60.18688965	0.92404368	0.09897654673852599	0.0310719	0.00175
-0.0027	0.1049	-0.1119	-0.0006562437987498679	-4.537856055185256e-05	-0.00031415926535897925	0.94462919	63.88957214	0.95182338	0.2219349005561692	0.0256444	0.00086
0.0033	-0.0224	-0.0989	-0.0001012290966156711	-0.00022689280275926284	-0.00028797932657906436	0.98004848	66.28514099	0.96269109	0.18443544415607607	0.0295783	0.00134
0.0028	-0.0389	-0.0703	0.00017104226669544429	-0.00039793506945470715	-0.0001064650843716541	0.94774592	64.10037231	0.95207445	0.07684139361069851	0.0305767	0.00194
-0.0003	0.1086	-0.1281	-0.0007871434926494425	-0.00020769418098732522	-0.0005166174585903216	1.04046822	70.37160492	0.99395992	0.2863289511015468	0.0263286	0.00111
-0.0044	-0.0059	-0.1246	-0.00039095375244672985	-0.000312413936106985	-0.0005061454830783556	0.99754542	67.46853638	0.97792133	0.14766907354171693	0.0289202	0.00146
-0.0116	-0.0051	-0.1288	-0.000153588974175501	-0.00041189770347066176	-0.00019024088846738194	0.92623127	62.64523697	0.93990233	0.04483765701229396	0.0279893	0.00123
-0.0121	0.1439	-0.1664	-0.0011606439525762293	-0.0002251474735072685	-0.0007627088831215222	0.99813682	67.50853729	0.97523055	0.27541366015091306	0.0247766	0.00088
-0.0078	-0.0262	-0.1585	-0.00047822021504644627	-0.00032812189937493397	-0.000752236907609556	1.02476954	69.30982971	0.97993182	0.22209350694547075	0.0291568	0.00146
-0.0098	-0.0165	-0.1335	-0.00032463124087094524	-0.00045553093477052	-0.0004974188368183839	0.94160277	63.68488312	0.94189014	0.06349080401811295	0.0281231	0.00124
-0.009	0.1367	-0.1983	-0.0013456488532876281	-0.0003054326190990077	-0.000890117918517108	1.0398649	70.33079529	0.99577241	0.2969907504893459	0.0252706	0.00125
-0.0077	-0.0519	-0.1725	-0.0002530727415391778	-0.0004520402762665313	-0.0007888888219014368	1.05202281	71.15309143	1.00159244	0.28272064327658225	0.02992	0.00168
