trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.00790095	0.0004
-0.0971	0.0103	-0.0037	-9.773843811168246e-05	-0.00011170107212763708	-0.0003089232776029963	0.95224339	41.26092911	0.95244408	0.1370181393921158	0.00648564	0.0003
-0.1441	0.0347	-0.0553	-0.00013439035240356338	5.759586531581287e-05	-0.00033684854563490564	0.97531712	42.2607193	0.94911418	0.134693705988362	0.00800842	0.0003
0.0047	-0.0176	0.0401	-0.00026354471705114377	-0.00011519173063162575	-0.0002652900463031381	1.08519375	47.02170181	1.00077682	0.31517502299633926	0.0073784	0.00028
-0.0784	-0.0063	0.0503	-6.806784082777885e-05	-0.00018675022996339323	-0.00014660765716752367	0.97080886	42.06537628	0.95599631	0.12388588823453733	0.00626934	0.00024
-0.1723	0.035	-0.0115	-0.0006544984694978735	-0.000148352986419518	-0.0002373647782712288	0.98634613	42.73860931	0.9657232	0.23277924966588373	0.00634879	0.0003
-0.0396	-0.0036	0.0307	-0.000291469985083053	-0.00022165681500327985	-0.00016406094968746698	1.01988709	44.19194794	0.98103302	0.23898180707911723	0.00693893	0.00025
-0.0676	-0.0083	0.075	-0.0002670353755551324	-0.0003525565089028545	-0.00029845130209103034	0.98386675	42.63117599	0.97150384	0.0914862327915529	0.00622237	0.00024
-0.1871	0.0374	-0.0302	-0.0006981317007977319	-0.00023911010752322313	-0.000312413936106985	1.0646286	46.1306076	1.00326411	0.2983252680319093	0.00697809	0.00025
-0.04	-0.0033	0.0324	-0.0005654866776461627	-0.0003193952531149623	-0.0006736970912698113	1.06169534	46.00350571	0.99965545	0.27911066619530667	0.00700116	0.00038
-0.0579	-0.0204	0.1014	-0.0007173303225696694	-0.00035081117965086024	-0.0005899212871740833	0.99426883	43.08190155	0.95870434	0.11735176877775665	0.00587553	0.0003
-0.1922	0.0263	0.0156	-0.0007400196028455958	-0.00012740903539558605	-0.0005846852994181004	1.03566527	44.87561798	0.98827169	0.27936637061435915	0.00640565	0.00027
-0.1105	0.0141	0.0133	-0.000645771823237902	-0.00023911010752322313	-0.000619591884457987	0.9707948	42.06476593	0.95528272	0.10824277183876088	0.00600749	0.0002
-0.0116	-0.0334	0.1352	-0.0004136430327226561	-0.0004206243497306334	-0.00048345620280242926	1.07957029	46.77803421	1.00881867	0.2957889357189107	0.00727314	0.00035
-0.1793	0.0069	0.0688	-0.0006754424205218055	-0.00022689280275926284	-0.0006126105674500097	1.08202791	46.88452148	1.0112497	0.303634264970905	0.00576365	0.00024
-0.1566	0.0165	-0.0024	-0.000932005820564972	-5.4105206811824215e-05	-0.0007120943348136865	0.97438538	42.22034836	0.95843529	0.1299417381677141	0.00566912	0.0002
-0.0085	-0.0389	0.124	-0.0007470009198535729	-0.0001972222054753592	-0.000905825881785057	1.1159178	48.35297775	1.02322271	0.3559926723173152	0.00668842	0.00026
-0.1463	-0.0161	0.1122	-0.0008726646259971648	-6.45771823237902e-05	-0.00091106186954104	0.99576092	43.14655304	0.97331665	0.1855772358525572	0.0050835	0.00016
-0.2107	0.0203	0.0146	-0.0009634217471008699	6.9813170079773176e-06	-0.0009093165402890458	1.00563276	43.57430267	0.96683361	0.20660304748437328	0.00621802	0.00024
-0.0799	-0.0229	0.0765	-0.0005585053606381855	-0.00016406094968746698	-0.0010978120995044332	1.06601286	46.19058609	0.99887284	0.2741227106186758	0.00578922	0.00027
-0.0944	-0.0305	0.1336	-0.0005427973973702365	-0.000296705972839036	-0.0010384709049366262	0.9786554	42.4053688	0.96636934	0.08958470904936627	0.00571096	0.0002
-0.2293	0.0218	0.0133	-0.0007801621756414653	-3.490658503988659e-05	-0.0010035643198967395	1.08132899	46.85424042	1.00495634	0.33420353755551324	0.00620848	0.00017
-0.1356	0.0174	-0.0127	-0.0007923794804054256	-6.108652381980153e-05	-0.0009791297103688187	1.00811517	43.68186569	0.96822762	0.1272415926535898	0.00646919	0.00051
-0.0344	-0.0294	0.1267	-0.0005602506898901797	-0.0002652900463031381	-0.0011065387457644049	1.1304301	48.98180389	1.01779968	0.3155870674197084	0.00629717	0.00022
-0.1882	-0.0057	0.0897	-0.0008255407361933179	-0.00017453292519943296	-0.0012077678423800758	1.02192962	44.28044891	0.98090523	0.23736381320112568	0.00537163	0.00021
-0.2197	0.0305	-0.0122	-0.0011606439525762293	-0.00010471975511965978	-0.0011885692206081383	1.00348616	43.48128891	0.97235988	0.19080575041173112	0.00636572	0.00022
-0.0681	-0.0266	0.089	-0.0010175269539126942	-0.0002373647782712288	-0.0014433872913993105	1.11034036	48.11130905	1.01461867	0.3364290046303138	0.00558811	0.00015
-0.1077	-0.0318	0.1403	-0.0010122909661567112	-0.00024260076602721178	-0.0014172073526193955	0.96614403	41.86324692	0.94930397	0.09793259571459406	0.00523949	0.00024
-0.2351	0.0195	0.0284	-0.0010524335389525807	1.5707963267948964e-05	-0.0014486232791552935	1.07074952	46.39582825	0.99569011	0.3070933614313464	0.00623113	0.00024
-0.1538	0.0094	0.0085	-0.0009791297103688187	1.2217304763960308e-05	-0.0014451326206513049	0.97657102	42.31505203	0.96049424	0.11531425727958698	0.00563836	0.00018
-0.0476	-0.0414	0.1447	-0.0007539822368615504	-0.00019547687622336493	-0.0014486232791552935	1.10164833	47.73468018	1.01768746	0.31501661564992905	0.00632161	0.00033
-0.1373	-0.0361	0.1461	-0.0008988445647770796	-0.0002583087292951608	-0.001218239817892042	0.91191608	39.51353836	0.93126849	0.11830388211252885	0.00536299	0.00018
-0.189	-0.0431	0.1481	-0.0010873401239924673	-0.00034033920413889426	-0.0013159782560037243	0.89029717	38.57678604	0.91630036	0.07911322360854017	0.00546139	0.00022
-0.2443	-0.0208	0.0964	-0.0013665928043115599	-0.00019896753472735358	-0.0013264502315156904	0.94883931	41.11343002	0.94860214	0.15085481626212996	0.00569665	0.00023
-0.2133	-0.0078	0.0076	-0.0013945180723434693	1.3962634015954635e-05	-0.0014573499254152652	1.00222421	43.42660904	0.97021396	0.15138775653373962	0.00582105	0.00027
-0.0281	-0.0464	0.1183	-0.0010314895879286487	-0.00017278759594743863	-0.0015289084247470327	1.16610658	50.52767181	1.05395932	0.365566860685499	0.00607449	0.00041
-0.166	0.0021	0.0795	-0.0011205013797803594	-0.0001012290966156711	-0.0013212142437597075	1.08492506	47.01005554	1.01390928	0.24361322360854015	0.00547922	0.00024
-0.187	0.0381	-0.0219	-0.0010663961729685354	-6.981317007977319e-05	-0.001165879940332212	1.06080842	45.96507645	0.99226989	0.17044277183876083	0.00695753	0.00039
0.0039	-0.027	0.0861	-0.0014329153158873448	-0.00014311699866353502	-0.0015289084247470327	1.20426488	52.18107986	1.05952794	0.4041425727958696	0.0064503	0.00034
-0.1524	-0.0062	0.0931	-0.0017610372152622785	-7.330382858376184e-05	-0.0015655603390389136	1.07074738	46.39573288	1.01246009	0.20582934918732937	0.00478375	0.00015
-0.2408	0.0338	-0.0276	-0.001932079481957723	-1.2217304763960308e-05	-0.001291543646475804	1.07183659	46.44292831	1.00747543	0.2744072741539177	0.00653964	0.00021
-0.0436	-0.0232	0.0584	-0.0020245819323134223	-8.37758040957278e-05	-0.00152367243699105	1.13540184	49.19722748	1.04009041	0.3600094870101356	0.00542748	0.00019
-0.1559	-0.0038	0.0963	-0.0023788837704682713	-0.0002548180707911721	-0.00152367243699105	1.05294526	45.62436295	1.0006978	0.19586720524251464	0.00463575	0.00021
