trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0128062	0.00199
0.021	-0.0292	0.0062	-1.5707963267948964e-05	-3.490658503988659e-05	0.00034208453339088857	1.09652507	85.34776306	1.03296984	0.07603495408493621	0.0128717	0.00196
0.0208	-0.0735	0.0073	-0.0001239183768915974	-4.363323129985824e-05	0.0002495820830351891	1.03703403	80.71729279	1.03034283	0.056071975511965966	0.01203	0.0015
0.0114	-0.0923	0.0176	-0.0007627088831215222	-0.00014137166941154068	5.061454830783555e-05	1.02727699	79.95785522	1.01925363	0.08527482395344803	0.0115947	0.0013
0.0144	-0.0479	0.0302	-0.00016406094968746698	-0.0002652900463031381	-3.141592653589793e-05	0.99820095	77.69472504	1.00384074	0.1002298392584693	0.0115426	0.0013
0.0157	-0.088	0.0358	-0.0003682644721708035	-0.00029321531433504735	-1.7453292519943296e-05	1.0454222	81.37017822	1.00555621	0.05930457122656001	0.0114577	0.00135
0.0131	-0.0605	0.0395	-0.0002495820830351891	-0.0002530727415391778	-6.806784082777885e-05	1.05054438	81.76886749	1.01061877	0.04427197551196597	0.0112903	0.00119
0.0106	-0.0718	0.0485	-0.0005707226654021458	-0.0003193952531149623	-7.853981633974481e-05	1.00980866	78.59820557	0.99949254	0.04269675347273537	0.0108731	0.00084
0.016	-0.1068	0.0435	-0.0007958701389094143	-0.00040317105721069014	-3.316125578789226e-05	0.99486256	77.43488312	0.99025312	0.06311509190774246	0.0110447	0.00094
0.0163	-0.0596	0.0482	-0.0009337511498169664	-0.00041015237421866745	9.250245035569947e-05	1.00668108	78.35477448	1.00502438	0.06572630170295606	0.0115316	0.00109
0.0156	-0.0476	0.0683	-0.000890117918517108	-0.00041189770347066176	0.00012042771838760874	1.05421484	82.05455017	1.03430296	0.03646519142918809	0.0129491	0.00209
0.0183	-0.0814	0.0441	-0.0006283185307179585	-0.000312413936106985	9.948376736367679e-05	1.06826544	83.1481781	1.03096018	0.0798113553093379	0.0133273	0.00195
0.0203	-0.075	0.0551	-0.0004380776422505767	-0.00034208453339088857	0.0001186823891356144	1.04272628	81.16034698	1.02104968	0.03135550537616115	0.0118554	0.0013
0.0146	-0.0969	0.0303	-0.000291469985083053	-0.000322885911618951	5.4105206811824215e-05	1.05970049	82.48152924	1.01662795	0.06391917306316257	0.0116245	0.00118
0.0146	-0.0778	0.0451	-0.0003351032163829112	-0.000322885911618951	8.203047484373349e-05	1.04378772	81.2429657	1.00095168	0.03747792496658838	0.011011	0.00097
0.0099	-0.0852	0.0345	-0.00034557519189487725	-0.00016929693744344995	0.00013264502315156904	0.98241472	76.46601105	0.98724805	0.03343377489976513	0.0107801	0.00094
0.0117	-0.1057	0.0035	-0.0005881759579220891	-0.00014660765716752367	0.00011519173063162575	1.01456785	78.96863556	1.00976775	0.06743716694115408	0.0122632	0.00128
0.0116	-0.0717	-0.0303	-0.000614355896702004	-0.00013439035240356338	0.0001658062789394613	1.06965935	83.25667572	1.03190801	0.07235058959258556	0.0139444	0.00163
0.0068	-0.0086	0.0183	-7.155849933176751e-05	-0.00012042771838760874	0.0002181661564992912	1.11404634	86.71152496	1.0520125	0.14695599544730106	0.0123858	0.0012
0.0041	-0.0745	0.0048	-0.00010471975511965978	-6.981317007977319e-05	0.00013962634015954637	1.03951776	80.91061401	1.01451953	0.09021578102177362	0.0125216	0.00108
0.0004	-0.0558	0.019	2.6179938779914945e-05	-2.268928027592628e-05	0.00017453292519943296	1.024055	79.7070694	1.00672084	0.04724650843716541	0.0119464	0.00116
-0.0013	-0.1136	0.0045	-0.0005061454830783556	0.0001012290966156711	0.00010297442586766544	1.02177322	79.52947235	1.01108702	0.11039011490408177	0.0121795	0.00113
-0.001	-0.048	0.0538	-0.0003822271061867582	0.00010471975511965978	0.0003316125578789226	1.04765952	81.54431915	1.02671998	0.13300235837034216	0.0113345	0.00107
-0.0013	-0.0943	0.0602	-0.0006510078109938849	5.061454830783555e-05	0.00020769418098732522	1.03974473	80.92827606	1.01194647	0.0753402144255274	0.0108876	0.00109
0.002	-0.0933	0.0533	-0.000752236907609556	0.00016231562043547262	0.0002652900463031381	1.00311744	78.07740021	0.99501514	0.024726301702956047	0.0114059	0.00112
-0.0028	-0.1068	0.0209	-0.0007173303225696694	0.0002181661564992912	0.00017976891295541595	1.06946111	83.24124146	1.01436641	0.059513912722571366	0.0125067	0.00116
-0.011	-0.1021	-0.0188	-0.0007766715171374765	0.00030368728984701333	0.00010471975511965978	1.07932937	84.00933838	1.04027846	0.06359557428756428	0.0141507	0.00185
-0.0168	-0.0317	0.0406	-0.00017278759594743863	0.00027925268031909274	0.000317649923862968	1.13296306	88.18389893	1.06333061	0.17766243497306336	0.0112841	0.00112
-0.0054	-0.0886	0.0014	-0.00017104226669544429	-5.235987755982989e-05	0.0002199114857512855	1.06251693	82.70074463	1.02663179	0.12905481626212997	0.0119392	0.00115
-0.008	-0.0404	0.0348	6.108652381980153e-05	-8.552113334772214e-05	0.0003944444109507184	1.03631818	80.66157532	1.01344173	0.10619114857512854	0.0110676	0.00101
-0.0069	-0.0818	0.0071	4.18879020478639e-05	-6.806784082777885e-05	0.0003717551306747922	1.01067257	78.66545105	1.00072009	0.07316705972839034	0.0113339	0.00108
-0.0044	-0.046	0.0296	0.0003351032163829112	-4.363323129985824e-05	0.0005567600313861911	0.99700648	77.60175323	0.99333396	0.08593274122871834	0.0110679	0.00094
-0.0025	-0.0798	0.014	0.0005654866776461627	-0.0001064650843716541	0.0005969026041820607	1.01232326	78.79393005	0.99925886	0.06796789435654585	0.0120707	0.0012
0.002	-0.0782	0.0061	0.0006841690667817771	-0.00013962634015954637	0.0006824237375297829	1.00355005	78.11106873	0.99904101	0.02586823891356144	0.0121549	0.00122
-0.0083	-0.0755	0.0207	0.0009302604913129776	1.3962634015954635e-05	0.0006649704450098395	0.97624516	75.9858017	0.98364798	0.04845668456133226	0.0120201	0.00122
-0.0219	-0.0848	0.0332	0.0009512044423369096	-0.00010297442586766544	0.00035081117965086024	0.99721533	77.61801147	0.99444237	0.05800201381332656	0.0118783	0.00117
-0.0203	-0.0978	0.0351	0.0009093165402890458	-0.00017278759594743863	0.00017278759594743863	0.989905	77.04901123	0.9874859	0.030986232791552926	0.0117334	0.00113
-0.0144	-0.0964	0.0216	0.0008656833089891874	-0.0001937315469713706	0.000148352986419518	0.99755526	77.64447021	0.99611977	0.025250589592585544	0.0119841	0.00103
-0.0126	-0.0595	0.0616	0.000619591884457987	-0.00013439035240356338	0.0003298672286269283	1.031703	80.30235291	1.01381705	0.10304734306532087	0.0109246	0.00105
-0.0126	-0.1061	0.06	0.00013788101090755203	-0.0001291543646475804	0.00024085543677521747	1.02649212	79.89675903	1.00548767	0.07699793265790643	0.0106956	0.00086
-0.0121	-0.0575	0.0903	0.0002548180707911721	-0.0001256637061435917	0.00034557519189487725	1.02989292	80.16146088	1.00787268	0.09065737367536339	0.0103927	0.00088
-0.0024	-0.091	0.0859	6.283185307179586e-05	-0.00021118483949131387	0.0004328416544945937	0.98607296	76.75074768	0.98869622	0.06583869068334074	0.0102931	0.00096
-0.0018	-0.1123	0.0694	-1.2217304763960308e-05	-0.0003473205211468716	0.0004014257279586958	1.00562775	78.272789	0.99274921	0.0505300383013606	0.0106084	0.00094
0.002	-0.0782	0.0763	-4.537856055185256e-05	-0.0002705260340591211	0.0006073745796940267	1.02788794	80.00540161	1.00544899	0.06059522973054868	0.0107877	0.001
-0.0016	-0.0834	0.0765	0.00013264502315156904	-0.0001658062789394613	0.0006161012259539982	1.01964617	79.36390686	1.01210158	0.02357349925415264	0.0117686	0.00157
-0.0188	-0.1	0.0583	0.00019024088846738194	-0.0002024581932313422	0.0002024581932313422	1.02791488	80.00750732	1.02249934	0.07739454061651747	0.0126963	0.00171
-0.015	-0.0959	-0.0115	-0.0005026548245743669	-0.00012217304763960306	0.00010821041362364843	1.12669647	87.6961441	1.06126795	0.12107143191205907	0.0147869	0.00244
-0.0168	0.0266	0.0663	3.490658503988659e-05	-5.235987755982989e-05	0.00018675022996339323	1.18898451	92.54431915	1.09779476	0.23639571980168855	0.0123929	0.00151
-0.0091	-0.0439	0.0699	-0.00010297442586766544	-0.0001832595714594046	0.00033335788713091696	1.04803514	81.57356262	1.01139849	0.10256941809873252	0.0110153	0.00114
-0.0042	-0.0641	0.0796	-0.0005445427266222308	-0.00026878070480712676	0.00035081117965086024	1.0098846	78.60411835	0.99611338	0.06202713633111154	0.0107452	0.00094
0.001	-0.1029	0.0301	-0.0004886921905584122	-0.00027925268031909274	0.0002897246558310587	1.02633333	79.88439941	1.01317185	0.09987045176977928	0.0113731	0.00103
0.0016	-0.0265	0.0671	-5.759586531581287e-05	-0.00040840704496667313	0.00042236967898262774	1.08111918	84.14864349	1.04395209	0.14864478565208747	0.0112381	0.00118
-0.0026	-0.0545	0.0734	-0.00038397243543875244	-0.00029496064358704166	0.00042760566673861073	1.05026817	81.74736786	1.0221503	0.0607529479629277	0.011454	0.00119
-0.019	-0.0719	0.077	0.0002373647782712288	-8.726646259971648e-06	0.0001291543646475804	1.03738785	80.74482727	1.01965304	0.09770112565640408	0.0114165	0.00115
-0.0139	-0.0857	0.0367	-0.0003385938748868999	0.000153588974175501	9.075712110370512e-05	1.06436658	82.8447113	1.03807417	0.0980335758568738	0.0115528	0.00105
-0.0126	-0.0534	0.0538	5.235987755982989e-05	0.00012740903539558605	9.250245035569947e-05	1.12089956	87.24494171	1.04290149	0.07164395102393194	0.0118818	0.00128
-0.0159	-0.0364	0.0935	-0.0001239183768915974	-4.18879020478639e-05	0.0001884955592153876	1.10053611	85.65995789	1.0323573	0.0820784150377283	0.0108641	0.00103
-0.0057	-0.0824	-0.0047	-0.0009983283321407565	0.00017627825445142725	5.759586531581287e-05	1.15524459	89.91818237	1.07536461	0.2155737902824012	0.0135687	0.00204
-0.0146	-0.0063	0.0808	-0.0002548180707911721	3.4906585039886588e-06	9.250245035569947e-05	1.18060637	91.89220428	1.09236911	0.21806022211684545	0.0112503	0.0012
-0.0154	-0.0731	0.0919	-0.0005044001538263612	-0.0001937315469713706	-0.00015707963267948963	1.05409741	82.04541779	1.022042	0.11351931857728687	0.0108157	0.00094
-0.003	-0.101	0.0558	-0.0007923794804054256	-8.901179185171081e-05	-0.0001012290966156711	1.07121778	83.37797546	1.0242952	0.09882748088812712	0.0122316	0.00141
-0.0076	-0.0493	0.1303	-0.0005864306286700947	-0.00022340214425527416	-6.45771823237902e-05	1.11665368	86.91446686	1.04187863	0.14964955592153875	0.0121959	0.00122
-0.005	-0.1359	0.0797	-0.000609119908946021	-0.00019547687622336493	-0.0001832595714594046	1.04835498	81.59845734	1.0248314	0.1482648468721725	0.012139	0.00124
-0.0068	-0.1068	0.091	-0.0006719517620178169	-0.00011519173063162575	-0.00019547687622336493	1.06656444	83.01578522	1.0133184	0.04996671517137476	0.0128067	0.00137
-0.0102	-0.0856	0.1288	-0.00048345620280242926	-9.42477796076938e-05	-7.155849933176751e-05	1.1012435	85.71501923	1.03124407	0.07906789435654586	0.0124273	0.00115
