trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0532799	0.0056
0.0053	0.0469	-0.0035	0.00034208453339088857	-2.792526803190927e-05	0.00013962634015954637	1.02108002	90.08430481	0.99715205	0.08118180707911718	0.0571861	0.00691
-0.0005	0.0326	0.0135	0.00039968039870670147	-1.3962634015954635e-05	-7.853981633974481e-05	1.01965463	89.9585495	0.99500007	0.05158623279155294	0.053652	0.00554
-0.0018	0.0353	-0.0039	0.0004485496177625427	-8.028514559173915e-05	-0.00020769418098732522	1.00582421	88.73836517	0.98526423	0.033617304763960305	0.0543014	0.006
-0.0029	0.021	0.0069	0.00022689280275926284	-0.00015533430342749534	-0.00033335788713091696	1.00185108	88.38784027	0.98459188	0.047318483949131386	0.0521611	0.00497
0.0027	0.0377	0.0039	0.00028797932657906436	-0.00015707963267948963	-0.000158824961931484	1.00460649	88.63092804	0.98571751	0.03716823891356144	0.0544042	0.00584
0.009	0.0147	0.014	3.490658503988659e-05	-6.108652381980153e-05	-9.250245035569947e-05	1.00565076	88.72306061	0.9854072	0.06016941809873253	0.0521899	0.00555
0.011	0.0207	-0.0001	0.0003438298626428829	2.6179938779914945e-05	1.5707963267948964e-05	1.00529575	88.69174194	0.98471772	0.047320007691318056	0.0542531	0.00613
0.0119	-0.0203	0.027	0.0007138396640656808	0.00019024088846738194	-0.00024085543677521747	1.02186048	90.15315247	1.0018217	0.10853170755767157	0.0486214	0.00497
0.007	0.002	0.0292	0.0009075712110370514	-0.00010297442586766544	-0.0003473205211468716	1.01391613	89.45227051	0.99515885	0.0590705972839036	0.0502108	0.00564
0.0107	-0.0294	0.0303	0.0015882496193148398	-0.0004956735075663896	-0.000291469985083053	1.02248001	90.20781708	1.00603526	0.09266140130201656	0.0491151	0.0058
0.0499	-0.242	0.0033	0.0022846359908605773	-0.0009232791743050004	0.0007714355293814937	1.19621217	105.5352478	1.15674493	0.3881448776374448	0.0496785	0.00773
-0.0181	-0.0415	0.0126	0.0014381513036433276	-0.00028099800957108706	0.0010262536001726657	1.16821134	103.06489563	1.1302098	0.3649791961371167	0.0584952	0.00863
-0.0314	0.0524	-0.0212	0.001509709802975095	-0.0006038839211900379	0.0008482300164692441	1.04375303	92.08461761	1.02504102	0.169623399732707	0.0657769	0.01146
0.0219	0.1595	0.0015	0.00182212373908208	-0.00041189770347066176	0.0014608405839192536	1.06016028	93.53213501	1.0440087	0.23895053606381847	0.0723512	0.01633
0.0424	-0.0254	-0.0095	0.0030124382889422127	5.585053606381854e-05	0.0013980087308474581	1.15111935	101.55695343	1.12434097	0.3024447321233204	0.0632319	0.01256
-0.0228	0.0308	0.0115	0.002036799237077382	-0.0002513274122871834	0.0013543754995475996	1.10557663	97.53897095	1.0883024	0.20872251157578453	0.0649883	0.01137
-0.017	0.0572	0.0109	0.0011536626355682519	-0.0007714355293814937	0.0006684611035138282	1.04366982	92.07727814	1.02606621	0.1372579557318606	0.0617129	0.00837
-0.0065	0.0315	0.0229	0.0010384709049366262	-0.0005811946409141118	0.0002478367537831948	1.00570107	88.72750092	0.99159213	0.08450284844148205	0.0581256	0.00705
