trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0542907	0.00584
0.0153	0.005	0.0013	-0.00040666171571467877	0.0002181661564992912	-3.665191429188092e-05	1.01629567	92.94525146	0.99845609	0.054673989325292535	0.0528814	0.00389
-0.0349	0.0018	-0.0033	-2.96705972839036e-05	0.0002478367537831948	-0.00015009831567151235	1.0134418	92.68425751	0.99858331	0.08400540585471553	0.0536699	0.00491
0.0124	0.0049	-0.0008	-0.00046949356878647465	0.0001832595714594046	-0.0002530727415391778	1.01436138	92.76835632	1.00140397	0.08326872898470135	0.0511587	0.00359
-0.0406	-0.0015	0.0015	-0.00010297442586766544	0.00020769418098732522	-0.00020420352248333657	1.01006472	92.37540436	0.99828927	0.08369114857512852	0.0520671	0.00432
0.002	-0.0041	0.0007	-0.000635299847725936	0.00019198621771937622	-0.00024085543677521747	1.01799226	93.10041809	0.99933846	0.07523426497090502	0.0497108	0.00341
-0.0364	-0.0075	0.006	-0.000307177948351002	0.00014486232791552936	-0.0003193952531149623	0.99961692	91.41989899	0.98995659	0.06978928027592629	0.0512882	0.0038
0.0058	0.0014	0.0069	-0.0009546951008408983	5.4105206811824215e-05	-0.00038048177693476387	1.0087564	92.25574493	0.99520358	0.09196803987067015	0.0482739	0.00258
-0.0367	-0.005	0.0019	-0.0005462880558742252	2.268928027592628e-05	-0.00041713369122664475	1.01015365	92.38353729	0.99618045	0.07772374428972259	0.0491696	0.00334
0.0093	-0.0135	0.0368	-0.000619591884457987	-0.00041015237421866745	-0.0002600540585471551	1.01596069	92.91461945	1.00348702	0.12256125578789225	0.0532424	0.00499
0.0155	-0.0182	0.0292	-0.0002373647782712288	-0.00039968039870670147	-0.00015533430342749534	1.01308215	92.65135956	1.00240965	0.0433709418409192	0.0544841	0.00556
0.0526	0.0068	-0.0206	-0.0006178465552059926	0.00019547687622336493	0.00010297442586766544	1.10243309	100.82294464	1.07912381	0.17359738905799957	0.0463008	0.00295
0.0192	0.0091	0.0011	-0.001270599695451872	-0.000598647933434055	0.000593411945678072	1.08410013	99.1463089	1.05800268	0.1542657734856853	0.0465754	0.00271
-0.2533	0.0009	0.0429	-0.001181587903600161	0.00035604716740684323	0.0007906341511534313	1.36218202	124.57826996	1.29509087	0.3845464549083984	0.0538182	0.00835
-0.1345	-0.0014	0.0488	-0.0014800392056911916	0.0008482300164692441	0.0006998770300497262	1.16610765	106.64630127	1.12877987	0.17106956361285683	0.0505876	0.00493
-0.0567	-0.0058	0.0426	-0.0016877333866785165	0.0004974188368183839	0.0006597344572538566	1.05682075	96.651474	1.03982888	0.11833239667170274	0.047043	0.00295
-0.1219	-0.0175	0.0357	-0.0013718287920675431	0.0008709192967451704	0.0006719517620178169	1.04877424	95.91557312	1.02789031	0.118881117965086	0.0475271	0.00339
0.0061	-0.0095	0.0421	-0.0016196655458507376	0.0004363323129985824	0.000614355896702004	1.09610987	100.24465942	1.06883982	0.17940098014227976	0.0483803	0.00263
-0.0638	-0.0113	0.0335	-0.001450368608407288	0.0008464846872172499	0.0006946410422937432	1.0679419	97.66855621	1.03785753	0.1132867228626928	0.0482864	0.0023
0.0188	-0.0066	0.0384	-0.0017156586547104257	0.0007155849933176752	0.0007330382858376184	1.0577426	96.73577881	1.03442736	0.11392934918732935	0.050868	0.00232
-0.025	-0.0136	0.0373	-0.0014119713648634124	0.0007923794804054256	0.000593411945678072	1.02704525	93.92835236	1.00765507	0.0779054058547155	0.0527794	0.00294
-0.0478	-0.0145	0.0388	-0.0013002702927357754	0.0010821041362364843	0.0007853981633974483	1.03185225	94.36798096	1.00337506	0.0548705972839036	0.0547441	0.00353
-0.0611	-0.0051	0.0101	-0.0005532693728822024	0.0011623892818282235	0.0008290313946973065	1.02269053	93.53009796	1.00655606	0.09494596483725849	0.0521095	0.00387
-0.0567	-0.0061	0.0107	-0.0004939281783143952	0.000879645943005142	0.0008988445647770796	1.00140834	91.5837326	0.98916174	0.026594885173533096	0.0535105	0.00388
-0.1123	-0.0075	0.0109	-0.0004537856055185257	0.0009896016858807848	0.0010053096491487337	1.00229013	91.66437531	0.99121964	0.07002817000215832	0.0530329	0.00419
-0.0832	-0.0139	0.0299	-0.00045553093477052	0.0009512044423369096	0.0010821041362364843	0.99296868	90.81188202	0.98582392	0.06034685299418101	0.0557621	0.00489
