trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.030746	0.01492
-0.0092	-0.0698	-0.0851	0.0005585053606381855	-0.00027925268031909274	-0.00026354471705114377	1.17512679	60.84550095	1.11629195	0.2191651379004211	0.0249071	0.0052
-0.0227	-0.0551	-0.0368	0.000645771823237902	-0.0007033676885537148	-0.0005305800926062762	1.05322075	54.53347015	1.02872365	0.11542084231947354	0.0246103	0.00568
-0.0247	-0.0653	-0.0491	0.0004380776422505767	-0.0008499753457212384	-0.0006422811647339132	0.97179276	50.31730652	0.97888037	0.04780014551412429	0.0225335	0.00395
-0.0169	-0.0811	-0.102	0.000710349005561692	-0.0007731808586334879	-0.0007539822368615504	1.02644849	53.14726257	1.01387183	0.09953834612632516	0.0215776	0.00322
-0.0149	-0.0525	-0.0673	0.0006073745796940267	-0.0009023352232810684	-0.0006981317007977319	1.06656325	55.22431946	1.02950188	0.0796989663289532	0.0239601	0.0053
-0.0157	-0.073	-0.1022	0.0006824237375297829	-0.0008237954069413235	-0.0006440264939859076	1.09442377	56.66687393	1.05008747	0.06658470904936627	0.0229443	0.00427
-0.0222	-0.0614	-0.1196	0.0009564404300928925	-0.0008325220532012951	-0.0007190756518216638	1.03546619	53.61418152	1.01351103	0.05338962483294186	0.023661	0.0049
-0.0255	-0.0389	-0.0752	0.0004991641660703782	-0.0009442231253289323	-0.0007696902001294993	1.02215326	52.92486572	1.00154744	0.10117959422289936	0.0241567	0.00529
-0.0295	-0.0847	-0.1572	0.0008866272600131194	-0.0009826203688728075	-0.0009861110273767962	1.07329786	55.57302094	1.04668868	0.16391405823669564	0.0209095	0.00324
-0.0277	-0.0708	-0.1615	0.0010314895879286487	-0.0009512044423369096	-0.0010262536001726657	1.02356935	52.9981842	1.01034092	0.03082104136236483	0.0211382	0.00356
-0.0279	-0.0482	-0.119	0.0005235987755982988	-0.0009564404300928925	-0.0008639379797371932	1.03262937	53.46729279	1.01193694	0.09907212102609027	0.0217549	0.00406
-0.0251	-0.1026	-0.1422	0.0011519173063162574	-0.0010122909661567112	-0.0009529497715889039	1.05263579	54.50318527	1.02409024	0.1190590429316744	0.0206159	0.00277
-0.0213	-0.0661	-0.1297	0.0009372418083209549	-0.0008813912722571365	-0.0008325220532012951	1.01768982	52.6937561	1.00068424	0.07610014551412425	0.0221218	0.00388
-0.0099	-0.0338	-0.1079	0.0003769911184307752	-0.0008464846872172499	-0.000619591884457987	1.01896524	52.75979614	0.99876565	0.10590437218366874	0.0233911	0.00467
-0.0117	-0.0742	-0.1466	0.0008517206749732328	-0.0007819075048934597	-0.0006318091892219474	1.03076208	53.37060928	1.00679761	0.10847620218151043	0.0218785	0.00393
-0.0117	-0.0413	-0.141	0.0008028514559173916	-0.0007696902001294993	-0.0005532693728822024	0.99128956	51.32680893	0.98597656	0.045481317007977355	0.0234516	0.00539
-0.0088	-0.026	-0.1298	0.00034906585039886593	-0.0008325220532012951	-0.0005672320068981572	1.00731385	52.15651321	0.98610442	0.0559290046303138	0.0237358	0.00564
-0.0102	-0.072	-0.1395	0.0009791297103688187	-0.0008150687606813518	-0.0005567600313861911	1.02445662	53.04412842	1.00011978	0.0899994564000931	0.0227489	0.00426
-0.0143	-0.0379	-0.1347	0.0008587019919812101	-0.0007731808586334879	-0.0005061454830783556	0.97893423	50.68707657	0.9772068	0.05364650843716542	0.0242029	0.00578
-0.012	-0.0174	-0.1272	0.000291469985083053	-0.0008133234314293575	-0.00048171087355043494	0.984321	50.96599197	0.97662872	0.06189045946109735	0.0242423	0.0057
-0.0138	-0.0589	-0.1486	0.0005480333851262194	-0.0008098327729253688	-0.0005427973973702365	1.01189542	52.39373398	0.99910238	0.08075702911834784	0.022197	0.00428
-0.0102	-0.0528	-0.1614	0.0008499753457212384	-0.000752236907609556	-0.0005288347633542819	0.99135131	51.33000565	0.9866687	0.0411750229963393	0.0231639	0.00531
-0.0136	-0.012	-0.1521	0.00022165681500327985	-0.0008080874436733745	-0.00046425758103049166	1.04103601	53.90257263	1.0173283	0.09093731245527832	0.0244662	0.00724
