trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.072079	0.03163
0.0051	-0.0226	0.0207	-6.45771823237902e-05	7.67944870877505e-05	7.853981633974481e-05	1.04281473	38.13819122	1.03116979	0.05939557428756427	0.0724342	0.03076
0.0067	-0.0337	0.001	0.0004049163864626844	0.0001361356816555577	3.839724354387525e-05	1.02125144	37.34957123	1.01055414	0.06084886680750756	0.0699807	0.02821
0.0345	-0.0483	-0.0022	0.0006283185307179585	0.0006440264939859076	0.0002670353755551324	1.0367626	37.91685104	1.02675397	0.09359655442984406	0.0682399	0.02747
0.0314	-0.0354	-0.0521	0.0012322024519079964	0.0005410520681182421	0.00012740903539558605	1.03672349	37.91542053	1.02230293	0.10822423436086248	0.0646705	0.02459
0.0257	-0.0773	-0.0656	0.0015515977050229591	0.0003961897402027128	4.537856055185256e-05	1.00869238	36.89025879	1.00411124	0.08841440279371127	0.0617998	0.02152
0.0185	-0.0956	-0.0503	0.001499237827463129	0.0002705260340591211	-1.7453292519943294e-06	0.98752165	36.1159935	0.98943088	0.05205737367536344	0.0624642	0.02173
0.0266	-0.0935	-0.1041	0.0018552849948699724	0.00034557519189487725	-3.490658503988659e-05	1.01427352	37.09437561	1.01126169	0.08721287905152457	0.0577679	0.0189
0.0172	-0.1254	-0.0548	0.0012531464029319286	0.00018675022996339323	7.330382858376184e-05	1.01149726	36.99283981	1.01001256	0.13405869837465884	0.0605152	0.01964
0.0143	-0.0833	-0.1111	0.0014224433403753785	0.0002495820830351891	5.235987755982988e-06	0.99080193	36.23596191	0.99734303	0.11630983156715125	0.0574608	0.0192
0.0199	-0.127	-0.0829	0.0013596114873035826	0.0003159045946109737	0.00011170107212763708	1.0239464	37.44813156	1.01055773	0.08928097245096174	0.0581886	0.0183
