trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0199261	0.0061
0.0106	0.0233	0.012	0.00028274333882308137	3.141592653589793e-05	4.71238898038469e-05	1.02979195	35.31970596	1.02738539	0.06396415775814131	0.0203316	0.00213
0.0126	-0.0184	0.0276	-5.93411945678072e-05	-4.363323129985824e-05	6.632251157578452e-05	1.0241636	35.12666702	1.01277762	0.08111661564992911	0.0181337	0.00122
0.0081	-0.0426	0.0132	-3.839724354387525e-05	-1.5707963267948964e-05	6.806784082777885e-05	1.03365529	35.45220947	1.00715666	0.04563072741539178	0.0166345	0.00078
-0.0129	-0.0161	0.0044	6.806784082777885e-05	-0.00022689280275926284	-0.00019024088846738194	1.00956857	34.62608719	0.99356709	0.08509793265790644	0.017808	0.00078
-0.0204	-0.0713	-0.0054	6.632251157578452e-05	-0.00034557519189487725	-0.0001972222054753592	1.01783502	34.90961075	0.99826578	0.07887045176977929	0.014285	0.00077
-0.0154	-0.0532	0.0203	-0.00023911010752322313	-0.00020594885173533088	-0.000158824961931484	1.02328205	35.09643173	1.00014207	0.07297281014012146	0.0153175	0.00087
-0.002	-0.0441	0.0191	-0.00015009831567151235	-0.00019896753472735358	-8.726646259971648e-05	0.99574506	34.15196991	0.98806033	0.03207758040957277	0.0154505	0.00078
-0.0005	-0.0476	-0.0093	-0.0002600540585471551	-6.45771823237902e-05	-0.0001239183768915974	1.00424051	34.44334412	0.9927756	0.047449900478554345	0.0148591	0.00081
-0.0046	-0.0628	-0.0258	-0.0006387905062299246	-4.71238898038469e-05	-0.00014660765716752367	1.01342702	34.75842285	0.99600553	0.05674395102393194	0.0132318	0.00075
-0.006	-0.0583	-0.0025	-0.0007173303225696694	-0.00014311699866353502	-0.00012217304763960306	1.00719893	34.54481506	0.98498866	0.039148376736367674	0.0138066	0.0006
-0.0031	-0.0499	-0.0161	-0.0004468042885105483	-0.00017627825445142725	-0.000158824961931484	0.98835903	33.89864349	0.97396107	0.04191696020694472	0.0140634	0.00077
-0.0014	-0.0878	0.001	-0.0008028514559173916	-0.00016406094968746698	-4.71238898038469e-05	0.9969129	34.19202423	0.98030241	0.08069827721492204	0.0126022	0.00074
0.005	-0.0822	-0.0003	-0.0003874630939427412	-0.00015184364492350666	-0.00011519173063162575	0.98387909	33.7449913	0.97191848	0.03808367537831949	0.0129948	0.0007
0.0021	-0.1197	0.0144	-0.0007278022980816354	-0.00018500490071139895	-3.141592653589793e-05	0.97966218	33.60036087	0.97235206	0.07796381320112573	0.0112368	0.00046
0.0029	-0.1168	0.007	-0.0005305800926062762	-0.00020769418098732522	-6.981317007977319e-05	0.98600912	33.81804657	0.97145082	0.024015436464758035	0.0114473	0.00044
0.0229	-0.144	-0.002	-0.0006161012259539982	-1.0471975511965975e-05	0.000158824961931484	0.99971604	34.28816605	0.98203647	0.08176907354171693	0.00992978	0.00057
0.0246	-0.1343	0.0214	-0.0008185594191853405	-7.67944870877505e-05	0.00022689280275926284	1.01184595	34.70419693	0.99249719	0.05164242728174527	0.0110134	0.00077
0.0259	-0.1304	0.0385	-0.00062482787221397	-0.0001239183768915974	0.00032463124087094524	1.00337744	34.41374588	0.98993112	0.039229693744345	0.0112867	0.00052
0.0167	-0.143	0.0352	-0.0007976154681614085	-0.00012042771838760874	0.00023212879051524583	0.98760796	33.87288284	0.9786839	0.03853903524035633	0.0107635	0.00051
0.0293	-0.1435	0.0196	-0.0008307767239493009	-9.599310885968811e-05	0.00034033920413889426	0.98715168	33.85723495	0.97137804	0.03699031394697308	0.0100302	0.00034
0.0296	-0.1605	0.0185	-0.0007435102613495844	-0.00012042771838760874	0.0003647738136668148	0.98780048	33.87948608	0.9706125	0.025206784082777895	0.00961667	0.00046
0.0261	-0.1679	-0.0201	-0.0006649704450098395	-0.0002740166925631097	0.00026354471705114377	1.00319839	34.40760422	0.98397006	0.06616789435654584	0.00863528	0.00038
0.0352	-0.1821	-0.0036	-0.0007714355293814937	-0.00017104226669544429	0.0003612831551628262	0.99387485	34.08782578	0.97642024	0.055158897417550125	0.00844866	0.00037
0.0368	-0.1717	0.0084	-0.0006422811647339132	-0.00019024088846738194	0.000445058959258554	0.98730296	33.86242294	0.97303954	0.03560643952576231	0.00872397	0.00031
