trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0447531	0.00275
0.0106	0.0233	0.012	0.00028274333882308137	3.141592653589793e-05	4.71238898038469e-05	1.01438558	108.4091568	1.00756778	0.06396415775814131	0.0465922	0.00221
0.0126	-0.0184	0.0276	-5.93411945678072e-05	-4.363323129985824e-05	6.632251157578452e-05	1.00302601	107.19513702	0.99711173	0.08111661564992911	0.0435333	0.00184
0.0081	-0.0426	0.0132	-3.839724354387525e-05	-1.5707963267948964e-05	6.806784082777885e-05	1.02869606	109.9385376	1.01224008	0.04563072741539178	0.0405104	0.00141
-0.0129	-0.0161	0.0044	6.806784082777885e-05	-0.00022689280275926284	-0.00019024088846738194	1.02734482	109.79413605	1.01124896	0.08509793265790644	0.0425069	0.00139
-0.0204	-0.0713	-0.0054	6.632251157578452e-05	-0.00034557519189487725	-0.0001972222054753592	1.01006413	107.94731903	1.00161225	0.07887045176977929	0.0381674	0.00118
-0.0154	-0.0532	0.0203	-0.00023911010752322313	-0.00020594885173533088	-0.000158824961931484	1.00887239	107.81995392	0.99606614	0.07297281014012146	0.0415634	0.00122
-0.002	-0.0441	0.0191	-0.00015009831567151235	-0.00019896753472735358	-8.726646259971648e-05	0.99203968	106.02101135	0.98531372	0.03207758040957277	0.0420668	0.00117
-0.0005	-0.0476	-0.0093	-0.0002600540585471551	-6.45771823237902e-05	-0.0001239183768915974	1.01169753	108.12187195	0.99897081	0.047449900478554345	0.0407921	0.00115
-0.0046	-0.0628	-0.0258	-0.0006387905062299246	-4.71238898038469e-05	-0.00014660765716752367	1.0169909	108.68759155	1.00055089	0.05674395102393194	0.0387163	0.00112
-0.006	-0.0583	-0.0025	-0.0007173303225696694	-0.00014311699866353502	-0.00012217304763960306	1.00064516	106.94068909	0.98877754	0.039148376736367674	0.0392526	0.00114
-0.0031	-0.0499	-0.0161	-0.0004468042885105483	-0.00017627825445142725	-0.000158824961931484	1.00096095	106.9744339	0.99060998	0.04191696020694472	0.0397477	0.00118
-0.0014	-0.0878	0.001	-0.0008028514559173916	-0.00016406094968746698	-4.71238898038469e-05	0.99731171	106.58444214	0.98836123	0.08069827721492204	0.0382591	0.00118
0.005	-0.0822	-0.0003	-0.0003874630939427412	-0.00015184364492350666	-0.00011519173063162575	0.99120146	105.931427	0.98190777	0.03808367537831949	0.0383593	0.00121
0.0021	-0.1197	0.0144	-0.0007278022980816354	-0.00018500490071139895	-3.141592653589793e-05	0.99017602	105.82183838	0.98452084	0.07796381320112573	0.036194	0.00103
0.0029	-0.1168	0.007	-0.0005305800926062762	-0.00020769418098732522	-6.981317007977319e-05	0.99329543	106.1552124	0.98417244	0.024015436464758035	0.0348855	0.00089
0.0229	-0.144	-0.002	-0.0006161012259539982	-1.0471975511965975e-05	0.000158824961931484	1.00389147	107.28762817	0.99143875	0.08176907354171693	0.0334957	0.001
0.0246	-0.1343	0.0214	-0.0008185594191853405	-7.67944870877505e-05	0.00022689280275926284	1.01191378	108.14498901	0.99692451	0.05164242728174527	0.0355856	0.00103
0.0259	-0.1304	0.0385	-0.00062482787221397	-0.0001239183768915974	0.00032463124087094524	0.99264842	106.0860672	0.98463985	0.039229693744345	0.0360041	0.00097
0.0167	-0.143	0.0352	-0.0007976154681614085	-0.00012042771838760874	0.00023212879051524583	0.98178619	104.92520142	0.97821606	0.03853903524035633	0.0352498	0.00089
0.0293	-0.1435	0.0196	-0.0008307767239493009	-9.599310885968811e-05	0.00034033920413889426	0.98666859	105.44699097	0.97904393	0.03699031394697308	0.0335395	0.00092
0.0296	-0.1605	0.0185	-0.0007435102613495844	-0.00012042771838760874	0.0003647738136668148	0.98545772	105.31758118	0.97837363	0.025206784082777895	0.0320118	0.00092
