trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0443532	0.00279
-0.0039	-0.0138	0.0514	-0.0004520402762665313	-2.094395102393195e-05	-5.061454830783555e-05	1.00096488	101.0691452	0.96831965	0.09527993877991492	0.0378158	0.00131
-0.0102	-0.1473	0.1845	-0.0002897246558310587	-0.00017104226669544429	-0.00021467549799530252	1.16111422	117.23970795	1.03418055	0.29672374428972254	0.0200511	0.00064
-0.0061	-0.0656	0.1935	-2.96705972839036e-05	-0.00015009831567151235	-0.00017104226669544429	0.91998529	92.89250183	0.93447469	0.11103156204354726	0.0205973	0.00069
-0.0006	0.0866	0.0825	-0.00013439035240356338	-0.00012217304763960306	-8.028514559173915e-05	1.11475921	112.55915833	1.01122158	0.27987010721276373	0.0383953	0.00106
-0.0027	0.0191	0.0851	-0.0004485496177625427	-0.000153588974175501	-0.0001675516081914556	0.9837119	99.3270874	0.9609687	0.09384208272472969	0.0352964	0.001
-0.0125	-0.1299	0.1746	-0.00015009831567151235	-0.00013439035240356338	-0.0002495820830351891	1.10090899	111.16067505	1.00915896	0.2682840199353351	0.0206051	0.00075
-0.01	-0.006	0.0954	0.00034557519189487725	-7.330382858376184e-05	-0.000158824961931484	1.02893555	103.8934021	0.97839255	0.2379758576244948	0.0300493	0.00068
-0.006	0.0051	0.0616	-0.00012740903539558605	5.235987755982988e-06	-0.00010821041362364843	0.96902364	97.84398651	0.94709343	0.07900692959690217	0.0364423	0.00088
-0.0124	-0.1484	0.1705	4.71238898038469e-05	-5.061454830783555e-05	-0.00015009831567151235	1.14983833	116.10116577	1.01316151	0.28241356816555574	0.0199099	0.00056
-0.0125	-0.0297	0.1171	3.665191429188092e-05	-2.96705972839036e-05	-0.00014660765716752367	1.02423215	103.41848755	0.96138036	0.17394532925199432	0.0269655	0.00043
-0.0104	0.0009	0.0616	-0.00018151424220741024	1.9198621771937625e-05	-0.00014486232791552936	1.03732252	104.740242	0.9622862	0.10163903524035632	0.0354749	0.00086
-0.0152	-0.131	0.1471	-6.9813170079773176e-06	-5.235987755982989e-05	-0.00017104226669544429	1.06352317	107.38576508	0.97515525	0.23581356816555576	0.021134	0.00053
-0.02	0.0098	0.1016	-2.96705972839036e-05	-5.061454830783555e-05	-0.00019896753472735358	0.99840605	100.81078339	0.9581943	0.19371799387799152	0.0303321	0.00067
-0.0181	0.0265	0.0528	-0.00027750735106709843	-3.839724354387525e-05	-0.00021642082724729686	0.98462558	99.41934204	0.94861102	0.08127536755335492	0.0384781	0.00102
-0.0244	-0.1108	0.1307	-2.6179938779914945e-05	-4.363323129985824e-05	-0.0001884955592153876	1.07866764	108.91493225	0.98669279	0.2357244334037538	0.0227636	0.00055
-0.027	-0.0129	0.1096	-7.330382858376184e-05	-5.585053606381854e-05	-0.0002024581932313422	0.95421517	96.34875488	0.9353021	0.12526519142918813	0.0279381	0.00058
-0.0202	0.0503	0.0371	-0.00042935099599060504	-3.4906585039886588e-06	-0.00023212879051524583	1.05481327	106.50630951	0.9680799	0.16440388211252885	0.0420362	0.00133
-0.0259	-0.1117	0.1285	-0.0002303834612632515	-1.9198621771937625e-05	-0.00020769418098732522	1.13190305	114.29020691	1.0114734	0.2710555053761612	0.0233666	0.00058
-0.0259	-0.0449	0.1289	-0.0001937315469713706	-3.839724354387525e-05	-0.00020420352248333657	0.94211686	95.12716675	0.93107391	0.07016705972839034	0.0251969	0.0006
-0.0195	-0.0042	0.0849	-0.00039968039870670147	-6.108652381980153e-05	-0.00024085543677521747	0.98858273	99.81890106	0.94251897	0.10436450231515688	0.0333008	0.00081
-0.0273	-0.1203	0.1629	-8.901179185171081e-05	-4.18879020478639e-05	-0.0002513274122871834	1.04015744	105.02648926	0.96465685	0.21891696020694473	0.0202886	0.00047
-0.0254	0.0206	0.1002	-0.00019024088846738194	-2.792526803190927e-05	-0.0002705260340591211	1.00035286	101.00735474	0.96217665	0.21221951762017816	0.0308427	0.00068
-0.0237	-0.0056	0.0836	-0.00042411500823462205	-1.7453292519943296e-05	-0.00031415926535897925	0.97402954	98.34944153	0.9454709	0.058898966328953216	0.032996	0.00068
-0.0306	-0.1134	0.1635	-0.00011170107212763708	-7.330382858376184e-05	-0.0003159045946109737	1.08036685	109.0865097	0.98894603	0.21310049007113993	0.0204046	0.00053
-0.0275	0.0303	0.0684	-0.0003001966313430247	-9.075712110370512e-05	-0.00041015237421866745	1.11293244	112.37471008	0.99910818	0.25690983156715125	0.0357123	0.00097
-0.032	-0.0356	0.0836	-0.000466002910282486	-0.0001832595714594046	-0.0005358160803622592	1.01304543	102.28894806	0.96085248	0.1047986217719376	0.0325652	0.00076
-0.0395	-0.1158	0.1561	-0.000148352986419518	-0.00018675022996339323	-0.0005183627878423159	1.05669558	106.69638062	0.9597074	0.177129693744345	0.0207226	0.00051
-0.0347	0.038	0.0559	-7.155849933176751e-05	-0.00019024088846738194	-0.0005410520681182421	1.06409538	107.44355011	0.98856831	0.2639487212933832	0.0356498	0.00086
-0.0365	-0.0567	0.0954	-0.0001605702911834783	-0.0002303834612632515	-0.0005375614096142535	1.00756061	101.73513031	0.96322054	0.14263225115757844	0.0280623	0.00065
-0.0419	-0.0437	0.1005	-2.4434609527920616e-05	-0.0001884955592153876	-0.0005113814708343385	1.00608599	101.58623505	0.95502567	0.03371017612416684	0.0263409	0.00056
-0.0367	0.0522	0.0207	-0.00040317105721069014	-0.000158824961931484	-0.0005619960191421741	1.08635044	109.69068146	0.98313343	0.20385107966372543	0.0436569	0.00125
-0.0477	-0.036	0.0387	-0.0001972222054753592	-8.552113334772214e-05	-0.0005061454830783556	0.92653614	93.55395508	0.92599722	0.13395516081914555	0.0357091	0.00085
-0.0483	-0.0335	0.0637	-0.00029845130209103034	-0.00017802358370342162	-0.0005044001538263612	0.92844594	93.74678802	0.93543438	0.037873843811168255	0.0345578	0.00114
-0.0506	-0.0426	0.0811	-0.000312413936106985	-0.00017976891295541595	-0.0005375614096142535	1.01682615	102.67069244	0.96949396	0.03124346095279206	0.0305743	0.00066
-0.0478	0.0155	0.0379	-0.00039793506945470715	-0.0001361356816555577	-0.00047822021504644627	1.00468814	101.44509125	0.96031135	0.11352477796076936	0.0392616	0.00146
-0.0446	-0.1836	0.1567	-9.773843811168246e-05	-0.00029496064358704166	-0.0006562437987498679	1.20046329	121.21285248	1.0533428	0.35295225884889647	0.0195218	0.00057
-0.0506	-0.0164	0.1127	-0.0002897246558310587	-0.00017627825445142725	-0.0006475171524898963	1.07936895	108.98574829	1.00148419	0.23316976265574813	0.0283183	0.00054
-0.0438	0.094	0.0366	-0.0006003932626860494	-0.0002199114857512855	-0.00048520153205442357	1.1032691	111.39897919	1.00588054	0.21913087292951608	0.0456817	0.00191
-0.0481	-0.1074	0.1512	-0.00042411500823462205	-0.0003647738136668148	-0.0006265732014659643	1.2286607	124.05998993	1.07360408	0.3434256125889249	0.0225759	0.00067
-0.0545	-0.0913	0.1891	-0.00030194196059501896	-0.0003595378259108319	-0.0006283185307179585	1.03684127	104.69165802	0.98023205	0.06685771823237899	0.0203723	0.00058
