trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0436368	0.01913
-0.0056	-0.0142	0.083	0.0002129301687433082	-8.901179185171081e-05	-0.00010297442586766544	1.11136544	47.9552536	1.00707847	0.12304581932313421	0.0418015	0.01617
-0.0111	-0.0751	0.0219	-0.00014486232791552936	6.981317007977319e-05	-4.363323129985824e-05	1.00573695	43.3973999	0.97751395	0.15629793265790645	0.0391774	0.01426
-0.0076	-0.0247	-0.0036	-0.00010297442586766544	-7.330382858376184e-05	-6.981317007977319e-05	1.00918877	43.54634476	0.96643098	0.08995924197456567	0.0416114	0.01712
-0.0132	-0.019	0.0785	0.00042236967898262774	-0.00010471975511965978	-0.00018500490071139895	1.08641744	46.87874985	0.99411297	0.12699758810089085	0.0400954	0.01532
-0.0104	-0.1088	0.0534	8.203047484373349e-05	-8.726646259971648e-05	-0.00016231562043547262	0.99976879	43.13987732	0.97772262	0.1367240888467382	0.0369991	0.01179
-0.011	-0.0925	-0.0249	-0.0002199114857512855	-9.42477796076938e-05	-0.00018151424220741024	1.01024318	43.59184265	0.97758763	0.11160609496874672	0.0385322	0.01418
-0.0153	-0.0492	0.0678	0.00016929693744344995	-0.00022863813201125715	-0.0003351032163829112	1.07464385	46.37072372	1.0135199	0.17415938748869	0.038415	0.01301
-0.023	-0.1182	0.0954	-4.886921905584123e-05	-0.00021467549799530252	-0.0004310963252425994	0.97678095	42.14795303	0.96292384	0.1207060949687467	0.0351393	0.00949
-0.0203	-0.1547	0.0144	-0.00038571776469074686	-0.00020769418098732522	-0.0004136430327226561	1.03258872	44.55604935	0.98724728	0.13826415775814133	0.034817	0.0096
-0.0243	-0.1013	0.0375	-0.00012217304763960306	-0.0004049163864626844	-0.0005340707511102648	1.0339849	44.61629486	0.97690149	0.10955973204570559	0.035656	0.01048
-0.0325	-0.1205	0.1161	0.00019896753472735358	-0.0004956735075663896	-0.0007016223593017205	1.10109162	47.51194	0.99595427	0.13497246558310588	0.033837	0.00754
-0.0332	-0.2058	0.0963	-0.000291469985083053	-0.0004258603374866164	-0.0007068583470577034	0.98110563	42.33456421	0.96013948	0.13407433388230813	0.0311773	0.00612
-0.0291	-0.1948	0.0079	-0.0005759586531581287	-0.0004363323129985824	-0.0007208209810736582	1.03150046	44.50909042	0.98463691	0.11894616388014984	0.0328158	0.00797
-0.033	-0.136	0.0983	-0.00016231562043547262	-0.0005637413483941684	-0.0007347836150896127	1.10140121	47.52529907	1.02368902	0.18085073510670976	0.0332268	0.00698
-0.0357	-0.1886	0.114	-0.00018151424220741024	-0.0005532693728822024	-0.0007487462491055673	0.96661097	41.7091217	0.95947883	0.07318166156499288	0.0309764	0.00584
-0.0314	-0.2142	0.0206	-0.00048345620280242926	-0.0004433136300065597	-0.0007155849933176752	1.06285179	45.86190033	1.00429216	0.14555294796292773	0.03149	0.00742
-0.0374	-0.1692	0.0376	-0.0003612831551628262	-0.0005201081170943102	-0.0008063421144213803	1.02109671	44.06017303	0.96934539	0.08248623279155294	0.0324157	0.00737
-0.0524	-0.165	0.1195	-0.00011693705988362007	-0.0005253441048502931	-0.0009599310885968812	1.09757268	47.36009979	0.99671575	0.12125855286053448	0.0309902	0.00535
-0.0536	-0.2204	0.0905	-0.000879645943005142	-0.00040317105721069014	-0.000874409955249159	0.98793685	42.62932968	0.9638933	0.13412015320544235	0.0302274	0.00556
