trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0154688	0.00036
-0.0022	-0.004	-0.035	-1.0471975511965975e-05	-5.235987755982988e-06	-0.00011170107212763708	0.90940917	51.82325363	0.92499484	0.047570451769779296	0.0174077	0.00023
-0.0221	-0.0041	-0.0089	9.42477796076938e-05	-5.759586531581287e-05	-5.4105206811824215e-05	0.91091549	51.90909195	0.92340129	0.05683377489976513	0.0157124	0.00021
0.0085	-0.0008	-0.0355	-0.00029845130209103034	-8.203047484373349e-05	-0.00017802358370342162	0.90862191	51.77839279	0.92795695	0.08755260340591212	0.0173565	0.00025
-0.0509	-0.0097	-0.0264	0.00011519173063162575	4.18879020478639e-05	-0.00010297442586766544	0.91533965	52.16120529	0.93294419	0.10803052837250048	0.0171258	0.00025
0.0228	0.0051	-0.0175	-0.0003473205211468716	-0.00011170107212763708	-7.504915783575618e-05	0.92825365	52.89711761	0.93300306	0.12960132469929536	0.0164299	0.00032
-0.032	-0.0037	-0.0376	1.5707963267948964e-05	-4.363323129985824e-05	-0.0001884955592153876	0.92045689	52.45281601	0.93461203	0.11092713633111152	0.0177116	0.0003
-0.0185	0.0011	-0.0153	-2.96705972839036e-05	-6.632251157578452e-05	-0.00023561944901923448	0.92356747	52.63007355	0.92482428	0.04635958653158129	0.0164264	0.00023
-0.0054	0.002	-0.0374	-9.075712110370512e-05	-0.0001064650843716541	-0.00023212879051524583	0.89948338	51.25762558	0.92064285	0.04133598775598298	0.0176713	0.00024
-0.058	0.0031	-0.0303	0.00027750735106709843	-4.537856055185256e-05	-6.108652381980153e-05	0.9106493	51.89392471	0.93044542	0.09081966313430247	0.0172101	0.00022
0.0106	0.0125	-0.0294	-0.0002722713633111154	-0.0002495820830351891	-0.00032637657012293966	0.94803739	54.02450943	0.94512615	0.12986361415823444	0.0171816	0.00021
-0.0405	0.0069	-0.0414	-0.000317649923862968	-0.0001937315469713706	-0.0004572762640225143	0.92712116	52.83258438	0.93902689	0.08030643952576227	0.0178454	0.00024
-0.0537	0.0039	-0.0129	1.3962634015954635e-05	-0.00015707963267948963	-0.00037524578917878077	0.91327542	52.04357529	0.92887044	0.06721474735072686	0.0166306	0.00019
-0.0041	0.0221	-0.03	-0.0005969026041820607	-0.00030368728984701333	-0.0006178465552059926	0.95572281	54.46246719	0.94217384	0.13490368306963754	0.0177799	0.00028
-0.0788	0.0177	-0.0399	-0.00019198621771937622	-0.0001675516081914556	-0.0005393067388662478	0.95722413	54.54801941	0.94680781	0.11997959422289936	0.017495	0.00025
-0.0338	0.0195	0.0096	-0.0004677482395344803	-0.00027576202181510406	-0.0005427973973702365	0.92045778	52.4528656	0.93326302	0.11567315469713704	0.0151649	0.00012
-0.0036	0.0272	-0.0024	-0.0009354964790689606	-0.00042760566673861073	-0.0008168140899333463	0.92618001	52.77894974	0.92757648	0.09458042885105485	0.0152879	0.00023
-0.0855	0.0191	0.0036	-0.0005218534463463045	-0.000317649923862968	-0.0008220500776893293	0.93680698	53.38453674	0.94427236	0.12244173816771407	0.0152624	0.00022
-0.041	0.0286	0.0179	-0.0007208209810736582	-0.00029321531433504735	-0.0007452555906015787	0.93686765	53.38799286	0.93553691	0.08330983156715124	0.0138218	0.00013
-0.0244	0.0394	-0.0263	-0.0008621926504851988	-0.0003193952531149623	-0.0008395033702092724	0.92320114	52.60919952	0.93279299	0.08468996938995747	0.0166758	0.00025
-0.0852	0.0338	-0.0098	-0.0001937315469713706	-0.0003054326190990077	-0.0006789330790257941	0.94016403	53.57584	0.94706852	0.12504970143566305	0.0167492	0.00032
-0.0299	0.0367	0.0128	-0.0005567600313861911	-0.00037350045992678646	-0.0006789330790257941	0.9307512	53.03944397	0.9341229	0.10235481626212996	0.0143169	0.00015
-0.0248	0.0392	-0.0328	-0.000757472895365539	-0.00031415926535897925	-0.0007958701389094143	0.93571842	53.32250214	0.93569857	0.07204955592153876	0.0171335	0.00017
-0.0912	0.0292	-0.005	-0.0003159045946109737	-0.00030368728984701333	-0.0007504915783575615	0.94503421	53.85337067	0.94675937	0.1290709418409192	0.015172	0.00017
