trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0177693	0.00307
-0.0424	0.0084	-0.011	-0.00017802358370342162	3.316125578789226e-05	0.0001064650843716541	0.97617877	42.96375656	0.97255452	0.0776824961931484	0.0176551	0.00233
0.0377	-0.0197	-0.0225	-0.0007382742735936014	-0.00028274333882308137	7.155849933176751e-05	0.98026615	43.14365005	0.97005832	0.165253093477052	0.0168196	0.00128
-0.0717	-0.0475	0.0017	-0.0003665191429188092	-0.0002722713633111154	0.00022165681500327985	0.99466729	43.77747726	0.97675452	0.18801627109291352	0.0147989	0.00158
-0.06	-0.0621	0.0082	-8.028514559173915e-05	-0.0001291543646475804	0.0005585053606381855	0.97139198	42.75307846	0.96046842	0.07110997708127553	0.015989	0.00275
0.0339	-0.057	0.0163	-0.0005707226654021458	3.490658503988659e-05	0.0007138396640656808	0.99876761	43.95793915	0.97982852	0.14759163864626842	0.017798	0.00357
-0.0561	-0.0603	0.0111	-0.00048520153205442357	-0.00014486232791552936	0.0002129301687433082	0.97441071	42.88594055	0.96524459	0.1368099770812755	0.0152236	0.00287
-0.0663	-0.0652	0.0159	-5.061454830783555e-05	-0.00010471975511965978	0.00027925268031909274	0.92745107	40.8191452	0.93499874	0.046952603405912105	0.0150534	0.00243
0.0218	-0.0576	-0.0272	-0.0004206243497306334	-0.0004363323129985824	0.00017802358370342162	0.99719769	43.88884354	0.97498554	0.17894257279586956	0.0159889	0.00184
-0.0418	-0.0672	-0.0103	-0.0005794493116621174	-0.0002373647782712288	0.00013264502315156904	0.97824502	43.05469513	0.96274365	0.1102585528605345	0.0140342	0.00117
-0.0809	-0.0795	0.0072	-0.00023387411976724014	-0.00010471975511965978	7.853981633974481e-05	0.95690042	42.11527252	0.94788185	0.09551627109291357	0.0128263	0.00101
-0.0087	-0.0805	-0.002	-0.0005393067388662478	-0.00040317105721069014	-4.886921905584123e-05	0.96560746	42.49848938	0.95407343	0.1189646478292812	0.0145972	0.00122
