trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0149605	0.00081
-0.0203	0.0006	0.0015	0.0004415683007545654	-0.0001291543646475804	2.6179938779914945e-05	0.92865914	51.08034897	0.95993425	0.05224513020910304	0.0150325	0.00065
0.0068	-0.0014	0.0101	-3.316125578789226e-05	-0.00013788101090755203	0.00012042771838760874	0.93438721	51.39541626	0.96435695	0.06658519912050616	0.0139858	0.00073
-0.0059	0.0086	0.0082	-3.839724354387525e-05	4.537856055185256e-05	0.00039095375244672985	0.9281857	51.05430603	0.95911083	0.04755107966372544	0.013957	0.00063
-0.0062	0.0136	0.0665	-0.00024085543677521747	-0.0001186823891356144	0.0003682644721708035	0.93047202	51.18006516	0.96403119	0.08306042115973677	0.0114283	0.00047
0.0109	0.0353	0.1305	-0.0003193952531149623	9.42477796076938e-05	0.00042411500823462205	0.94288838	51.86301804	0.96379671	0.12016602605734358	0.00899148	0.00048
0.0069	0.0497	0.1188	-3.665191429188092e-05	0.00019024088846738194	0.0005009094953223725	0.92481774	50.86905289	0.95294678	0.052876546738526	0.00957882	0.00043
0.0257	0.0422	0.1409	-0.0003298672286269283	1.9198621771937625e-05	0.00033684854563490564	0.92413509	50.83150482	0.95653662	0.07981592653589792	0.00923181	0.00041
0.0266	0.034	0.1817	-0.000593411945678072	0.0004049163864626844	0.0007225663103256524	0.93768293	51.57669449	0.96445453	0.10164901232163188	0.00748104	0.00044
0.0331	0.0072	0.157	-0.0005497787143782138	0.00024085543677521747	0.0006230825429619757	0.96323919	52.9824028	0.97532979	0.0733588974175501	0.00863945	0.00038
-0.0054	0.0068	0.1171	-0.000322885911618951	-0.00014486232791552936	0.0007661995416255106	0.97440517	53.59658051	0.98197382	0.11658637830567724	0.0101444	0.00051
0.0181	0.0242	0.1431	-0.000645771823237902	0.000317649923862968	0.0008464846872172499	0.93233788	51.28269577	0.96410868	0.1101841654494594	0.00849253	0.00031
0.0318	0.0329	0.1415	-0.0008395033702092724	0.00033335788713091696	0.000705113017805709	0.9114449	50.1334877	0.94605422	0.04154055898254304	0.00871605	0.00044
0.0125	0.0503	0.1399	-0.0005602506898901797	0.0002024581932313422	0.0005305800926062762	0.93613106	51.49133682	0.96143108	0.067534264970905	0.0091337	0.00038
0.0533	0.061	0.1233	-0.0007801621756414653	0.00021642082724729686	0.0005899212871740833	0.93737745	51.55989456	0.96360316	0.08276076571675235	0.00925469	0.00049
0.0572	0.0645	0.1317	-0.000947713783832921	0.00020943951023931956	0.0007173303225696694	0.91629517	50.40027618	0.95328238	0.030897098029750963	0.00913811	0.00049
0.0075	0.0817	0.1239	-0.0005096361415823442	0.00013962634015954637	0.0003054326190990077	0.94647121	52.06008911	0.97712736	0.1206894257900506	0.0100788	0.00065
0.0357	0.0968	0.1246	-0.0007923794804054256	-0.00020420352248333657	9.773843811168246e-05	0.9358446	51.47557831	0.96777731	0.08571336912266447	0.0104993	0.00061
0.0269	0.0962	0.1405	-0.0007068583470577034	-0.00015009831567151235	0.0001186823891356144	0.93549711	51.45646667	0.95986443	0.033328514559173926	0.0096885	0.00047
0.0319	0.065	0.1329	-0.00039095375244672985	0.00029496064358704166	0.0004328416544945937	0.94180673	51.80352402	0.97140601	0.09755614096142537	0.00959784	0.00052
0.0725	0.044	0.1922	-0.0010943214410004448	0.0005358160803622592	0.0009634217471008699	0.98970127	54.43793488	0.98682297	0.19464016089676045	0.0080713	0.00067
0.1196	0.0503	0.1563	-0.0005201081170943102	0.0012339477811599909	0.0019792033717615696	1.03779638	57.08337402	1.03860582	0.20370633246822836	0.0110886	0.00118
0.0886	0.0146	0.161	-0.00040666171571467877	0.0015707963267948967	0.0017086773377024485	1.00840044	55.46646881	1.01046458	0.10744104905368292	0.0113367	0.00156
0.1246	0.0063	0.1553	-0.0006597344572538566	0.000973893722612836	0.001410226035611418	1.01213193	55.67172241	1.00641458	0.10742133239061347	0.00893992	0.00068
0.0538	0.044	0.0984	-0.0006527531402458793	0.0008360127117052838	0.0011414453308042916	0.99265003	54.60012817	1.00383284	0.1860821516361328	0.0112041	0.00081
