trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0189182	0.00227
0.0184	-0.0058	0.0059	0.0001308996938995747	-1.9198621771937625e-05	-9.773843811168246e-05	1.00788784	65.79018402	1.00746143	0.04249183768915974	0.0194293	0.00179
-0.0054	-0.0077	0.0325	-0.00021118483949131387	-0.00013788101090755203	-0.00019024088846738194	1.00181258	65.39362335	1.00561038	0.07996346864411012	0.0168895	0.00144
-0.0029	-0.0067	0.048	-0.000445058959258554	-0.00024085543677521747	-0.00019198621771937622	0.98393118	64.22640991	0.99433782	0.03592969374434499	0.0153672	0.00088
-0.0159	-0.0138	0.0482	-0.0005305800926062762	-0.0002583087292951608	-8.37758040957278e-05	1.004511	65.56976318	0.99760411	0.03085924197456569	0.015723	0.00108
0.0059	-0.0116	0.0066	-0.0003106686068549907	-0.0001675516081914556	-0.0002583087292951608	1.03784776	67.74583435	1.01787849	0.08986007660272116	0.0177971	0.00121
0.0002	-0.0079	0.0106	-0.0004537856055185257	-0.00016406094968746698	-0.00020943951023931956	0.99345726	64.84822845	1.00137167	0.023173843811168243	0.0176648	0.00107
-0.0078	-0.0046	0.0213	-0.0006702064327658224	-0.00010471975511965978	-9.250245035569947e-05	0.98550254	64.32897949	0.99543266	0.0416349540849362	0.0163181	0.00097
-0.006	-0.0029	0.0163	-0.0006370451769779302	-0.00011519173063162575	-0.0001012290966156711	0.98522246	64.31069946	0.99422609	0.011117993877991492	0.0162416	0.00088
0.0076	-0.0039	0.0103	-0.0004991641660703782	-0.00015184364492350666	-4.71238898038469e-05	1.01636839	66.34375763	0.99964067	0.032031906600562855	0.0179266	0.00117
-0.0036	-0.0086	0.0333	-0.000582939970166106	-0.00020594885173533088	-3.316125578789226e-05	1.03394496	67.49107361	1.00926758	0.04649218224617533	0.0156468	0.00094
