trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0492688	0.02509
0.0258	-0.0076	-0.0203	0.000158824961931484	0.00010471975511965978	0.00013788101090755203	0.99906123	49.49486923	1.00740728	0.07377128639793479	0.0474557	0.01936
-0.0147	-0.0007	-0.0244	-2.094395102393195e-05	6.806784082777885e-05	0.00011344640137963142	0.96155989	47.63700104	0.96765372	0.06354277183876088	0.0467162	0.0187
0.0023	-0.002	-0.0718	0.000158824961931484	0.00022689280275926284	0.00017104226669544429	0.97489613	48.29769897	0.98552843	0.08550948701013564	0.0432486	0.01406
0.0365	0.0065	-0.1101	0.0002740166925631097	2.4434609527920616e-05	0.00014660765716752367	0.95626104	47.37448883	0.97311682	0.09810422666954442	0.0416752	0.01172
-0.0243	0.0068	-0.0912	0.0005218534463463045	5.061454830783555e-05	4.886921905584123e-05	1.02488267	50.77410126	1.03183192	0.0985877565337396	0.042412	0.01331
-0.0941	0.0115	-0.105	0.00039269908169872416	0.00039095375244672985	-0.00029321531433504735	1.05775619	52.40269852	1.05899334	0.12887890510886815	0.0402091	0.01191
0.0251	-0.0027	-0.14	0.000726056968829641	0.00041713369122664475	4.363323129985824e-05	1.03979421	51.51284027	1.0441143	0.20321931857728687	0.0393247	0.00957
0.0527	-0.0022	-0.1381	0.0006213372137099814	0.0002478367537831948	0.00019896753472735358	0.94953007	47.04102707	0.96011316	0.051467549799530256	0.0396386	0.0101
-0.0087	0.0009	-0.121	0.0002670353755551324	0.00017104226669544429	0.0001256637061435917	0.96865392	47.9884491	0.97894067	0.10682000769131808	0.0402488	0.01112
0.0138	-0.0125	-0.1233	0.0005724679946541401	0.00017104226669544429	0.00016231562043547262	0.98852867	48.97307205	0.97523591	0.05530422666954444	0.041007	0.01011
0.0071	-0.0048	-0.1306	0.0006579891280018621	-1.7453292519943294e-06	7.330382858376184e-05	0.96504462	47.80963898	0.95506847	0.03906602605734357	0.0392341	0.0092
-0.0451	0.0199	-0.0991	-0.00038397243543875244	0.00018675022996339323	-5.585053606381854e-05	0.99607384	49.34687042	1.01387516	0.17638057436517912	0.0424275	0.01405
0.0062	0.0053	-0.1523	6.45771823237902e-05	0.00023561944901923448	8.028514559173915e-05	0.99216855	49.15339661	1.0043591	0.1507777259236971	0.0393963	0.01086
-0.122	0.0375	-0.1497	0.0005201081170943102	0.0008185594191853405	-0.0007731808586334879	1.11030185	55.00588608	1.11657575	0.25759684545809264	0.0393106	0.01201
-0.1429	0.0098	-0.1139	-0.000153588974175501	0.0008988445647770796	-0.0009459684545809266	1.03482652	51.26673126	1.06085909	0.13073849164044943	0.0414928	0.01437
-0.0959	-0.0052	-0.1192	-0.00014660765716752367	0.000783652834145454	-0.000609119908946021	0.96567124	47.84068298	0.98429908	0.09025107966372542	0.0410803	0.01322
-0.1153	-0.0068	-0.1278	-0.000296705972839036	0.000614355896702004	-0.0007661995416255106	0.96055526	47.58723068	0.97326972	0.0534237442897226	0.0406232	0.01233
-0.0493	-0.0098	-0.1278	-0.00012740903539558605	0.0008988445647770796	-0.0006213372137099814	0.97146451	48.12768936	0.98368783	0.09893239667170274	0.0409942	0.0122
-0.0792	-0.0086	-0.1199	-0.0004537856055185257	0.0007749261878854823	-0.0004328416544945937	0.95528537	47.3261528	0.96297832	0.07093952531149622	0.0415931	0.01287
-0.0095	-0.004	-0.137	-0.0002652900463031381	0.0008237954069413235	-0.00011693705988362007	0.96958417	48.03453445	0.98034082	0.11906346864411012	0.0408764	0.0119
-0.0507	-0.0019	-0.1335	-0.0003612831551628262	0.0008569566627292158	-0.0004014257279586958	0.96013123	47.56622314	0.97348383	0.0674821516361328	0.0406748	0.01273
-0.0517	0.0011	-0.1457	-0.00042236967898262774	0.0006981317007977319	-0.0003473205211468716	0.95411056	47.26795197	0.97019847	0.029900834628155477	0.0397663	0.01203
-0.0617	-0.0021	-0.1237	-0.0007330382858376184	0.0006283185307179585	-0.000609119908946021	0.96386212	47.75105667	0.96997781	0.06731405823669565	0.0419875	0.01379
-0.0461	0.0154	-0.1287	-0.0011850785621041497	0.0005794493116621174	-0.0003612831551628262	0.96219999	47.66871262	0.96667604	0.07553731245527835	0.0424361	0.01449
-0.0736	0.0014	-0.1057	-0.000874409955249159	0.0009512044423369096	-2.96705972839036e-05	0.95325923	47.22577667	0.96676539	0.11520181477043528	0.0433118	0.01513
